Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.0185	0.5540	0.4645	0.8517	0.8894	0.262187	0.280654
2000	0.7984	0.4134	0.3851	0.8849	0.8985	0.207896	0.227146
3000	0.6802	0.3513	0.3289	0.9002	0.9112	0.176153	0.191681
4000	0.5951	0.3055	0.2896	0.9071	0.9166	0.153707	0.166569
5000	0.5576	0.2844	0.2733	0.9132	0.9175	0.136633	0.147446
6000	0.6326	0.2686	0.3640	0.9159	0.8579	0.184700	0.182812
7000	0.8020	0.2943	0.5077	0.9093	0.8173	0.200352	0.204919
8000	0.9295	0.3194	0.6101	0.9043	0.7871	0.217730	0.225818
9000	1.0252	0.3346	0.6905	0.8976	0.7631	0.233664	0.242395
10000	1.1069	0.3576	0.7493	0.8909	0.7456	0.248357	0.256935
11000	1.1721	0.3900	0.7821	0.8745	0.7413	0.266665	0.269288
12000	1.2278	0.4361	0.7916	0.8618	0.7389	0.278935	0.278985
13000	1.2718	0.4720	0.7998	0.8524	0.7354	0.290527	0.288517
14000	1.3072	0.5001	0.8071	0.8464	0.7325	0.300616	0.297958
15000	1.3412	0.5271	0.8141	0.8375	0.7305	0.309529	0.306403
16000	1.3660	0.5461	0.8199	0.8383	0.7274	0.331288	0.316051
17000	1.3860	0.5590	0.8270	0.8395	0.7259	0.345760	0.323597
18000	1.4031	0.5706	0.8325	0.8360	0.7241	0.357010	0.330641
19000	1.4240	0.5868	0.8372	0.8291	0.7222	0.365389	0.337097
20000	1.4425	0.6017	0.8407	0.8238	0.7221	0.372552	0.343158
21000	1.4601	0.6159	0.8442	0.8177	0.7202	0.379237	0.349319
22000	1.4759	0.6293	0.8467	0.8132	0.7202	0.382981	0.354012
23000	1.4888	0.6406	0.8482	0.8088	0.7192	0.386350	0.358561
24000	1.5021	0.6513	0.8508	0.8056	0.7177	0.389128	0.362748
25000	1.5142	0.6600	0.8542	0.8026	0.7168	0.391555	0.367225
26000	1.5222	0.6596	0.8626	0.8049	0.7118	0.396003	0.371738
27000	1.5294	0.6519	0.8775	0.8061	0.7061	0.398985	0.375014
28000	1.5391	0.6448	0.8943	0.8092	0.7003	0.401843	0.378060
29000	1.5477	0.6369	0.9108	0.8105	0.6952	0.404376	0.380745
30000	1.5564	0.6297	0.9268	0.8125	0.6904	0.406454	0.382950
