Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.9664	0.4469	0.5196	0.8972	0.8692	0.310063	0.309380
2000	0.7830	0.3759	0.4071	0.8909	0.8906	0.246469	0.248085
3000	0.7100	0.3333	0.3767	0.9076	0.8944	0.210403	0.210166
4000	0.6406	0.2919	0.3487	0.9135	0.9011	0.184825	0.184051
5000	0.6150	0.2752	0.3398	0.9166	0.9000	0.166473	0.164884
6000	0.6836	0.3252	0.3584	0.8792	0.8887	0.217250	0.203284
7000	0.8378	0.4187	0.4191	0.8560	0.8806	0.228682	0.216746
8000	0.9472	0.4732	0.4740	0.8410	0.8636	0.241324	0.237495
9000	1.0450	0.5061	0.5389	0.8309	0.8407	0.253414	0.255961
10000	1.1166	0.5336	0.5830	0.8227	0.8311	0.264309	0.270661
11000	1.1692	0.5593	0.6099	0.8125	0.8300	0.284184	0.296110
12000	1.2155	0.5916	0.6238	0.8029	0.8291	0.293176	0.313897
13000	1.2585	0.6160	0.6425	0.7949	0.8212	0.300344	0.328980
14000	1.2988	0.6364	0.6624	0.7891	0.8145	0.306095	0.339718
15000	1.3292	0.6529	0.6763	0.7839	0.8129	0.311569	0.348590
16000	1.3580	0.6689	0.6891	0.7799	0.8072	0.323413	0.356623
17000	1.3781	0.6577	0.7204	0.7896	0.7903	0.353792	0.362768
18000	1.3902	0.6311	0.7591	0.7979	0.7777	0.380497	0.367921
19000	1.4010	0.6068	0.7942	0.8048	0.7640	0.404509	0.372860
20000	1.4168	0.5877	0.8291	0.8099	0.7521	0.429113	0.377491
21000	1.4273	0.5812	0.8461	0.8080	0.7498	0.442491	0.384433
22000	1.4440	0.5932	0.8508	0.8038	0.7468	0.444697	0.387887
23000	1.4612	0.6023	0.8588	0.8015	0.7422	0.446720	0.391185
24000	1.4754	0.6065	0.8690	0.8005	0.7374	0.448400	0.394177
25000	1.4901	0.6082	0.8819	0.8003	0.7317	0.449899	0.396968
26000	1.5028	0.6121	0.8907	0.7978	0.7287	0.451952	0.399558
27000	1.5128	0.6187	0.8941	0.7954	0.7267	0.452008	0.400984
28000	1.5237	0.6244	0.8994	0.7943	0.7230	0.451966	0.402159
29000	1.5330	0.6278	0.9052	0.7926	0.7213	0.452083	0.403394
30000	1.5411	0.6328	0.9083	0.7913	0.7192	0.452193	0.404442
31000	1.5409	0.6298	0.9110	0.7934	0.7180	0.453674	0.407985
32000	1.5435	0.6254	0.9181	0.7953	0.7133	0.453801	0.409206
33000	1.5512	0.6226	0.9286	0.7958	0.7096	0.453739	0.410104
34000	1.5595	0.6214	0.9381	0.7962	0.7065	0.453716	0.411005
35000	1.5663	0.6204	0.9459	0.7965	0.7026	0.453519	0.411661
36000	1.5736	0.6215	0.9521	0.7956	0.7015	0.460637	0.413019
37000	1.5800	0.6273	0.9528	0.7934	0.7012	0.465746	0.413824
38000	1.5856	0.6313	0.9543	0.7927	0.6997	0.471432	0.414530
39000	1.5903	0.6309	0.9594	0.7931	0.6971	0.477120	0.415233
40000	1.5952	0.6305	0.9647	0.7932	0.6947	0.481738	0.415872
41000	1.5978	0.6313	0.9665	0.7920	0.6956	0.483074	0.418849
42000	1.6007	0.6347	0.9660	0.7913	0.6941	0.483766	0.419324
43000	1.6060	0.6362	0.9698	0.7905	0.6929	0.484380	0.419701
44000	1.6101	0.6376	0.9724	0.7901	0.6916	0.484928	0.420045
45000	1.6151	0.6397	0.9755	0.7890	0.6903	0.485462	0.420420
46000	1.6204	0.6420	0.9784	0.7883	0.6891	0.485291	0.421686
47000	1.6251	0.6452	0.9799	0.7870	0.6884	0.484885	0.422518
48000	1.6296	0.6487	0.9810	0.7861	0.6879	0.484501	0.423188
49000	1.6330	0.6521	0.9809	0.7846	0.6877	0.484090	0.423785
50000	1.6361	0.6555	0.9806	0.7837	0.6876	0.483801	0.424418
51000	1.6388	0.6593	0.9795	0.7823	0.6878	0.483897	0.425714
52000	1.6423	0.6637	0.9786	0.7809	0.6880	0.483576	0.426166
53000	1.6447	0.6674	0.9773	0.7796	0.6881	0.483234	0.426593
54000	1.6481	0.6725	0.9756	0.7780	0.6885	0.482809	0.427000
55000	1.6516	0.6782	0.9734	0.7762	0.6890	0.482365	0.427421
56000	1.6553	0.6824	0.9729	0.7752	0.6886	0.482110	0.427815
57000	1.6583	0.6852	0.9731	0.7742	0.6887	0.481577	0.427872
58000	1.6609	0.6887	0.9722	0.7726	0.6886	0.481044	0.427902
59000	1.6636	0.6920	0.9716	0.7717	0.6887	0.480515	0.427914
60000	1.6644	0.6945	0.9699	0.7711	0.6896	0.480009	0.428514
61000	1.6646	0.6977	0.9669	0.7699	0.6906	0.479713	0.429562
62000	1.6664	0.7021	0.9643	0.7687	0.6911	0.479109	0.429853
63000	1.6686	0.7051	0.9635	0.7679	0.6912	0.478584	0.430154
64000	1.6705	0.7080	0.9625	0.7668	0.6913	0.477987	0.430335
65000	1.6721	0.7118	0.9603	0.7658	0.6918	0.477386	0.430494
66000	1.6738	0.7145	0.9593	0.7649	0.6920	0.477210	0.430793
67000	1.6755	0.7172	0.9583	0.7643	0.6921	0.476782	0.430790
68000	1.6773	0.7195	0.9578	0.7635	0.6920	0.476249	0.430759
69000	1.6794	0.7220	0.9575	0.7627	0.6920	0.475788	0.430782
70000	1.6812	0.7239	0.9573	0.7621	0.6920	0.475320	0.430784
71000	1.6827	0.7263	0.9564	0.7610	0.6926	0.475076	0.431261
72000	1.6844	0.7289	0.9555	0.7603	0.6926	0.474516	0.431430
73000	1.6862	0.7310	0.9552	0.7597	0.6927	0.474026	0.431570
74000	1.6881	0.7335	0.9545	0.7588	0.6930	0.473483	0.431662
75000	1.6897	0.7357	0.9540	0.7580	0.6930	0.473003	0.431805
76000	1.6914	0.7380	0.9534	0.7574	0.6931	0.472762	0.432193
77000	1.6931	0.7400	0.9531	0.7566	0.6930	0.472330	0.432368
78000	1.6948	0.7417	0.9531	0.7561	0.6927	0.471915	0.432429
79000	1.6965	0.7434	0.9531	0.7553	0.6926	0.471493	0.432302
80000	1.6982	0.7452	0.9530	0.7547	0.6927	0.471053	0.432105
81000	1.6993	0.7468	0.9525	0.7541	0.6927	0.470713	0.432419
82000	1.7007	0.7486	0.9521	0.7535	0.6927	0.470191	0.432538
83000	1.7027	0.7508	0.9519	0.7528	0.6924	0.469697	0.432639
84000	1.7046	0.7526	0.9520	0.7523	0.6923	0.469258	0.432793
85000	1.7059	0.7541	0.9518	0.7516	0.6925	0.468813	0.432891
86000	1.7071	0.7558	0.9512	0.7510	0.6926	0.468612	0.433222
87000	1.7084	0.7578	0.9507	0.7502	0.6927	0.468257	0.433381
88000	1.7100	0.7598	0.9502	0.7496	0.6929	0.467920	0.433552
89000	1.7116	0.7618	0.9499	0.7489	0.6929	0.467628	0.433736
90000	1.7134	0.7640	0.9495	0.7481	0.6929	0.467346	0.433919
91000	1.7145	0.7657	0.9489	0.7476	0.6930	0.467329	0.434165
92000	1.7152	0.7666	0.9485	0.7473	0.6930	0.467161	0.434243
93000	1.7160	0.7678	0.9482	0.7469	0.6930	0.466961	0.434268
94000	1.7171	0.7692	0.9480	0.7464	0.6930	0.466770	0.434292
95000	1.7186	0.7708	0.9478	0.7458	0.6931	0.466668	0.434348
96000	1.7197	0.7723	0.9473	0.7453	0.6932	0.466741	0.434624
97000	1.7205	0.7738	0.9468	0.7448	0.6932	0.466680	0.434771
98000	1.7212	0.7750	0.9462	0.7443	0.6934	0.466566	0.434985
99000	1.7220	0.7766	0.9454	0.7439	0.6938	0.466447	0.435203
100000	1.7229	0.7778	0.9450	0.7434	0.6938	0.466361	0.435501
101000	1.7240	0.7794	0.9446	0.7429	0.6938	0.466391	0.435825
102000	1.7249	0.7805	0.9444	0.7424	0.6938	0.466313	0.436045
103000	1.7259	0.7818	0.9442	0.7420	0.6939	0.466224	0.436226
104000	1.7267	0.7829	0.9438	0.7416	0.6940	0.466073	0.436333
105000	1.7278	0.7841	0.9436	0.7413	0.6939	0.465914	0.436458
106000	1.7288	0.7851	0.9438	0.7411	0.6939	0.465897	0.436654
107000	1.7299	0.7861	0.9437	0.7408	0.6938	0.465766	0.436718
108000	1.7307	0.7870	0.9436	0.7403	0.6938	0.465666	0.436810
109000	1.7315	0.7883	0.9432	0.7399	0.6940	0.465530	0.436868
110000	1.7323	0.7893	0.9430	0.7396	0.6939	0.465319	0.436777
111000	1.7327	0.7900	0.9427	0.7394	0.6940	0.465271	0.436808
112000	1.7335	0.7910	0.9425	0.7390	0.6939	0.465151	0.436764
113000	1.7342	0.7916	0.9426	0.7389	0.6938	0.464991	0.436687
114000	1.7349	0.7924	0.9425	0.7384	0.6938	0.464841	0.436621
115000	1.7357	0.7935	0.9423	0.7381	0.6938	0.464652	0.436512
116000	1.7364	0.7944	0.9421	0.7378	0.6937	0.464599	0.436641
117000	1.7372	0.7953	0.9419	0.7374	0.6937	0.464401	0.436614
118000	1.7380	0.7964	0.9416	0.7371	0.6937	0.464230	0.436605
119000	1.7388	0.7975	0.9413	0.7366	0.6938	0.464069	0.436616
120000	1.7399	0.7987	0.9412	0.7363	0.6937	0.463885	0.436615
121000	1.7407	0.7996	0.9411	0.7360	0.6936	0.463818	0.436752
122000	1.7416	0.8005	0.9411	0.7356	0.6937	0.463644	0.436795
123000	1.7423	0.8015	0.9408	0.7353	0.6937	0.463448	0.436811
124000	1.7428	0.8022	0.9406	0.7351	0.6937	0.463248	0.436822
125000	1.7434	0.8029	0.9404	0.7348	0.6937	0.463091	0.436868
126000	1.7439	0.8039	0.9400	0.7345	0.6937	0.463049	0.436972
127000	1.7447	0.8048	0.9398	0.7342	0.6938	0.462960	0.437026
128000	1.7451	0.8055	0.9396	0.7340	0.6938	0.462821	0.437035
129000	1.7455	0.8062	0.9393	0.7338	0.6940	0.462696	0.437048
130000	1.7456	0.8068	0.9388	0.7335	0.6941	0.462583	0.437047
131000	1.7462	0.8074	0.9388	0.7333	0.6939	0.462601	0.437168
132000	1.7468	0.8080	0.9388	0.7331	0.6938	0.462537	0.437210
133000	1.7472	0.8086	0.9386	0.7328	0.6938	0.462473	0.437244
134000	1.7474	0.8092	0.9382	0.7326	0.6939	0.462402	0.437276
135000	1.7478	0.8097	0.9381	0.7325	0.6939	0.462346	0.437312
136000	1.7482	0.8100	0.9382	0.7323	0.6938	0.462246	0.437369
137000	1.7487	0.8107	0.9380	0.7319	0.6939	0.462050	0.437333
138000	1.7496	0.8115	0.9380	0.7316	0.6938	0.461858	0.437291
139000	1.7501	0.8124	0.9377	0.7313	0.6940	0.461629	0.437222
140000	1.7505	0.8130	0.9374	0.7311	0.6941	0.461396	0.437154
141000	1.7507	0.8136	0.9370	0.7309	0.6940	0.461211	0.437072
142000	1.7512	0.8140	0.9372	0.7307	0.6940	0.460893	0.436858
143000	1.7518	0.8146	0.9372	0.7305	0.6941	0.460599	0.436666
144000	1.7520	0.8150	0.9370	0.7304	0.6942	0.460293	0.436470
145000	1.7524	0.8155	0.9368	0.7301	0.6942	0.460034	0.436306
146000	1.7531	0.8163	0.9368	0.7300	0.6941	0.459871	0.436277
147000	1.7536	0.8169	0.9367	0.7298	0.6941	0.459637	0.436162
148000	1.7540	0.8174	0.9366	0.7294	0.6941	0.459427	0.436075
149000	1.7543	0.8180	0.9363	0.7293	0.6942	0.459188	0.435963
150000	1.7547	0.8186	0.9361	0.7292	0.6942	0.459001	0.435861
151000	1.7550	0.8190	0.9360	0.7290	0.6942	0.459074	0.435952
152000	1.7554	0.8195	0.9359	0.7289	0.6942	0.459069	0.435980
153000	1.7557	0.8199	0.9358	0.7287	0.6941	0.459025	0.435970
154000	1.7561	0.8206	0.9355	0.7285	0.6943	0.459017	0.435992
155000	1.7563	0.8211	0.9352	0.7283	0.6943	0.459018	0.436027
156000	1.7566	0.8216	0.9350	0.7283	0.6943	0.459027	0.436100
157000	1.7570	0.8220	0.9349	0.7281	0.6943	0.458961	0.436094
158000	1.7576	0.8227	0.9348	0.7279	0.6944	0.458888	0.436084
159000	1.7579	0.8234	0.9345	0.7277	0.6945	0.458824	0.436074
160000	1.7586	0.8242	0.9344	0.7273	0.6944	0.458788	0.436094
161000	1.7595	0.8250	0.9345	0.7271	0.6943	0.458838	0.436180
162000	1.7601	0.8256	0.9346	0.7270	0.6943	0.458811	0.436204
163000	1.7606	0.8261	0.9345	0.7268	0.6944	0.458774	0.436215
164000	1.7610	0.8267	0.9344	0.7267	0.6944	0.458736	0.436232
165000	1.7611	0.8270	0.9341	0.7265	0.6945	0.458702	0.436249
166000	1.7613	0.8274	0.9339	0.7264	0.6944	0.458717	0.436343
167000	1.7618	0.8278	0.9340	0.7263	0.6944	0.458652	0.436355
168000	1.7622	0.8282	0.9339	0.7261	0.6944	0.458558	0.436349
169000	1.7627	0.8289	0.9338	0.7258	0.6945	0.458482	0.436370
170000	1.7629	0.8293	0.9336	0.7257	0.6945	0.458392	0.436396
171000	1.7632	0.8297	0.9335	0.7255	0.6946	0.458432	0.436540
172000	1.7634	0.8302	0.9332	0.7253	0.6946	0.458381	0.436588
173000	1.7637	0.8307	0.9330	0.7252	0.6945	0.458359	0.436666
174000	1.7642	0.8312	0.9330	0.7250	0.6946	0.458323	0.436734
175000	1.7645	0.8317	0.9328	0.7250	0.6946	0.458310	0.436802
176000	1.7648	0.8321	0.9327	0.7249	0.6947	0.458317	0.436887
