Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.8140	0.3770	0.4370	0.8923	0.8745	0.263816	0.270767
2000	0.9415	0.4605	0.4810	0.8643	0.8607	0.284799	0.288076
3000	0.9923	0.4983	0.4940	0.8527	0.8587	0.292029	0.304022
4000	1.0582	0.5260	0.5323	0.8452	0.8420	0.296054	0.314331
5000	1.1176	0.5582	0.5594	0.8349	0.8312	0.300198	0.317474
6000	1.1652	0.5825	0.5827	0.8272	0.8223	0.303384	0.319429
7000	1.2063	0.6006	0.6057	0.8215	0.8132	0.306372	0.320084
8000	1.2416	0.6165	0.6251	0.8168	0.8064	0.308975	0.320760
9000	1.2709	0.6341	0.6368	0.8096	0.8018	0.311072	0.320896
10000	1.3054	0.6504	0.6550	0.8025	0.7946	0.312003	0.320652
11000	1.3345	0.6626	0.6718	0.7973	0.7882	0.331112	0.337202
12000	1.3653	0.6777	0.6875	0.7912	0.7822	0.331004	0.336276
13000	1.3926	0.6898	0.7028	0.7870	0.7766	0.330243	0.335009
14000	1.4164	0.7015	0.7149	0.7824	0.7722	0.329139	0.333449
15000	1.4416	0.7111	0.7305	0.7796	0.7661	0.328012	0.331837
16000	1.4651	0.7219	0.7432	0.7755	0.7615	0.326643	0.330324
17000	1.4838	0.7300	0.7538	0.7726	0.7574	0.325157	0.328629
18000	1.5029	0.7403	0.7626	0.7694	0.7541	0.323548	0.327042
19000	1.5152	0.7466	0.7686	0.7677	0.7525	0.322212	0.325740
20000	1.5265	0.7510	0.7754	0.7679	0.7501	0.321037	0.324721
21000	1.5410	0.7587	0.7822	0.7647	0.7472	0.329048	0.330846
22000	1.5544	0.7668	0.7876	0.7613	0.7453	0.327890	0.332981
23000	1.5691	0.7753	0.7938	0.7577	0.7425	0.326673	0.334724
24000	1.5789	0.7809	0.7980	0.7554	0.7409	0.325596	0.336273
25000	1.5870	0.7843	0.8028	0.7541	0.7390	0.324252	0.337407
26000	1.5958	0.7894	0.8064	0.7520	0.7375	0.323015	0.338263
27000	1.6055	0.7952	0.8103	0.7494	0.7359	0.321800	0.338994
28000	1.6151	0.8003	0.8148	0.7472	0.7339	0.320770	0.339739
29000	1.6221	0.8045	0.8177	0.7456	0.7328	0.319634	0.340233
30000	1.6307	0.8074	0.8232	0.7442	0.7309	0.318537	0.340564
31000	1.6362	0.8104	0.8258	0.7425	0.7298	0.322110	0.343673
32000	1.6437	0.8133	0.8304	0.7411	0.7280	0.322485	0.344586
33000	1.6483	0.8156	0.8327	0.7402	0.7274	0.322779	0.345362
34000	1.6550	0.8191	0.8359	0.7389	0.7259	0.323056	0.346084
35000	1.6608	0.8221	0.8387	0.7375	0.7248	0.323413	0.346868
36000	1.6652	0.8241	0.8411	0.7366	0.7240	0.323735	0.347585
37000	1.6702	0.8270	0.8432	0.7353	0.7233	0.324066	0.348220
38000	1.6729	0.8282	0.8447	0.7352	0.7224	0.324378	0.348759
39000	1.6771	0.8305	0.8465	0.7341	0.7218	0.324698	0.349470
40000	1.6811	0.8332	0.8479	0.7331	0.7211	0.324896	0.349995
41000	1.6839	0.8341	0.8498	0.7325	0.7204	0.327460	0.352083
42000	1.6867	0.8359	0.8508	0.7316	0.7201	0.328243	0.353094
43000	1.6887	0.8370	0.8516	0.7309	0.7197	0.328968	0.353956
44000	1.6932	0.8391	0.8542	0.7300	0.7186	0.329699	0.354871
45000	1.6968	0.8410	0.8558	0.7292	0.7181	0.330364	0.355539
46000	1.6992	0.8421	0.8572	0.7289	0.7177	0.330817	0.356189
47000	1.7022	0.8431	0.8591	0.7283	0.7169	0.331345	0.356934
48000	1.7057	0.8451	0.8605	0.7276	0.7163	0.331874	0.357539
49000	1.7090	0.8472	0.8618	0.7268	0.7158	0.332403	0.358084
50000	1.7110	0.8487	0.8623	0.7262	0.7155	0.332827	0.358794
51000	1.7130	0.8499	0.8631	0.7256	0.7152	0.334539	0.359901
52000	1.7156	0.8513	0.8643	0.7249	0.7147	0.335167	0.360012
53000	1.7177	0.8529	0.8648	0.7241	0.7144	0.335720	0.360120
54000	1.7204	0.8544	0.8660	0.7235	0.7139	0.336241	0.360176
55000	1.7225	0.8553	0.8671	0.7230	0.7135	0.336728	0.360246
56000	1.7243	0.8566	0.8676	0.7226	0.7132	0.337161	0.360300
57000	1.7262	0.8576	0.8686	0.7224	0.7128	0.337493	0.360401
58000	1.7282	0.8588	0.8693	0.7220	0.7125	0.337808	0.360444
59000	1.7300	0.8597	0.8703	0.7215	0.7121	0.338124	0.360501
60000	1.7322	0.8609	0.8712	0.7208	0.7116	0.338428	0.360543
61000	1.7335	0.8622	0.8713	0.7203	0.7116	0.339614	0.361355
62000	1.7345	0.8632	0.8713	0.7199	0.7115	0.339987	0.361527
63000	1.7363	0.8641	0.8722	0.7194	0.7112	0.340349	0.361693
64000	1.7383	0.8652	0.8732	0.7190	0.7108	0.340686	0.361821
65000	1.7396	0.8656	0.8740	0.7188	0.7104	0.341055	0.362004
66000	1.7409	0.8665	0.8744	0.7184	0.7103	0.341328	0.362127
67000	1.7424	0.8669	0.8756	0.7181	0.7098	0.341701	0.362281
68000	1.7443	0.8679	0.8764	0.7177	0.7095	0.342000	0.362359
69000	1.7449	0.8681	0.8768	0.7176	0.7094	0.342324	0.362481
70000	1.7454	0.8685	0.8769	0.7173	0.7093	0.342574	0.362550
71000	1.7468	0.8694	0.8774	0.7168	0.7091	0.343476	0.363341
72000	1.7474	0.8698	0.8776	0.7165	0.7091	0.343893	0.363718
73000	1.7476	0.8694	0.8782	0.7164	0.7088	0.344397	0.364169
74000	1.7491	0.8701	0.8790	0.7162	0.7086	0.344758	0.364514
75000	1.7500	0.8706	0.8794	0.7159	0.7085	0.345117	0.364823
