Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	0.9260	0.2430	0.2500	0.2320	0.2010	0.9263	0.9254	0.9277	0.9456	0.389745	0.385951	0.404121	0.396196
2000	1.0520	0.2805	0.2710	0.2575	0.2430	0.9159	0.9214	0.9267	0.9306	0.409784	0.409172	0.421757	0.410254
3000	1.1457	0.3097	0.3003	0.2707	0.2650	0.9038	0.9104	0.9231	0.9296	0.414266	0.421698	0.427385	0.410025
4000	1.2490	0.3330	0.3210	0.2960	0.2990	0.8969	0.9029	0.9141	0.9170	0.409892	0.421389	0.426382	0.405756
5000	1.3138	0.3438	0.3288	0.3200	0.3212	0.8931	0.8992	0.9035	0.9075	0.405942	0.418328	0.424143	0.401585
6000	1.3653	0.3553	0.3387	0.3358	0.3355	0.8890	0.8965	0.8969	0.9007	0.401865	0.415287	0.421762	0.397968
7000	1.4169	0.3679	0.3474	0.3500	0.3516	0.8836	0.8936	0.8914	0.8938	0.397387	0.411145	0.417865	0.393243
8000	1.4540	0.3786	0.3564	0.3586	0.3604	0.8799	0.8910	0.8883	0.8896	0.393598	0.407589	0.414515	0.389435
9000	1.4787	0.3844	0.3590	0.3662	0.3690	0.8777	0.8904	0.8854	0.8862	0.390447	0.404354	0.411242	0.386135
10000	1.5017	0.3933	0.3632	0.3688	0.3764	0.8741	0.8898	0.8855	0.8832	0.387352	0.401256	0.407976	0.383031
11000	1.5135	0.3986	0.3666	0.3682	0.3800	0.8716	0.8876	0.8853	0.8812	0.415377	0.422200	0.422693	0.398810
12000	1.5380	0.4023	0.3717	0.3776	0.3864	0.8700	0.8859	0.8815	0.8787	0.411549	0.416744	0.417645	0.394953
13000	1.5612	0.4085	0.3778	0.3816	0.3932	0.8675	0.8841	0.8797	0.8759	0.406897	0.411254	0.412123	0.390690
14000	1.5754	0.4130	0.3814	0.3856	0.3954	0.8658	0.8831	0.8776	0.8760	0.401973	0.405597	0.406165	0.386068
15000	1.5897	0.4137	0.3853	0.3919	0.3989	0.8654	0.8818	0.8753	0.8758	0.397039	0.400074	0.400341	0.381644
16000	1.6062	0.4178	0.3891	0.3961	0.4033	0.8640	0.8803	0.8735	0.8747	0.392386	0.394907	0.394715	0.377330
17000	1.6158	0.4188	0.3921	0.4005	0.4043	0.8639	0.8792	0.8717	0.8745	0.388338	0.390413	0.389649	0.373658
18000	1.6274	0.4212	0.3953	0.4037	0.4072	0.8628	0.8780	0.8705	0.8732	0.384502	0.386151	0.384810	0.370113
19000	1.6349	0.4233	0.3963	0.4068	0.4086	0.8622	0.8780	0.8694	0.8730	0.380907	0.382153	0.380438	0.366763
20000	1.6423	0.4239	0.3998	0.4091	0.4094	0.8622	0.8764	0.8684	0.8726	0.377636	0.378483	0.376545	0.363844
21000	1.6480	0.4261	0.3990	0.4103	0.4125	0.8616	0.8763	0.8677	0.8711	0.381653	0.385466	0.383692	0.368635
