Iteration	Avg_Reward	Packet_Loss_Ratio	Avg_Loss
1000	0.6690	0.8057	0.128217
2000	0.7185	0.7887	0.126230
3000	0.7390	0.7828	0.127790
4000	0.7778	0.7701	0.130507
5000	0.8138	0.7539	0.133345
6000	0.8438	0.7433	0.135764
7000	0.8686	0.7335	0.138336
8000	0.8954	0.7243	0.140787
9000	0.9200	0.7161	0.143091
10000	0.9416	0.7071	0.145812
11000	0.9597	0.7005	0.160181
12000	0.9819	0.6916	0.163053
13000	1.0028	0.6831	0.165971
14000	1.0214	0.6760	0.168594
15000	1.0369	0.6696	0.171610
16000	1.0516	0.6648	0.174634
17000	1.0659	0.6594	0.177334
18000	1.0774	0.6546	0.180174
19000	1.0918	0.6491	0.182642
20000	1.1045	0.6447	0.185110
21000	1.1141	0.6407	0.188753
22000	1.1249	0.6366	0.191185
23000	1.1336	0.6334	0.193268
24000	1.1438	0.6299	0.195148
25000	1.1523	0.6263	0.196948
26000	1.1606	0.6233	0.198643
27000	1.1695	0.6202	0.200325
28000	1.1762	0.6178	0.201972
29000	1.1853	0.6145	0.203475
30000	1.1927	0.6118	0.205081
31000	1.1983	0.6095	0.206925
32000	1.2042	0.6074	0.208291
33000	1.2102	0.6052	0.209642
34000	1.2159	0.6031	0.210829
35000	1.2197	0.6014	0.211981
36000	1.2243	0.5996	0.213079
37000	1.2299	0.5975	0.214133
38000	1.2352	0.5955	0.215123
39000	1.2393	0.5944	0.216125
40000	1.2435	0.5928	0.217096
41000	1.2470	0.5913	0.218391
42000	1.2509	0.5900	0.219339
43000	1.2547	0.5886	0.220209
44000	1.2592	0.5869	0.221120
45000	1.2621	0.5856	0.222005
46000	1.2658	0.5842	0.222843
47000	1.2688	0.5830	0.223648
48000	1.2710	0.5823	0.224403
49000	1.2749	0.5808	0.225204
50000	1.2775	0.5798	0.225988
51000	1.2805	0.5788	0.226975
52000	1.2830	0.5778	0.227729
53000	1.2855	0.5767	0.228399
54000	1.2886	0.5755	0.229104
55000	1.2904	0.5747	0.229715
56000	1.2927	0.5738	0.230319
57000	1.2939	0.5733	0.230899
58000	1.2960	0.5724	0.231423
59000	1.2985	0.5715	0.231968
60000	1.3003	0.5710	0.232463
61000	1.3025	0.5702	0.233142
62000	1.3049	0.5693	0.233621
63000	1.3068	0.5687	0.234073
64000	1.3089	0.5677	0.234492
65000	1.3113	0.5669	0.234919
66000	1.3132	0.5661	0.235383
67000	1.3149	0.5656	0.235856
68000	1.3166	0.5650	0.236284
69000	1.3180	0.5646	0.236711
70000	1.3194	0.5642	0.237103
71000	1.3215	0.5634	0.237680
72000	1.3225	0.5629	0.238095
73000	1.3233	0.5627	0.238519
74000	1.3247	0.5623	0.238951
75000	1.3259	0.5619	0.239348
76000	1.3266	0.5615	0.239712
77000	1.3272	0.5614	0.240061
78000	1.3283	0.5610	0.240357
79000	1.3303	0.5602	0.240618
80000	1.3309	0.5600	0.240899
81000	1.3321	0.5595	0.241292
82000	1.3327	0.5592	0.241517
83000	1.3334	0.5589	0.241713
84000	1.3346	0.5585	0.241898
85000	1.3356	0.5582	0.242088
86000	1.3366	0.5579	0.242284
87000	1.3379	0.5574	0.242507
88000	1.3389	0.5570	0.242745
89000	1.3402	0.5566	0.242981
90000	1.3409	0.5564	0.243210
91000	1.3416	0.5563	0.243556
92000	1.3420	0.5560	0.243762
93000	1.3431	0.5557	0.244009
94000	1.3441	0.5554	0.244227
95000	1.3449	0.5551	0.244446
96000	1.3462	0.5546	0.244649
97000	1.3466	0.5545	0.244842
98000	1.3472	0.5543	0.245000
99000	1.3476	0.5541	0.245170
100000	1.3484	0.5539	0.245306
101000	1.3490	0.5537	0.245558
102000	1.3494	0.5534	0.245710
103000	1.3500	0.5533	0.245877
104000	1.3502	0.5532	0.245980
105000	1.3506	0.5531	0.246097
106000	1.3512	0.5528	0.246207
107000	1.3524	0.5523	0.246316
108000	1.3525	0.5522	0.246481
109000	1.3530	0.5522	0.246599
110000	1.3537	0.5519	0.246730
111000	1.3544	0.5517	0.246971
112000	1.3550	0.5515	0.247125
113000	1.3557	0.5512	0.247281
114000	1.3561	0.5511	0.247436
115000	1.3566	0.5509	0.247609
116000	1.3574	0.5506	0.247759
117000	1.3578	0.5504	0.247904
118000	1.3590	0.5501	0.248047
119000	1.3596	0.5499	0.248215
120000	1.3601	0.5497	0.248379
121000	1.3609	0.5495	0.248623
122000	1.3612	0.5495	0.248790
123000	1.3617	0.5493	0.248940
124000	1.3627	0.5489	0.249107
125000	1.3632	0.5488	0.249283
126000	1.3636	0.5486	0.249460
127000	1.3640	0.5484	0.249604
128000	1.3643	0.5483	0.249791
129000	1.3649	0.5480	0.249939
130000	1.3658	0.5478	0.250087
131000	1.3665	0.5474	0.250336
132000	1.3671	0.5472	0.250505
133000	1.3676	0.5471	0.250708
134000	1.3680	0.5469	0.250867
135000	1.3683	0.5468	0.251009
136000	1.3686	0.5468	0.251149
137000	1.3692	0.5465	0.251294
138000	1.3693	0.5463	0.251451
139000	1.3695	0.5462	0.251588
140000	1.3695	0.5462	0.251707
141000	1.3698	0.5461	0.251856
