Iteration	Avg_Total_Reward	Avg_Reward_User_0	Packet_Loss_Ratio_User_0	Avg_Loss_User_0
1000	0.7090	0.7090	0.7878	0.115474
2000	0.7275	0.7275	0.7809	0.116824
3000	0.7473	0.7473	0.7759	0.120219
4000	0.7578	0.7578	0.7723	0.122070
5000	0.7954	0.7954	0.7577	0.124613
6000	0.8318	0.8318	0.7428	0.127581
7000	0.8560	0.8560	0.7340	0.130057
8000	0.8901	0.8901	0.7216	0.132834
9000	0.9126	0.9126	0.7147	0.135511
10000	0.9328	0.9328	0.7071	0.138157
11000	0.9555	0.9555	0.6972	0.149508
12000	0.9715	0.9715	0.6906	0.151888
13000	0.9883	0.9883	0.6840	0.154021
14000	1.0103	1.0103	0.6762	0.155882
15000	1.0307	1.0307	0.6691	0.157817
16000	1.0479	1.0479	0.6631	0.159875
17000	1.0631	1.0631	0.6573	0.161794
18000	1.0776	1.0776	0.6518	0.163490
19000	1.0900	1.0900	0.6478	0.165240
20000	1.1025	1.1025	0.6429	0.167031
21000	1.1140	1.1140	0.6390	0.172128
22000	1.1254	1.1254	0.6347	0.174471
23000	1.1372	1.1372	0.6304	0.176632
24000	1.1464	1.1464	0.6280	0.178788
25000	1.1562	1.1562	0.6243	0.180942
26000	1.1643	1.1643	0.6210	0.182992
27000	1.1727	1.1727	0.6179	0.185022
28000	1.1797	1.1797	0.6153	0.187080
29000	1.1880	1.1880	0.6124	0.189063
30000	1.1954	1.1954	0.6098	0.191002
31000	1.2032	1.2032	0.6068	0.193378
32000	1.2100	1.2100	0.6042	0.195294
33000	1.2146	1.2146	0.6027	0.197061
34000	1.2205	1.2205	0.6007	0.198782
35000	1.2269	1.2269	0.5982	0.200408
36000	1.2328	1.2328	0.5959	0.201988
37000	1.2389	1.2389	0.5942	0.203519
38000	1.2439	1.2439	0.5926	0.204963
39000	1.2482	1.2482	0.5911	0.206409
40000	1.2522	1.2522	0.5895	0.207785
41000	1.2571	1.2571	0.5877	0.209485
42000	1.2606	1.2606	0.5864	0.210832
43000	1.2643	1.2643	0.5851	0.212085
44000	1.2688	1.2688	0.5837	0.213271
45000	1.2710	1.2710	0.5826	0.214388
46000	1.2751	1.2751	0.5811	0.215457
47000	1.2780	1.2780	0.5803	0.216471
48000	1.2802	1.2802	0.5796	0.217473
49000	1.2840	1.2840	0.5784	0.218452
50000	1.2865	1.2865	0.5777	0.219392
51000	1.2891	1.2891	0.5766	0.220491
52000	1.2919	1.2919	0.5756	0.221375
53000	1.2943	1.2943	0.5748	0.222210
54000	1.2962	1.2962	0.5738	0.222995
55000	1.2989	1.2989	0.5728	0.223762
56000	1.3014	1.3014	0.5720	0.224492
57000	1.3044	1.3044	0.5710	0.225189
58000	1.3071	1.3071	0.5700	0.225893
59000	1.3088	1.3088	0.5693	0.226568
60000	1.3106	1.3106	0.5686	0.227226
61000	1.3128	1.3128	0.5679	0.227997
62000	1.3144	1.3144	0.5674	0.228614
63000	1.3160	1.3160	0.5668	0.229219
64000	1.3175	1.3175	0.5662	0.229781
65000	1.3187	1.3187	0.5657	0.230311
66000	1.3201	1.3201	0.5649	0.230812
67000	1.3221	1.3221	0.5642	0.231324
68000	1.3238	1.3238	0.5634	0.231808
69000	1.3253	1.3253	0.5626	0.232282
70000	1.3267	1.3267	0.5621	0.232746
71000	1.3276	1.3276	0.5618	0.233291
72000	1.3292	1.3292	0.5612	0.233701
73000	1.3303	1.3303	0.5608	0.234142
74000	1.3311	1.3311	0.5605	0.234573
75000	1.3320	1.3320	0.5603	0.234986
76000	1.3329	1.3329	0.5599	0.235363
77000	1.3348	1.3348	0.5592	0.235735
78000	1.3356	1.3356	0.5588	0.236083
79000	1.3371	1.3371	0.5582	0.236422
80000	1.3378	1.3378	0.5580	0.236756
81000	1.3389	1.3389	0.5576	0.237217
82000	1.3402	1.3402	0.5572	0.237546
83000	1.3414	1.3414	0.5567	0.237867
84000	1.3427	1.3427	0.5561	0.238184
85000	1.3439	1.3439	0.5557	0.238510
86000	1.3451	1.3451	0.5552	0.238817
87000	1.3462	1.3462	0.5549	0.239106
88000	1.3471	1.3471	0.5543	0.239396
89000	1.3479	1.3479	0.5541	0.239694
90000	1.3489	1.3489	0.5536	0.239989
91000	1.3497	1.3497	0.5534	0.240387
92000	1.3502	1.3502	0.5532	0.240697
93000	1.3511	1.3511	0.5529	0.240962
94000	1.3523	1.3523	0.5525	0.241259
95000	1.3528	1.3528	0.5523	0.241543
96000	1.3542	1.3542	0.5519	0.241854
97000	1.3553	1.3553	0.5516	0.242133
98000	1.3557	1.3557	0.5513	0.242377
99000	1.3560	1.3560	0.5510	0.242645
100000	1.3561	1.3561	0.5509	0.242878
101000	1.3569	1.3569	0.5506	0.243214
102000	1.3572	1.3572	0.5505	0.243471
