Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	2.9230	0.7220	0.7320	0.7200	0.7490	0.7910	0.7820	0.7940	0.7769	0.924691	0.869510	0.902333	0.915191
2000	3.3820	0.8355	0.8435	0.8455	0.8575	0.7465	0.7323	0.7419	0.7398	0.929743	0.884933	0.904804	0.918909
3000	3.8177	0.9470	0.9587	0.9537	0.9583	0.7079	0.6926	0.7029	0.7007	0.946041	0.909017	0.929674	0.936345
4000	4.1152	1.0243	1.0350	1.0257	1.0303	0.6777	0.6649	0.6760	0.6738	0.951800	0.927833	0.944516	0.948230
5000	4.3774	1.0950	1.0926	1.0998	1.0900	0.6513	0.6427	0.6510	0.6507	0.952610	0.937520	0.952724	0.951809
6000	4.5405	1.1323	1.1358	1.1375	1.1348	0.6366	0.6264	0.6336	0.6339	0.952107	0.941823	0.955614	0.950528
7000	4.6787	1.1654	1.1749	1.1729	1.1656	0.6235	0.6133	0.6202	0.6230	0.948997	0.941548	0.954440	0.946448
8000	4.7808	1.1931	1.2004	1.1958	1.1915	0.6136	0.6033	0.6109	0.6135	0.944254	0.939482	0.951747	0.941394
9000	4.8637	1.2124	1.2242	1.2147	1.2123	0.6072	0.5968	0.6028	0.6051	0.938299	0.935169	0.947010	0.935229
10000	4.9394	1.2299	1.2445	1.2309	1.2341	0.6006	0.5902	0.5958	0.5966	0.932194	0.930159	0.941962	0.929038
11000	5.0122	1.2442	1.2631	1.2498	1.2551	0.5936	0.5840	0.5886	0.5876	0.974714	0.968796	0.981852	0.965524
12000	5.0658	1.2589	1.2739	1.2643	1.2686	0.5881	0.5811	0.5829	0.5833	0.974285	0.969049	0.982042	0.965894
13000	5.1160	1.2745	1.2825	1.2756	1.2834	0.5822	0.5769	0.5789	0.5774	0.971112	0.965923	0.979056	0.963680
14000	5.1566	1.2868	1.2939	1.2856	1.2903	0.5773	0.5729	0.5747	0.5743	0.968267	0.962844	0.976234	0.961496
15000	5.1917	1.2952	1.3009	1.2941	1.3014	0.5730	0.5698	0.5715	0.5710	0.965176	0.959712	0.973439	0.958851
16000	5.2168	1.2999	1.3066	1.3026	1.3076	0.5708	0.5669	0.5691	0.5681	0.960919	0.955275	0.969533	0.955491
17000	5.2468	1.3068	1.3110	1.3101	1.3189	0.5678	0.5647	0.5661	0.5641	0.957218	0.951379	0.966026	0.952667
18000	5.2754	1.3121	1.3159	1.3205	1.3268	0.5651	0.5627	0.5620	0.5616	0.954185	0.947996	0.962383	0.950251
19000	5.2938	1.3151	1.3226	1.3269	1.3293	0.5636	0.5607	0.5597	0.5614	0.951665	0.945342	0.959785	0.948578
20000	5.3111	1.3205	1.3244	1.3311	1.3352	0.5615	0.5602	0.5585	0.5588	0.949623	0.942838	0.957316	0.947081
21000	5.3202	1.3218	1.3276	1.3331	1.3378	0.5604	0.5591	0.5578	0.5575	0.967461	0.960615	0.974668	0.963759
22000	5.3376	1.3275	1.3315	1.3387	1.3398	0.5581	0.5573	0.5556	0.5563	0.966095	0.959141	0.972434	0.962611
23000	5.3507	1.3308	1.3356	1.3414	1.3429	0.5581	0.5559	0.5545	0.5546	0.964435	0.957251	0.969809	0.961178
24000	5.3653	1.3340	1.3394	1.3454	1.3465	0.5570	0.5546	0.5530	0.5534	0.962424	0.955099	0.966784	0.959328
25000	5.3816	1.3382	1.3442	1.3502	1.3491	0.5557	0.5534	0.5512	0.5528	0.960320	0.952942	0.963802	0.957495
26000	5.3928	1.3415	1.3476	1.3524	1.3513	0.5546	0.5524	0.5506	0.5522	0.958796	0.951042	0.961322	0.956109
