Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.2080	0.6090	0.5990	0.8341	0.8343	0.356649	0.348740
2000	1.3795	0.6945	0.6850	0.8019	0.8033	0.380062	0.376999
3000	1.5213	0.7587	0.7627	0.7790	0.7738	0.399994	0.396383
4000	1.6583	0.8243	0.8340	0.7524	0.7483	0.416654	0.409971
5000	1.7634	0.8826	0.8808	0.7310	0.7295	0.428606	0.419907
6000	1.8545	0.9267	0.9278	0.7143	0.7122	0.438807	0.428609
7000	1.9416	0.9720	0.9696	0.6965	0.6962	0.446583	0.434842
8000	2.0164	1.0095	1.0069	0.6836	0.6824	0.452834	0.440821
9000	2.0756	1.0420	1.0336	0.6706	0.6713	0.458668	0.445888
10000	2.1290	1.0708	1.0582	0.6597	0.6631	0.463699	0.450576
11000	2.1834	1.0967	1.0866	0.6501	0.6514	0.477795	0.465130
12000	2.2289	1.1181	1.1108	0.6412	0.6417	0.483280	0.471492
13000	2.2635	1.1352	1.1282	0.6344	0.6353	0.487738	0.476788
14000	2.2982	1.1523	1.1459	0.6274	0.6289	0.490994	0.481121
15000	2.3301	1.1655	1.1646	0.6226	0.6219	0.494010	0.484871
16000	2.3574	1.1799	1.1776	0.6170	0.6170	0.496241	0.487946
17000	2.3801	1.1921	1.1880	0.6122	0.6129	0.498164	0.490381
18000	2.4026	1.2018	1.2008	0.6085	0.6081	0.499452	0.492404
19000	2.4233	1.2111	1.2122	0.6056	0.6039	0.500097	0.493785
20000	2.4434	1.2203	1.2231	0.6020	0.6005	0.500781	0.495028
21000	2.4615	1.2276	1.2339	0.5991	0.5966	0.506773	0.500878
22000	2.4768	1.2355	1.2413	0.5961	0.5938	0.507320	0.501539
