Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
1000	4.5850	0.7190	0.6930	0.7780	0.8370	0.7620	0.7960	0.7873	0.7912	0.7610	0.7348	0.7713	0.7519	1.376025	1.375875	1.342679	1.317211	1.411718	1.298816
2000	5.6085	0.9180	0.9165	0.9285	0.9540	0.9380	0.9535	0.7153	0.7116	0.7021	0.6937	0.7087	0.6951	1.378597	1.400586	1.380918	1.373078	1.427094	1.331487
3000	6.2173	1.0113	1.0267	1.0577	1.0503	1.0320	1.0393	0.6818	0.6686	0.6556	0.6571	0.6723	0.6638	1.379414	1.419541	1.409165	1.407733	1.449326	1.329933
4000	6.7030	1.0958	1.1100	1.1290	1.1313	1.1190	1.1180	0.6500	0.6373	0.6333	0.6279	0.6411	0.6343	1.364457	1.409016	1.428232	1.427963	1.465265	1.320445
5000	7.0326	1.1564	1.1668	1.1844	1.1826	1.1758	1.1666	0.6264	0.6173	0.6136	0.6104	0.6204	0.6153	1.338895	1.385523	1.440900	1.435762	1.474419	1.303090
6000	7.2725	1.2025	1.2053	1.2143	1.2250	1.2185	1.2068	0.6080	0.6039	0.6030	0.5973	0.6041	0.6013	1.314837	1.361391	1.436802	1.416876	1.456980	1.283966
7000	7.4339	1.2239	1.2337	1.2474	1.2433	1.2456	1.2400	0.5974	0.5925	0.5920	0.5910	0.5916	0.5909	1.292914	1.338921	1.413901	1.390419	1.428019	1.266113
8000	7.5604	1.2457	1.2537	1.2690	1.2629	1.2681	1.2609	0.5907	0.5829	0.5839	0.5837	0.5839	0.5829	1.273966	1.318740	1.388190	1.365174	1.400335	1.250142
9000	7.6584	1.2629	1.2692	1.2853	1.2822	1.2841	1.2747	0.5843	0.5782	0.5789	0.5783	0.5782	0.5794	1.256567	1.299766	1.363927	1.342005	1.374879	1.235161
10000	7.7358	1.2806	1.2795	1.2971	1.2923	1.2941	1.2922	0.5775	0.5744	0.5746	0.5746	0.5738	0.5746	1.241287	1.283350	1.343266	1.322520	1.353505	1.222268
11000	7.7997	1.2915	1.2954	1.3052	1.3048	1.3033	1.2995	0.5736	0.5690	0.5718	0.5690	0.5692	0.5716	1.334591	1.380265	1.437647	1.420489	1.441372	1.319776
12000	7.8578	1.3042	1.3034	1.3133	1.3135	1.3146	1.3088	0.5674	0.5665	0.5683	0.5649	0.5659	0.5682	1.334747	1.377979	1.435786	1.416224	1.432617	1.318078
13000	7.9075	1.3135	1.3077	1.3227	1.3217	1.3222	1.3196	0.5651	0.5653	0.5643	0.5614	0.5634	0.5652	1.327770	1.366989	1.421126	1.404315	1.418848	1.311503
14000	7.9519	1.3203	1.3155	1.3317	1.3282	1.3281	1.3281	0.5626	0.5620	0.5614	0.5586	0.5608	0.5615	1.318428	1.353539	1.404546	1.390220	1.403774	1.302744
15000	7.9847	1.3319	1.3210	1.3349	1.3342	1.3312	1.3315	0.5594	0.5592	0.5600	0.5554	0.5591	0.5593	1.309291	1.340661	1.388850	1.377055	1.390194	1.294323
16000	8.0169	1.3389	1.3247	1.3397	1.3390	1.3396	1.3349	0.5562	0.5580	0.5586	0.5534	0.5563	0.5578	1.301296	1.329338	1.374786	1.365661	1.378160	1.286962
17000	8.0425	1.3430	1.3282	1.3414	1.3428	1.3456	1.3415	0.5543	0.5574	0.5569	0.5522	0.5539	0.5559	1.293630	1.318803	1.361804	1.355005	1.367116	1.279972
18000	8.0645	1.3493	1.3322	1.3443	1.3463	1.3487	1.3438	0.5529	0.5562	0.5563	0.5511	0.5527	0.5551	1.286683	1.309556	1.350354	1.345846	1.357164	1.273337
19000	8.0861	1.3518	1.3378	1.3476	1.3474	1.3546	1.3468	0.5525	0.5544	0.5548	0.5499	0.5506	0.5544	1.280645	1.301190	1.340184	1.337395	1.348317	1.267425
20000	8.1031	1.3558	1.3413	1.3483	1.3493	1.3585	1.3499	0.5512	0.5535	0.5543	0.5497	0.5492	0.5536	1.274084	1.292836	1.330269	1.329177	1.339551	1.261360
21000	8.1110	1.3587	1.3442	1.3488	1.3504	1.3586	1.3503	0.5504	0.5524	0.5543	0.5493	0.5480	0.5530	1.316718	1.335269	1.373361	1.369706	1.381874	1.302527
22000	8.1328	1.3628	1.3484	1.3522	1.3538	1.3616	1.3540	0.5489	0.5506	0.5524	0.5478	0.5466	0.5519	1.316357	1.334610	1.369964	1.364732	1.378155	1.302841
23000	8.1501	1.3660	1.3514	1.3557	1.3557	1.3647	1.3566	0.5474	0.5498	0.5512	0.5466	0.5452	0.5507	1.314565	1.332479	1.365925	1.358499	1.373743	1.301621
24000	8.1636	1.3673	1.3548	1.3592	1.3563	1.3670	1.3590	0.5466	0.5486	0.5494	0.5469	0.5441	0.5502	1.312063	1.329840	1.361593	1.352240	1.368979	1.299298
25000	8.1746	1.3679	1.3571	1.3626	1.3582	1.3677	1.3612	0.5457	0.5478	0.5480	0.5460	0.5434	0.5494	1.309977	1.327198	1.357695	1.346135	1.364485	1.297171
26000	8.1882	1.3696	1.3618	1.3659	1.3598	1.3687	1.3623	0.5451	0.5464	0.5463	0.5447	0.5432	0.5492	1.307169	1.324268	1.353473	1.339932	1.359653	1.294216
27000	8.2033	1.3727	1.3643	1.3690	1.3617	1.3711	1.3645	0.5438	0.5458	0.5453	0.5447	0.5427	0.5487	1.304094	1.321339	1.349450	1.333557	1.354780	1.291227
28000	8.2131	1.3746	1.3669	1.3702	1.3638	1.3708	1.3667	0.5433	0.5447	0.5443	0.5439	0.5431	0.5480	1.301031	1.318327	1.345564	1.327468	1.350271	1.288150
29000	8.2261	1.3770	1.3689	1.3723	1.3660	1.3726	1.3693	0.5425	0.5445	0.5432	0.5429	0.5426	0.5473	1.297531	1.314980	1.341283	1.321535	1.345403	1.284876
30000	8.2338	1.3793	1.3685	1.3745	1.3685	1.3725	1.3705	0.5414	0.5444	0.5425	0.5421	0.5423	0.5469	1.294127	1.311915	1.337512	1.315883	1.340975	1.281658
31000	8.2430	1.3805	1.3699	1.3758	1.3697	1.3746	1.3725	0.5405	0.5441	0.5422	0.5415	0.5413	0.5462	1.318580	1.336314	1.361689	1.343185	1.364871	1.306840
32000	8.2477	1.3810	1.3708	1.3757	1.3709	1.3758	1.3735	0.5399	0.5436	0.5419	0.5414	0.5408	0.5456	1.319235	1.336567	1.361645	1.343541	1.362986	1.307428
33000	8.2534	1.3820	1.3709	1.3774	1.3725	1.3771	1.3734	0.5393	0.5435	0.5413	0.5405	0.5402	0.5456	1.318154	1.335001	1.360250	1.341827	1.359443	1.306197
34000	8.2589	1.3830	1.3726	1.3780	1.3741	1.3781	1.3731	0.5386	0.5429	0.5412	0.5399	0.5397	0.5454	1.317001	1.333461	1.358656	1.339740	1.356019	1.304758
35000	8.2637	1.3826	1.3738	1.3799	1.3737	1.3798	1.3738	0.5387	0.5426	0.5406	0.5402	0.5393	0.5446	1.314702	1.331129	1.356380	1.337064	1.352003	1.302511
36000	8.2702	1.3833	1.3748	1.3798	1.3759	1.3811	1.3753	0.5392	0.5426	0.5405	0.5397	0.5388	0.5439	1.311950	1.328605	1.353935	1.334453	1.347796	1.299943
37000	8.2785	1.3858	1.3759	1.3805	1.3769	1.3826	1.3768	0.5384	0.5424	0.5404	0.5396	0.5384	0.5431	1.309149	1.325663	1.350897	1.331556	1.343583	1.296969
38000	8.2857	1.3859	1.3771	1.3815	1.3786	1.3838	1.3788	0.5379	0.5422	0.5401	0.5390	0.5382	0.5425	1.306134	1.322599	1.348032	1.329019	1.339316	1.294354
39000	8.2916	1.3870	1.3785	1.3819	1.3795	1.3844	1.3803	0.5376	0.5412	0.5399	0.5387	0.5374	0.5420	1.302886	1.319073	1.344641	1.325977	1.334708	1.291256
40000	8.2951	1.3861	1.3793	1.3824	1.3806	1.3864	1.3803	0.5377	0.5409	0.5397	0.5382	0.5367	0.5420	1.299554	1.315476	1.341042	1.322595	1.329966	1.287979
41000	8.3009	1.3876	1.3798	1.3828	1.3817	1.3868	1.3822	0.5372	0.5410	0.5398	0.5380	0.5366	0.5410	1.315347	1.330442	1.356329	1.338562	1.345258	1.303475
42000	8.3027	1.3878	1.3804	1.3839	1.3824	1.3862	1.3820	0.5369	0.5404	0.5396	0.5375	0.5367	0.5408	1.315570	1.329691	1.354505	1.337259	1.343709	1.302906
43000	8.3077	1.3893	1.3801	1.3852	1.3827	1.3869	1.3833	0.5365	0.5403	0.5391	0.5377	0.5365	0.5400	1.314682	1.327801	1.351908	1.334893	1.341267	1.301361
44000	8.3139	1.3907	1.3815	1.3853	1.3835	1.3886	1.3843	0.5360	0.5401	0.5390	0.5372	0.5364	0.5397	1.313447	1.325858	1.349182	1.332471	1.338858	1.299737
45000	8.3200	1.3914	1.3845	1.3862	1.3833	1.3893	1.3854	0.5360	0.5394	0.5388	0.5372	0.5360	0.5391	1.311925	1.323392	1.346054	1.329508	1.336046	1.297804
46000	8.3255	1.3920	1.3847	1.3871	1.3849	1.3903	1.3865	0.5358	0.5390	0.5386	0.5366	0.5356	0.5386	1.310064	1.320781	1.342991	1.326765	1.333348	1.295611
47000	8.3307	1.3933	1.3854	1.3881	1.3861	1.3906	1.3872	0.5351	0.5388	0.5385	0.5362	0.5355	0.5383	1.308223	1.318317	1.340146	1.324030	1.330574	1.293519
48000	8.3323	1.3943	1.3855	1.3875	1.3870	1.3902	1.3879	0.5344	0.5389	0.5382	0.5358	0.5355	0.5378	1.306070	1.315645	1.337120	1.321003	1.327749	1.291164
49000	8.3334	1.3948	1.3857	1.3879	1.3870	1.3895	1.3887	0.5339	0.5389	0.5382	0.5357	0.5359	0.5376	1.303642	1.312604	1.333827	1.317894	1.324693	1.288696
50000	8.3380	1.3965	1.3867	1.3881	1.3871	1.3906	1.3889	0.5337	0.5386	0.5382	0.5354	0.5352	0.5373	1.301128	1.309557	1.330491	1.314679	1.321514	1.286111
51000	8.3412	1.3965	1.3873	1.3877	1.3882	1.3916	1.3899	0.5339	0.5384	0.5384	0.5351	0.5351	0.5370	1.312984	1.320927	1.341978	1.326731	1.333629	1.298416
52000	8.3425	1.3963	1.3881	1.3890	1.3865	1.3928	1.3898	0.5339	0.5381	0.5379	0.5359	0.5347	0.5369	1.313139	1.320932	1.341627	1.326312	1.332542	1.298279
53000	8.3461	1.3966	1.3887	1.3891	1.3882	1.3932	1.3904	0.5342	0.5379	0.5383	0.5357	0.5344	0.5364	1.312114	1.319915	1.339975	1.324722	1.330534	1.296991
54000	8.3479	1.3967	1.3891	1.3887	1.3887	1.3937	1.3911	0.5344	0.5376	0.5382	0.5353	0.5341	0.5362	1.310673	1.318401	1.337925	1.322847	1.328373	1.295331
55000	8.3507	1.3971	1.3891	1.3891	1.3896	1.3939	1.3918	0.5342	0.5376	0.5379	0.5351	0.5340	0.5357	1.308818	1.316694	1.335491	1.320835	1.325907	1.293463
56000	8.3539	1.3979	1.3898	1.3895	1.3897	1.3948	1.3922	0.5340	0.5373	0.5378	0.5351	0.5337	0.5353	1.306870	1.314670	1.332901	1.318507	1.323320	1.291238
57000	8.3578	1.3991	1.3900	1.3893	1.3903	1.3957	1.3934	0.5337	0.5372	0.5379	0.5348	0.5332	0.5350	1.304822	1.312239	1.330032	1.315822	1.320600	1.288719
58000	8.3604	1.3995	1.3907	1.3903	1.3909	1.3960	1.3930	0.5336	0.5371	0.5376	0.5347	0.5334	0.5351	1.302553	1.309786	1.327245	1.313298	1.317831	1.286235
59000	8.3635	1.4002	1.3904	1.3913	1.3918	1.3964	1.3935	0.5333	0.5372	0.5374	0.5344	0.5335	0.5351	1.300370	1.307403	1.324539	1.311086	1.315099	1.283927
60000	8.3649	1.4001	1.3911	1.3914	1.3918	1.3959	1.3946	0.5335	0.5371	0.5372	0.5343	0.5337	0.5348	1.298149	1.304739	1.321541	1.308800	1.312225	1.281499
61000	8.3666	1.3997	1.3918	1.3917	1.3915	1.3965	1.3953	0.5337	0.5368	0.5372	0.5342	0.5336	0.5346	1.307091	1.314158	1.329551	1.318336	1.321643	1.289710
62000	8.3680	1.4001	1.3921	1.3918	1.3922	1.3970	1.3947	0.5335	0.5368	0.5370	0.5342	0.5333	0.5349	1.307956	1.315107	1.329749	1.318968	1.321470	1.290412
63000	8.3715	1.4009	1.3927	1.3922	1.3926	1.3980	1.3952	0.5334	0.5367	0.5369	0.5340	0.5330	0.5348	1.308186	1.315798	1.329535	1.319152	1.320933	1.290809
64000	8.3730	1.4012	1.3935	1.3922	1.3928	1.3970	1.3963	0.5333	0.5366	0.5367	0.5339	0.5332	0.5345	1.308103	1.315824	1.328792	1.318783	1.319856	1.290747
65000	8.3739	1.4013	1.3932	1.3923	1.3935	1.3977	1.3959	0.5332	0.5364	0.5366	0.5338	0.5328	0.5347	1.307649	1.315512	1.328020	1.318047	1.318606	1.290376
66000	8.3734	1.4012	1.3928	1.3929	1.3933	1.3980	1.3951	0.5331	0.5364	0.5362	0.5340	0.5329	0.5349	1.306953	1.315050	1.326811	1.317170	1.317104	1.289862
67000	8.3767	1.4014	1.3929	1.3940	1.3937	1.3988	1.3959	0.5330	0.5362	0.5358	0.5340	0.5326	0.5347	1.306007	1.314491	1.325481	1.316096	1.315566	1.289261
68000	8.3792	1.4015	1.3935	1.3952	1.3933	1.3990	1.3965	0.5330	0.5358	0.5355	0.5340	0.5325	0.5343	1.305125	1.313786	1.324025	1.315040	1.313963	1.288452
69000	8.3816	1.4015	1.3936	1.3962	1.3939	1.3997	1.3968	0.5330	0.5359	0.5352	0.5337	0.5324	0.5342	1.304141	1.313035	1.322600	1.313886	1.312252	1.287609
70000	8.3820	1.4017	1.3930	1.3971	1.3937	1.3993	1.3972	0.5331	0.5359	0.5349	0.5335	0.5328	0.5341	1.303255	1.312299	1.321220	1.312716	1.310721	1.286732
71000	8.3824	1.4016	1.3934	1.3969	1.3935	1.3996	1.3974	0.5332	0.5357	0.5350	0.5335	0.5326	0.5339	1.310699	1.319899	1.328267	1.320139	1.318278	1.293994
72000	8.3839	1.4024	1.3937	1.3974	1.3940	1.3995	1.3969	0.5329	0.5356	0.5349	0.5336	0.5323	0.5342	1.311061	1.320010	1.327732	1.320003	1.318078	1.294309
73000	8.3847	1.4023	1.3942	1.3975	1.3940	1.3996	1.3972	0.5329	0.5355	0.5350	0.5337	0.5322	0.5342	1.310325	1.319267	1.326135	1.318899	1.317142	1.293721
74000	8.3867	1.4027	1.3947	1.3984	1.3944	1.3989	1.3976	0.5329	0.5353	0.5347	0.5336	0.5323	0.5341	1.309308	1.318294	1.324312	1.317637	1.315890	1.292866
75000	8.3877	1.4024	1.3956	1.3986	1.3942	1.3992	1.3977	0.5330	0.5352	0.5345	0.5338	0.5324	0.5341	1.307863	1.316855	1.322188	1.315974	1.314141	1.291415
76000	8.3893	1.4031	1.3964	1.3991	1.3943	1.3991	1.3974	0.5328	0.5348	0.5343	0.5339	0.5324	0.5340	1.306569	1.315220	1.320028	1.314146	1.312403	1.289968
77000	8.3882	1.4027	1.3966	1.3993	1.3944	1.3983	1.3970	0.5330	0.5347	0.5344	0.5338	0.5327	0.5342	1.304919	1.313155	1.317656	1.312060	1.310260	1.288191
78000	8.3911	1.4029	1.3973	1.3999	1.3947	1.3991	1.3971	0.5328	0.5344	0.5341	0.5338	0.5323	0.5341	1.303088	1.311023	1.315121	1.309782	1.308107	1.286328
79000	8.3918	1.4030	1.3974	1.4001	1.3949	1.3995	1.3970	0.5329	0.5343	0.5341	0.5338	0.5324	0.5342	1.301132	1.308944	1.312469	1.307630	1.305908	1.284477
80000	8.3935	1.4030	1.3976	1.4006	1.3954	1.4000	1.3969	0.5330	0.5342	0.5340	0.5337	0.5320	0.5342	1.299147	1.306910	1.309947	1.305432	1.303852	1.282629
81000	8.3933	1.4026	1.3976	1.4010	1.3953	1.4001	1.3967	0.5332	0.5341	0.5338	0.5337	0.5322	0.5341	1.305722	1.313140	1.315744	1.311741	1.310321	1.288551
82000	8.3948	1.4024	1.3977	1.4014	1.3956	1.4009	1.3969	0.5333	0.5340	0.5336	0.5338	0.5320	0.5339	1.305624	1.313410	1.315339	1.311380	1.310225	1.288391
83000	8.3963	1.4027	1.3978	1.4017	1.3960	1.4007	1.3974	0.5331	0.5341	0.5336	0.5338	0.5319	0.5338	1.305246	1.313416	1.314452	1.310752	1.309598	1.288008
84000	8.3973	1.4032	1.3980	1.4020	1.3962	1.4003	1.3975	0.5329	0.5339	0.5336	0.5339	0.5321	0.5338	1.304588	1.312901	1.313287	1.310021	1.308632	1.287104
85000	8.3990	1.4035	1.3982	1.4023	1.3971	1.4005	1.3975	0.5328	0.5339	0.5333	0.5336	0.5320	0.5338	1.303577	1.311991	1.311965	1.308832	1.307377	1.285973
86000	8.3986	1.4037	1.3980	1.4024	1.3969	1.4004	1.3971	0.5329	0.5339	0.5332	0.5337	0.5320	0.5338	1.302452	1.310850	1.310647	1.307398	1.306191	1.284736
87000	8.3989	1.4036	1.3982	1.4032	1.3966	1.4005	1.3968	0.5328	0.5337	0.5328	0.5336	0.5320	0.5338	1.301226	1.309757	1.308997	1.305894	1.304854	1.283510
88000	8.3992	1.4036	1.3983	1.4030	1.3968	1.4005	1.3969	0.5327	0.5338	0.5328	0.5333	0.5318	0.5337	1.300049	1.308612	1.307331	1.304346	1.303480	1.282314
89000	8.4008	1.4039	1.3987	1.4039	1.3966	1.4005	1.3972	0.5324	0.5336	0.5324	0.5334	0.5319	0.5339	1.298778	1.307345	1.305523	1.302633	1.301963	1.281101
90000	8.4021	1.4045	1.3992	1.4036	1.3969	1.4008	1.3972	0.5323	0.5333	0.5325	0.5332	0.5318	0.5339	1.297500	1.305940	1.303547	1.300925	1.300295	1.279828
91000	8.4040	1.4047	1.3998	1.4043	1.3970	1.4008	1.3973	0.5323	0.5331	0.5322	0.5331	0.5319	0.5339	1.303700	1.312101	1.309942	1.307328	1.306398	1.286025
92000	8.4044	1.4049	1.3996	1.4044	1.3977	1.4007	1.3971	0.5323	0.5332	0.5321	0.5329	0.5318	0.5341	1.304642	1.312682	1.310412	1.307845	1.306839	1.286934
93000	8.4051	1.4050	1.3998	1.4042	1.3977	1.4008	1.3975	0.5323	0.5331	0.5321	0.5331	0.5319	0.5340	1.304555	1.312683	1.310078	1.307515	1.306620	1.287100
94000	8.4054	1.4051	1.4001	1.4043	1.3974	1.4005	1.3978	0.5322	0.5328	0.5321	0.5332	0.5320	0.5341	1.303947	1.312229	1.309138	1.306834	1.305948	1.286472
95000	8.4066	1.4052	1.4003	1.4048	1.3979	1.4003	1.3980	0.5320	0.5327	0.5320	0.5331	0.5321	0.5341	1.303094	1.311272	1.307953	1.305791	1.304933	1.285451
96000	8.4070	1.4054	1.4001	1.4048	1.3981	1.4003	1.3984	0.5320	0.5328	0.5321	0.5332	0.5321	0.5340	1.302181	1.310328	1.306700	1.304816	1.303986	1.284383
97000	8.4078	1.4055	1.3998	1.4054	1.3983	1.4000	1.3989	0.5320	0.5329	0.5320	0.5330	0.5322	0.5339	1.301175	1.309463	1.305363	1.303868	1.302975	1.283232
98000	8.4095	1.4063	1.4002	1.4055	1.3985	1.3999	1.3991	0.5318	0.5328	0.5319	0.5331	0.5322	0.5338	1.300141	1.308701	1.304067	1.302936	1.301944	1.282091
99000	8.4112	1.4065	1.4008	1.4055	1.3988	1.4005	1.3992	0.5318	0.5327	0.5320	0.5330	0.5322	0.5337	1.299025	1.307707	1.302669	1.301963	1.300740	1.280862
100000	8.4118	1.4063	1.4013	1.4058	1.3990	1.4007	1.3987	0.5319	0.5325	0.5319	0.5328	0.5321	0.5338	1.297925	1.306870	1.301268	1.300952	1.299677	1.279668
101000	8.4121	1.4062	1.4016	1.4055	1.3990	1.4009	1.3989	0.5319	0.5324	0.5318	0.5329	0.5321	0.5338	1.303304	1.312009	1.306139	1.306188	1.304706	1.284393
102000	8.4137	1.4070	1.4017	1.4057	1.3991	1.4008	1.3993	0.5317	0.5323	0.5317	0.5328	0.5321	0.5336	1.303594	1.312341	1.306378	1.306623	1.305097	1.284550
103000	8.4146	1.4072	1.4017	1.4064	1.3990	1.4013	1.3990	0.5316	0.5321	0.5314	0.5327	0.5319	0.5338	1.303513	1.312144	1.306251	1.306588	1.305078	1.284168
104000	8.4147	1.4072	1.4020	1.4063	1.3996	1.4009	1.3987	0.5315	0.5322	0.5315	0.5326	0.5321	0.5339	1.303021	1.311596	1.305682	1.306177	1.304715	1.283356
105000	8.4152	1.4073	1.4017	1.4062	1.4000	1.4012	1.3988	0.5315	0.5322	0.5315	0.5326	0.5320	0.5338	1.302479	1.310812	1.305101	1.305602	1.304215	1.282565
106000	8.4166	1.4072	1.4021	1.4067	1.4003	1.4012	1.3992	0.5315	0.5322	0.5314	0.5325	0.5321	0.5338	1.301922	1.309970	1.304470	1.305054	1.303707	1.281702
107000	8.4169	1.4068	1.4021	1.4066	1.4007	1.4015	1.3993	0.5316	0.5322	0.5316	0.5323	0.5320	0.5337	1.301153	1.308984	1.303703	1.304393	1.302889	1.280813
108000	8.4180	1.4069	1.4026	1.4069	1.4006	1.4017	1.3994	0.5316	0.5321	0.5315	0.5324	0.5319	0.5336	1.300204	1.307737	1.302795	1.303593	1.301907	1.279786
109000	8.4191	1.4069	1.4028	1.4070	1.4006	1.4021	1.3997	0.5316	0.5321	0.5315	0.5323	0.5317	0.5335	1.299271	1.306465	1.301806	1.302742	1.300719	1.278635
110000	8.4191	1.4066	1.4030	1.4067	1.4008	1.4020	1.4000	0.5317	0.5320	0.5316	0.5322	0.5317	0.5335	1.298331	1.305270	1.300785	1.301807	1.299575	1.277550
111000	8.4204	1.4068	1.4030	1.4069	1.4010	1.4023	1.4003	0.5317	0.5320	0.5315	0.5322	0.5317	0.5334	1.303164	1.309923	1.305892	1.306506	1.304270	1.282425
112000	8.4211	1.4067	1.4033	1.4068	1.4012	1.4024	1.4006	0.5317	0.5319	0.5316	0.5321	0.5315	0.5332	1.303294	1.310220	1.306294	1.306770	1.304448	1.282837
113000	8.4214	1.4064	1.4030	1.4071	1.4018	1.4024	1.4007	0.5317	0.5318	0.5315	0.5319	0.5315	0.5331	1.302662	1.309687	1.305929	1.306415	1.303993	1.282430
114000	8.4228	1.4063	1.4034	1.4076	1.4021	1.4027	1.4007	0.5318	0.5318	0.5313	0.5318	0.5315	0.5331	1.301895	1.308923	1.305370	1.305960	1.303399	1.281881
115000	8.4232	1.4063	1.4033	1.4078	1.4023	1.4025	1.4010	0.5318	0.5318	0.5313	0.5318	0.5315	0.5329	1.300906	1.308083	1.304549	1.305228	1.302588	1.281122
116000	8.4237	1.4064	1.4034	1.4075	1.4024	1.4029	1.4012	0.5318	0.5317	0.5315	0.5318	0.5312	0.5328	1.299865	1.307190	1.303617	1.304431	1.301616	1.280256
117000	8.4252	1.4067	1.4039	1.4075	1.4020	1.4036	1.4015	0.5317	0.5315	0.5314	0.5319	0.5312	0.5328	1.298863	1.306319	1.302690	1.303632	1.300689	1.279227
118000	8.4257	1.4068	1.4043	1.4072	1.4019	1.4036	1.4019	0.5317	0.5314	0.5317	0.5319	0.5311	0.5327	1.297886	1.305356	1.301725	1.302829	1.299732	1.278362
119000	8.4258	1.4071	1.4041	1.4074	1.4018	1.4036	1.4019	0.5315	0.5314	0.5317	0.5319	0.5311	0.5326	1.296793	1.304296	1.300684	1.301823	1.298583	1.277347
120000	8.4265	1.4071	1.4042	1.4078	1.4020	1.4035	1.4020	0.5316	0.5314	0.5316	0.5317	0.5312	0.5326	1.295885	1.303292	1.299718	1.300934	1.297543	1.276366
121000	8.4272	1.4077	1.4041	1.4079	1.4019	1.4035	1.4022	0.5314	0.5314	0.5316	0.5318	0.5313	0.5325	1.300404	1.307487	1.304228	1.305261	1.302271	1.281083
