Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7
1000	1.1030	0.1600	0.1500	0.1370	0.1310	0.1290	0.1360	0.1370	0.1230	0.9457	0.9502	0.9563	0.9585	0.9597	0.9547	0.9592	0.9608	0.436223	0.452020	0.448858	0.453669	0.462837	0.460003	0.459736	0.459042
2000	1.2470	0.1675	0.1590	0.1585	0.1450	0.1575	0.1375	0.1620	0.1600	0.9508	0.9503	0.9519	0.9548	0.9494	0.9566	0.9480	0.9490	0.461171	0.474367	0.473022	0.474389	0.479792	0.478317	0.481249	0.472925
3000	1.3417	0.1783	0.1643	0.1703	0.1667	0.1617	0.1507	0.1780	0.1717	0.9470	0.9509	0.9491	0.9467	0.9509	0.9525	0.9421	0.9437	0.462882	0.471396	0.470180	0.471882	0.471449	0.466077	0.471787	0.465000
4000	1.4042	0.1807	0.1757	0.1735	0.1737	0.1725	0.1573	0.1842	0.1865	0.9479	0.9461	0.9510	0.9435	0.9466	0.9515	0.9393	0.9392	0.451141	0.458357	0.456263	0.458123	0.458568	0.454073	0.458687	0.453006
5000	1.4260	0.1776	0.1824	0.1774	0.1794	0.1774	0.1592	0.1878	0.1848	0.9501	0.9428	0.9503	0.9416	0.9451	0.9517	0.9380	0.9405	0.443281	0.449892	0.447772	0.449322	0.450341	0.446562	0.450782	0.445131
6000	1.4608	0.1843	0.1865	0.1760	0.1832	0.1822	0.1657	0.1927	0.1903	0.9487	0.9407	0.9527	0.9400	0.9435	0.9498	0.9359	0.9389	0.437097	0.442961	0.441190	0.442128	0.443849	0.440565	0.444181	0.438987
7000	1.4929	0.1890	0.1911	0.1786	0.1889	0.1889	0.1650	0.1973	0.1941	0.9463	0.9387	0.9510	0.9379	0.9411	0.9500	0.9343	0.9380	0.430817	0.436222	0.434502	0.435331	0.437202	0.434417	0.437474	0.432623
8000	1.5255	0.1945	0.1953	0.1826	0.1921	0.1949	0.1690	0.2003	0.1969	0.9437	0.9374	0.9488	0.9367	0.9390	0.9487	0.9339	0.9371	0.424802	0.429723	0.428187	0.428815	0.430931	0.428570	0.430954	0.426503
9000	1.5464	0.1970	0.1988	0.1842	0.1973	0.1959	0.1683	0.2042	0.2007	0.9432	0.9363	0.9477	0.9346	0.9386	0.9488	0.9329	0.9355	0.419402	0.423987	0.422381	0.422879	0.425321	0.423096	0.425073	0.421039
10000	1.5614	0.1958	0.2015	0.1855	0.2010	0.1987	0.1686	0.2055	0.2048	0.9443	0.9353	0.9476	0.9331	0.9374	0.9485	0.9329	0.9340	0.414613	0.419113	0.417531	0.417748	0.420497	0.418512	0.420085	0.416330
11000	1.4937	0.1847	0.1938	0.1726	0.1962	0.1892	0.1595	0.1984	0.1993	0.9472	0.9377	0.9509	0.9347	0.9402	0.9511	0.9352	0.9356	0.437994	0.444380	0.446322	0.434400	0.438454	0.437693	0.445493	0.436002
12000	1.5156	0.1893	0.1963	0.1745	0.1982	0.1914	0.1625	0.1997	0.2037	0.9451	0.9366	0.9496	0.9338	0.9392	0.9498	0.9346	0.9339	0.431943	0.439118	0.442849	0.429770	0.433220	0.431336	0.439424	0.430104
13000	1.5388	0.1927	0.1991	0.1787	0.2014	0.1933	0.1658	0.2018	0.2060	0.9433	0.9355	0.9477	0.9325	0.9383	0.9485	0.9336	0.9330	0.425649	0.432309	0.436930	0.423864	0.427348	0.425108	0.433221	0.424079
14000	1.5560	0.1953	0.2021	0.1801	0.2039	0.1964	0.1671	0.2042	0.2069	0.9420	0.9344	0.9466	0.9318	0.9370	0.9478	0.9328	0.9328	0.419640	0.425736	0.431065	0.418101	0.421676	0.419223	0.427100	0.418315
15000	1.5671	0.1958	0.2017	0.1819	0.2043	0.1986	0.1703	0.2059	0.2085	0.9418	0.9344	0.9456	0.9318	0.9360	0.9466	0.9324	0.9320	0.413694	0.419284	0.425402	0.412369	0.415978	0.413543	0.421220	0.412690
