Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.7790	0.3810	0.3980	0.8904	0.8936	0.248837	0.232900
2000	0.8950	0.4360	0.4590	0.8757	0.8705	0.257301	0.241262
3000	0.9637	0.4823	0.4813	0.8621	0.8661	0.264374	0.250914
4000	1.0312	0.5190	0.5122	0.8514	0.8588	0.268982	0.258453
5000	1.0798	0.5370	0.5428	0.8454	0.8472	0.274492	0.264498
6000	1.1332	0.5615	0.5717	0.8361	0.8379	0.279042	0.269380
7000	1.1800	0.5826	0.5974	0.8293	0.8304	0.282941	0.273434
8000	1.2230	0.6026	0.6204	0.8217	0.8230	0.286442	0.276722
9000	1.2506	0.6206	0.6300	0.8162	0.8195	0.288564	0.279324
10000	1.2766	0.6353	0.6413	0.8112	0.8160	0.289901	0.281297
11000	1.3008	0.6485	0.6523	0.8057	0.8116	0.299783	0.290049
12000	1.3299	0.6656	0.6643	0.7992	0.8071	0.303244	0.292379
13000	1.3601	0.6814	0.6787	0.7944	0.8012	0.306367	0.294449
14000	1.3845	0.6950	0.6895	0.7895	0.7973	0.308602	0.296023
15000	1.4091	0.7079	0.7011	0.7848	0.7928	0.310561	0.297575
16000	1.4308	0.7192	0.7116	0.7809	0.7887	0.312264	0.299032
17000	1.4499	0.7281	0.7218	0.7779	0.7847	0.313547	0.299955
18000	1.4667	0.7369	0.7298	0.7738	0.7817	0.314703	0.300875
19000	1.4817	0.7459	0.7358	0.7702	0.7796	0.315660	0.301404
20000	1.4968	0.7529	0.7440	0.7669	0.7763	0.316686	0.302163
21000	1.5121	0.7608	0.7513	0.7635	0.7726	0.320584	0.306167
22000	1.5268	0.7677	0.7590	0.7602	0.7691	0.321968	0.307495
23000	1.5416	0.7760	0.7656	0.7569	0.7659	0.322904	0.308365
24000	1.5550	0.7815	0.7734	0.7541	0.7624	0.323469	0.309003
25000	1.5655	0.7882	0.7774	0.7511	0.7602	0.323811	0.309480
26000	1.5761	0.7929	0.7832	0.7490	0.7578	0.324190	0.309835
27000	1.5840	0.7970	0.7870	0.7472	0.7561	0.324330	0.309842
28000	1.5933	0.8027	0.7906	0.7448	0.7542	0.324354	0.309790
29000	1.6003	0.8056	0.7947	0.7433	0.7520	0.324424	0.309703
30000	1.6110	0.8106	0.8004	0.7414	0.7497	0.324346	0.309626
31000	1.6170	0.8128	0.8043	0.7405	0.7477	0.326434	0.311731
32000	1.6229	0.8147	0.8082	0.7395	0.7460	0.327802	0.312838
33000	1.6297	0.8170	0.8127	0.7385	0.7440	0.328926	0.313787
34000	1.6353	0.8194	0.8159	0.7376	0.7425	0.329962	0.314641
35000	1.6412	0.8219	0.8193	0.7369	0.7408	0.330971	0.315394
36000	1.6461	0.8241	0.8221	0.7367	0.7397	0.331804	0.316025
37000	1.6504	0.8261	0.8243	0.7360	0.7385	0.332582	0.316634
38000	1.6550	0.8282	0.8268	0.7354	0.7373	0.333327	0.317250
39000	1.6593	0.8304	0.8288	0.7347	0.7363	0.334086	0.317814
40000	1.6635	0.8319	0.8315	0.7342	0.7351	0.334776	0.318363
41000	1.6658	0.8324	0.8334	0.7337	0.7343	0.336419	0.319876
42000	1.6681	0.8329	0.8352	0.7334	0.7333	0.337294	0.320734
43000	1.6719	0.8343	0.8377	0.7328	0.7322	0.338048	0.321555
44000	1.6755	0.8363	0.8392	0.7317	0.7315	0.338756	0.322403
45000	1.6800	0.8380	0.8420	0.7308	0.7303	0.339407	0.323135
46000	1.6824	0.8388	0.8436	0.7304	0.7296	0.340046	0.323784
47000	1.6854	0.8402	0.8452	0.7296	0.7288	0.340667	0.324354
48000	1.6881	0.8416	0.8465	0.7291	0.7283	0.341237	0.324923
49000	1.6903	0.8428	0.8475	0.7286	0.7276	0.341781	0.325402
50000	1.6939	0.8451	0.8488	0.7277	0.7271	0.342345	0.325880
51000	1.6966	0.8465	0.8500	0.7270	0.7266	0.343031	0.326896
52000	1.7006	0.8484	0.8521	0.7263	0.7258	0.343276	0.327550
53000	1.7026	0.8495	0.8532	0.7257	0.7253	0.343443	0.328106
54000	1.7049	0.8506	0.8544	0.7253	0.7247	0.343626	0.328725
55000	1.7062	0.8517	0.8545	0.7249	0.7246	0.343764	0.329245
56000	1.7074	0.8523	0.8551	0.7245	0.7244	0.343884	0.329729
57000	1.7092	0.8532	0.8560	0.7240	0.7240	0.343938	0.330128
58000	1.7107	0.8538	0.8569	0.7238	0.7234	0.344007	0.330548
59000	1.7124	0.8546	0.8578	0.7235	0.7230	0.344067	0.330986
60000	1.7140	0.8552	0.8588	0.7232	0.7224	0.344123	0.331396
61000	1.7150	0.8559	0.8591	0.7228	0.7222	0.344492	0.332062
62000	1.7163	0.8561	0.8601	0.7225	0.7218	0.344548	0.332437
63000	1.7179	0.8568	0.8610	0.7222	0.7214	0.344590	0.332814
64000	1.7199	0.8579	0.8621	0.7217	0.7209	0.344568	0.333202
65000	1.7210	0.8588	0.8622	0.7213	0.7210	0.344554	0.333587
66000	1.7225	0.8597	0.8628	0.7209	0.7207	0.344576	0.333964
67000	1.7240	0.8608	0.8633	0.7206	0.7205	0.344584	0.334314
68000	1.7255	0.8616	0.8639	0.7202	0.7202	0.344520	0.334670
69000	1.7269	0.8620	0.8648	0.7200	0.7198	0.344491	0.335012
70000	1.7281	0.8622	0.8659	0.7198	0.7195	0.344441	0.335329
71000	1.7292	0.8626	0.8666	0.7196	0.7191	0.344654	0.336019
72000	1.7309	0.8631	0.8678	0.7195	0.7187	0.344605	0.336416
73000	1.7326	0.8639	0.8687	0.7191	0.7184	0.344556	0.336767
74000	1.7334	0.8643	0.8691	0.7189	0.7182	0.344455	0.337101
75000	1.7347	0.8645	0.8702	0.7187	0.7177	0.344398	0.337489
76000	1.7357	0.8646	0.8710	0.7187	0.7174	0.344335	0.337828
77000	1.7364	0.8650	0.8714	0.7185	0.7174	0.344284	0.338163
78000	1.7368	0.8655	0.8713	0.7183	0.7174	0.344271	0.338509
79000	1.7378	0.8659	0.8719	0.7181	0.7172	0.344255	0.338837
80000	1.7390	0.8666	0.8725	0.7178	0.7171	0.344227	0.339141
81000	1.7395	0.8666	0.8729	0.7177	0.7169	0.344439	0.339462
82000	1.7408	0.8672	0.8736	0.7176	0.7165	0.344429	0.339496
83000	1.7415	0.8671	0.8743	0.7178	0.7161	0.344406	0.339525
84000	1.7428	0.8677	0.8751	0.7175	0.7158	0.344402	0.339563
85000	1.7443	0.8683	0.8760	0.7173	0.7154	0.344381	0.339584
86000	1.7449	0.8685	0.8764	0.7172	0.7151	0.344371	0.339582
87000	1.7455	0.8689	0.8766	0.7170	0.7149	0.344355	0.339568
88000	1.7461	0.8691	0.8771	0.7169	0.7147	0.344334	0.339557
89000	1.7466	0.8690	0.8777	0.7170	0.7144	0.344321	0.339554
90000	1.7477	0.8698	0.8779	0.7167	0.7143	0.344313	0.339540
91000	1.7486	0.8701	0.8785	0.7166	0.7139	0.344575	0.339834
92000	1.7501	0.8711	0.8789	0.7162	0.7137	0.344646	0.339958
93000	1.7509	0.8716	0.8794	0.7160	0.7137	0.344678	0.340067
94000	1.7517	0.8719	0.8798	0.7158	0.7135	0.344739	0.340199
95000	1.7523	0.8723	0.8800	0.7157	0.7134	0.344790	0.340312
96000	1.7530	0.8731	0.8799	0.7154	0.7134	0.344814	0.340423
97000	1.7534	0.8734	0.8800	0.7152	0.7132	0.344835	0.340552
98000	1.7536	0.8731	0.8805	0.7154	0.7130	0.344828	0.340623
99000	1.7541	0.8734	0.8808	0.7152	0.7129	0.344853	0.340725
