Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	0.7390	0.1840	0.2120	0.1560	0.1870	0.9484	0.9375	0.9578	0.9502	0.275705	0.267405	0.288299	0.265311
2000	0.8570	0.2135	0.2275	0.1920	0.2240	0.9409	0.9328	0.9469	0.9412	0.295413	0.291976	0.307727	0.284420
3000	0.9423	0.2267	0.2457	0.2307	0.2393	0.9371	0.9288	0.9325	0.9368	0.307845	0.306457	0.318938	0.297324
4000	1.0163	0.2495	0.2632	0.2532	0.2502	0.9295	0.9238	0.9231	0.9331	0.316911	0.317397	0.327182	0.306568
5000	1.0796	0.2674	0.2740	0.2700	0.2682	0.9236	0.9199	0.9179	0.9284	0.322219	0.323481	0.331888	0.312471
6000	1.1235	0.2777	0.2858	0.2807	0.2793	0.9218	0.9159	0.9139	0.9241	0.326090	0.327822	0.335890	0.317119
7000	1.1664	0.2874	0.2967	0.2957	0.2866	0.9197	0.9110	0.9086	0.9220	0.329048	0.330262	0.338505	0.320697
8000	1.1969	0.2914	0.3050	0.3038	0.2968	0.9187	0.9086	0.9053	0.9178	0.330695	0.331554	0.339742	0.322758
9000	1.2301	0.3011	0.3138	0.3093	0.3059	0.9139	0.9050	0.9037	0.9143	0.331466	0.332025	0.339850	0.324194
10000	1.2609	0.3090	0.3202	0.3181	0.3136	0.9105	0.9025	0.9003	0.9112	0.331966	0.332365	0.339663	0.325011
11000	1.2791	0.3147	0.3244	0.3229	0.3171	0.9074	0.9004	0.8985	0.9091	0.334187	0.334477	0.340964	0.327449
12000	1.2955	0.3185	0.3280	0.3266	0.3224	0.9054	0.8989	0.8969	0.9070	0.332741	0.333228	0.339359	0.326740
13000	1.3132	0.3243	0.3308	0.3311	0.3271	0.9026	0.8984	0.8954	0.9041	0.330986	0.331661	0.337431	0.325660
14000	1.3256	0.3283	0.3328	0.3349	0.3296	0.9005	0.8973	0.8935	0.9023	0.329047	0.329718	0.335207	0.324190
15000	1.3352	0.3299	0.3341	0.3382	0.3331	0.8992	0.8968	0.8921	0.9004	0.326801	0.327555	0.332801	0.322390
16000	1.3451	0.3332	0.3346	0.3421	0.3352	0.8974	0.8973	0.8906	0.8990	0.324645	0.325461	0.330412	0.320557
17000	1.3542	0.3358	0.3356	0.3454	0.3374	0.8960	0.8965	0.8891	0.8978	0.322544	0.323421	0.328124	0.318722
18000	1.3622	0.3388	0.3371	0.3462	0.3401	0.8948	0.8961	0.8886	0.8964	0.320288	0.321156	0.325622	0.316625
19000	1.3674	0.3408	0.3379	0.3468	0.3419	0.8937	0.8958	0.8883	0.8953	0.318182	0.319046	0.323336	0.314666
20000	1.3743	0.3442	0.3392	0.3477	0.3433	0.8923	0.8952	0.8879	0.8944	0.316330	0.317131	0.321279	0.312849
21000	1.3813	0.3457	0.3412	0.3492	0.3452	0.8914	0.8942	0.8871	0.8933	0.315592	0.316431	0.320066	0.312023
22000	1.3899	0.3472	0.3431	0.3522	0.3474	0.8903	0.8933	0.8860	0.8922	0.313905	0.314569	0.318122	0.310426
23000	1.3954	0.3487	0.3449	0.3535	0.3483	0.8895	0.8924	0.8854	0.8916	0.312193	0.312751	0.316253	0.308867
