Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.8270	0.4040	0.4230	0.8816	0.8878	0.333556	0.333556
2000	0.9105	0.4505	0.4600	0.8694	0.8709	0.320192	0.320192
3000	0.9620	0.4783	0.4837	0.8649	0.8647	0.321860	0.321860
4000	1.0297	0.5128	0.5170	0.8522	0.8525	0.322189	0.322189
5000	1.0962	0.5512	0.5450	0.8373	0.8403	0.321525	0.321525
6000	1.1375	0.5738	0.5637	0.8274	0.8320	0.320762	0.320762
7000	1.1793	0.6014	0.5779	0.8169	0.8265	0.319713	0.319713
8000	1.2166	0.6195	0.5971	0.8097	0.8188	0.319152	0.319152
9000	1.2452	0.6380	0.6072	0.8041	0.8141	0.318871	0.318871
10000	1.2727	0.6535	0.6192	0.7985	0.8089	0.318588	0.318588
11000	1.3032	0.6680	0.6352	0.7919	0.8022	0.333857	0.333857
12000	1.3352	0.6842	0.6510	0.7854	0.7955	0.333742	0.333742
13000	1.3662	0.6993	0.6668	0.7789	0.7893	0.333156	0.333156
14000	1.3981	0.7149	0.6833	0.7734	0.7828	0.332524	0.332524
15000	1.4205	0.7236	0.6969	0.7698	0.7778	0.331665	0.331665
16000	1.4438	0.7337	0.7101	0.7659	0.7731	0.330148	0.330148
17000	1.4647	0.7430	0.7217	0.7622	0.7689	0.328725	0.328725
18000	1.4851	0.7526	0.7326	0.7585	0.7648	0.327190	0.327190
19000	1.5015	0.7596	0.7418	0.7554	0.7615	0.325479	0.325479
20000	1.5158	0.7678	0.7480	0.7525	0.7588	0.323681	0.323681
21000	1.5281	0.7738	0.7543	0.7502	0.7562	0.328580	0.328580
22000	1.5390	0.7790	0.7600	0.7481	0.7539	0.330743	0.330743
23000	1.5488	0.7822	0.7667	0.7483	0.7513	0.332607	0.332607
24000	1.5575	0.7859	0.7716	0.7466	0.7495	0.334336	0.334336
25000	1.5684	0.7921	0.7763	0.7443	0.7476	0.335743	0.335743
26000	1.5783	0.7983	0.7800	0.7418	0.7461	0.336940	0.336940
27000	1.5885	0.8030	0.7856	0.7400	0.7443	0.338033	0.338033
28000	1.5965	0.8070	0.7895	0.7382	0.7423	0.339075	0.339075
29000	1.6048	0.8107	0.7941	0.7367	0.7404	0.340044	0.340044
30000	1.6115	0.8136	0.7979	0.7356	0.7388	0.340999	0.340999
31000	1.6194	0.8177	0.8017	0.7340	0.7372	0.343875	0.343875
32000	1.6261	0.8211	0.8050	0.7327	0.7361	0.344932	0.344932
33000	1.6321	0.8229	0.8092	0.7319	0.7347	0.345940	0.345940
34000	1.6397	0.8273	0.8124	0.7302	0.7335	0.347037	0.347037
35000	1.6451	0.8303	0.8148	0.7289	0.7323	0.348086	0.348086
36000	1.6511	0.8327	0.8184	0.7277	0.7314	0.349077	0.349077
37000	1.6544	0.8338	0.8206	0.7273	0.7305	0.349988	0.349988
38000	1.6594	0.8361	0.8233	0.7266	0.7295	0.350894	0.350894
39000	1.6627	0.8380	0.8248	0.7260	0.7290	0.351624	0.351624
40000	1.6671	0.8400	0.8271	0.7253	0.7281	0.352344	0.352344
41000	1.6708	0.8420	0.8288	0.7243	0.7277	0.354086	0.354086
42000	1.6748	0.8443	0.8305	0.7233	0.7268	0.354966	0.354966
43000	1.6796	0.8466	0.8330	0.7222	0.7258	0.355877	0.355877
44000	1.6823	0.8473	0.8350	0.7219	0.7250	0.356686	0.356686
45000	1.6860	0.8483	0.8377	0.7215	0.7239	0.357463	0.357463
46000	1.6898	0.8495	0.8403	0.7211	0.7231	0.358251	0.358251
47000	1.6906	0.8503	0.8402	0.7208	0.7231	0.359024	0.359024
48000	1.6946	0.8524	0.8422	0.7197	0.7226	0.359686	0.359686
49000	1.6987	0.8543	0.8444	0.7191	0.7217	0.360485	0.360485
50000	1.7003	0.8551	0.8452	0.7188	0.7215	0.361166	0.361166
51000	1.7031	0.8566	0.8465	0.7182	0.7210	0.362631	0.362631
52000	1.7056	0.8579	0.8477	0.7180	0.7205	0.363623	0.363623
53000	1.7067	0.8582	0.8485	0.7177	0.7203	0.364596	0.364596
54000	1.7079	0.8584	0.8495	0.7177	0.7200	0.365554	0.365554
55000	1.7097	0.8595	0.8502	0.7171	0.7200	0.366415	0.366415
56000	1.7122	0.8604	0.8519	0.7167	0.7197	0.367220	0.367220
57000	1.7147	0.8614	0.8533	0.7161	0.7193	0.368076	0.368076
