Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.8104	0.4292	1.3812	0.8524	0.5280	0.275584	0.279028
2000	1.8364	0.4101	1.4263	0.8648	0.5252	0.270611	0.272281
3000	1.8236	0.3939	1.4296	0.8630	0.5259	0.268994	0.270108
4000	1.8204	0.4021	1.4183	0.8639	0.5302	0.267988	0.268905
5000	1.8206	0.4205	1.4001	0.8534	0.5388	0.267363	0.268100
6000	1.8190	0.4469	1.3721	0.8498	0.5448	0.266911	0.267541
7000	1.8157	0.4543	1.3614	0.8480	0.5444	0.266539	0.267079
8000	1.8200	0.4549	1.3652	0.8491	0.5435	0.266303	0.266806
9000	1.8173	0.4500	1.3673	0.8507	0.5436	0.266300	0.266784
10000	1.8151	0.4463	1.3688	0.8513	0.5433	0.266393	0.266860
11000	1.8153	0.4442	1.3710	0.8509	0.5419	0.279834	0.278997
12000	1.8195	0.4482	1.3713	0.8498	0.5416	0.279235	0.278447
13000	1.8206	0.4498	1.3708	0.8495	0.5433	0.278551	0.277800
14000	1.8223	0.4522	1.3701	0.8482	0.5438	0.278014	0.277289
15000	1.8250	0.4544	1.3706	0.8478	0.5436	0.277596	0.276892
16000	1.8270	0.4543	1.3727	0.8473	0.5432	0.277220	0.276533
17000	1.8310	0.4549	1.3761	0.8476	0.5426	0.276853	0.276206
18000	1.8316	0.4551	1.3765	0.8469	0.5429	0.276654	0.276036
19000	1.8284	0.4546	1.3739	0.8472	0.5431	0.276431	0.275834
20000	1.8293	0.4540	1.3754	0.8480	0.5427	0.276246	0.275669
21000	1.8293	0.4515	1.3777	0.8492	0.5418	0.283594	0.283563
22000	1.8296	0.4495	1.3801	0.8493	0.5409	0.289600	0.290105
23000	1.8293	0.4487	1.3806	0.8502	0.5399	0.295053	0.296036
24000	1.8294	0.4474	1.3820	0.8504	0.5399	0.300076	0.301493
25000	1.8277	0.4442	1.3835	0.8516	0.5390	0.304668	0.306488
26000	1.8262	0.4421	1.3841	0.8521	0.5392	0.308778	0.310992
27000	1.8254	0.4393	1.3861	0.8533	0.5375	0.312456	0.315019
28000	1.8248	0.4365	1.3884	0.8541	0.5370	0.315853	0.318763
29000	1.8246	0.4350	1.3897	0.8547	0.5362	0.319036	0.322281
30000	1.8242	0.4337	1.3905	0.8549	0.5359	0.321977	0.325535
31000	1.8230	0.4317	1.3912	0.8556	0.5357	0.326123	0.329625
32000	1.8223	0.4316	1.3907	0.8558	0.5358	0.329328	0.332768
33000	1.8224	0.4307	1.3917	0.8560	0.5352	0.332281	0.335669
34000	1.8224	0.4296	1.3928	0.8564	0.5349	0.335068	0.338400
35000	1.8237	0.4299	1.3938	0.8561	0.5348	0.337569	0.340863
36000	1.8244	0.4297	1.3948	0.8563	0.5341	0.339874	0.343137
37000	1.8259	0.4293	1.3966	0.8566	0.5336	0.342060	0.345305
38000	1.8256	0.4286	1.3970	0.8566	0.5337	0.344134	0.347358
39000	1.8248	0.4286	1.3962	0.8567	0.5336	0.346029	0.349244
40000	1.8243	0.4286	1.3957	0.8563	0.5340	0.347743	0.350964
41000	1.8249	0.4289	1.3960	0.8567	0.5336	0.350023	0.353186
42000	1.8243	0.4275	1.3968	0.8571	0.5333	0.351703	0.354769
43000	1.8249	0.4275	1.3974	0.8570	0.5333	0.353425	0.356388
44000	1.8252	0.4279	1.3973	0.8565	0.5337	0.354945	0.357806
45000	1.8273	0.4297	1.3976	0.8562	0.5333	0.356485	0.359241
46000	1.8277	0.4292	1.3985	0.8567	0.5328	0.357950	0.360603
47000	1.8274	0.4277	1.3997	0.8572	0.5326	0.359339	0.361892
48000	1.8269	0.4273	1.3996	0.8573	0.5324	0.360656	0.363111
49000	1.8264	0.4267	1.3997	0.8574	0.5327	0.361927	0.364292
50000	1.8263	0.4255	1.4008	0.8581	0.5325	0.363113	0.365391
51000	1.8261	0.4258	1.4002	0.8573	0.5332	0.364718	0.366936
52000	1.8255	0.4279	1.3975	0.8566	0.5344	0.365915	0.368076
53000	1.8254	0.4304	1.3950	0.8559	0.5351	0.367073	0.369189
54000	1.8263	0.4332	1.3931	0.8548	0.5358	0.368131	0.370217
55000	1.8267	0.4349	1.3918	0.8545	0.5360	0.369146	0.371201
56000	1.8267	0.4356	1.3911	0.8542	0.5365	0.370096	0.372118
57000	1.8270	0.4374	1.3896	0.8536	0.5366	0.370945	0.372937
58000	1.8271	0.4381	1.3890	0.8537	0.5367	0.371854	0.373831
59000	1.8272	0.4395	1.3877	0.8529	0.5375	0.372726	0.374688
60000	1.8272	0.4412	1.3860	0.8524	0.5378	0.373580	0.375533
61000	1.8275	0.4416	1.3859	0.8525	0.5377	0.374784	0.376728
62000	1.8272	0.4414	1.3858	0.8523	0.5378	0.375820	0.377745
63000	1.8275	0.4420	1.3855	0.8521	0.5380	0.376679	0.378594
64000	1.8286	0.4430	1.3856	0.8519	0.5379	0.377517	0.379420
65000	1.8291	0.4435	1.3856	0.8517	0.5380	0.378364	0.380261
66000	1.8289	0.4438	1.3851	0.8516	0.5380	0.379148	0.381044
67000	1.8287	0.4439	1.3848	0.8519	0.5380	0.379937	0.381831
68000	1.8288	0.4439	1.3848	0.8516	0.5382	0.380737	0.382621
69000	1.8288	0.4444	1.3844	0.8513	0.5387	0.381481	0.383358
70000	1.8291	0.4455	1.3836	0.8511	0.5390	0.382163	0.384036
71000	1.8290	0.4454	1.3836	0.8513	0.5388	0.382988	0.384909
72000	1.8293	0.4453	1.3840	0.8511	0.5390	0.383639	0.385602
