Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.2252	0.6465	0.5787	0.8259	0.8391	0.894927	0.893046
2000	1.2140	0.6298	0.5841	0.8299	0.8369	0.870628	0.874768
3000	1.1835	0.6021	0.5814	0.8326	0.8379	0.864738	0.871980
4000	1.1984	0.6039	0.5945	0.8349	0.8352	0.865262	0.873162
5000	1.1956	0.5958	0.5998	0.8382	0.8361	0.864548	0.872564
6000	1.1884	0.5905	0.5979	0.8387	0.8388	0.884493	0.892017
7000	1.1898	0.5957	0.5941	0.8362	0.8370	0.891126	0.903454
8000	1.1982	0.5986	0.5996	0.8376	0.8337	0.895132	0.912589
1000	1.3024	0.5823	0.7201	0.8162	0.7819	0.921535	0.926438
2000	1.5168	0.7317	0.7852	0.7870	0.7625	0.921847	0.911693
3000	1.5874	0.7757	0.8117	0.7869	0.7520	0.923400	0.907655
4000	1.6276	0.7930	0.8346	0.7777	0.7446	0.916234	0.900284
5000	1.6518	0.8168	0.8350	0.7694	0.7434	0.911330	0.896428
6000	1.6780	0.8250	0.8530	0.7697	0.7246	0.938353	0.913308
7000	1.7033	0.8009	0.9024	0.7739	0.7118	0.948560	0.916837
8000	1.7161	0.7879	0.9282	0.7755	0.7030	0.953412	0.917428
9000	1.7230	0.7851	0.9379	0.7761	0.6996	0.953875	0.916882
10000	1.7260	0.7823	0.9436	0.7777	0.6960	0.953886	0.916651
11000	1.7302	0.7770	0.9532	0.7779	0.6910	0.959932	0.922742
12000	1.7376	0.7713	0.9663	0.7777	0.6861	0.963714	0.925625
13000	1.7433	0.7630	0.9803	0.7790	0.6811	0.965514	0.926301
14000	1.7444	0.7557	0.9887	0.7802	0.6781	0.966642	0.926758
15000	1.7447	0.7477	0.9970	0.7824	0.6750	0.967292	0.926752
16000	1.7473	0.7397	1.0075	0.7843	0.6705	0.971471	0.929678
17000	1.7532	0.7339	1.0194	0.7870	0.6662	0.974565	0.931437
18000	1.7540	0.7246	1.0294	0.7892	0.6632	0.977412	0.932630
19000	1.7552	0.7172	1.0380	0.7905	0.6607	0.979976	0.933363
20000	1.7569	0.7099	1.0470	0.7932	0.6583	0.982271	0.934318
21000	1.7569	0.7007	1.0562	0.7967	0.6552	0.983040	0.936192
22000	1.7571	0.6922	1.0649	0.7995	0.6518	0.983500	0.937196
23000	1.7598	0.6854	1.0744	0.8005	0.6491	0.983632	0.937691
24000	1.7600	0.6779	1.0820	0.8035	0.6465	0.983836	0.938193
25000	1.7609	0.6696	1.0913	0.8056	0.6440	0.984114	0.938785
