Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	1.4292	0.1986	0.3007	0.6425	0.2874	0.9028	0.9412	0.8487	0.8468	1.445689	1.390298	1.433611	1.438585
2000	1.5771	0.3274	0.1557	0.6644	0.4296	0.8968	0.9556	0.7814	0.8570	1.334397	1.316697	1.314692	1.338578
3000	1.6765	0.3005	0.1999	0.7392	0.4369	0.9082	0.9102	0.7762	0.8619	1.286426	1.275890	1.266894	1.289604
4000	1.7256	0.2784	0.2830	0.7400	0.4242	0.9049	0.8983	0.7740	0.8575	1.258274	1.250408	1.239676	1.259694
5000	1.7588	0.3432	0.3116	0.7015	0.4025	0.8783	0.8919	0.7838	0.8707	1.238012	1.231835	1.219974	1.238222
6000	1.7725	0.3777	0.3261	0.6901	0.3787	0.8752	0.8910	0.7785	0.8751	1.222087	1.216723	1.204245	1.221573
7000	1.7828	0.3839	0.3212	0.6995	0.3782	0.8753	0.8938	0.7755	0.8719	1.210535	1.205367	1.193007	1.209113
8000	1.7859	0.3671	0.3172	0.7094	0.3921	0.8821	0.8938	0.7732	0.8667	1.202137	1.196686	1.184824	1.199723
9000	1.7930	0.3569	0.3168	0.7153	0.4039	0.8841	0.8950	0.7686	0.8638	1.196221	1.190371	1.179064	1.192948
10000	1.8007	0.3498	0.3106	0.7295	0.4108	0.8865	0.8964	0.7645	0.8616	1.191194	1.185038	1.174408	1.187363
11000	1.8057	0.3792	0.3031	0.7259	0.3975	0.8628	0.9003	0.7703	0.8730	1.189793	1.183394	1.174203	1.185461
12000	1.8075	0.4486	0.2908	0.7030	0.3650	0.8414	0.9037	0.7765	0.8833	1.187675	1.181513	1.173354	1.183355
13000	1.8105	0.5132	0.2794	0.6815	0.3364	0.8206	0.9077	0.7837	0.8920	1.185469	1.179549	1.172373	1.181310
14000	1.8112	0.5691	0.2708	0.6592	0.3121	0.8038	0.9110	0.7893	0.8994	1.182989	1.177353	1.170959	1.179067
15000	1.8101	0.6152	0.2642	0.6395	0.2912	0.7894	0.9127	0.7954	0.9059	1.180420	1.175206	1.169360	1.176773
16000	1.8110	0.6585	0.2585	0.6208	0.2732	0.7753	0.9144	0.8016	0.9116	1.178142	1.173036	1.167792	1.174504
17000	1.8151	0.7011	0.2541	0.6031	0.2568	0.7619	0.9156	0.8063	0.9167	1.176141	1.171111	1.166381	1.172451
18000	1.8194	0.7371	0.2488	0.5912	0.2423	0.7505	0.9179	0.8094	0.9211	1.174325	1.169471	1.165086	1.170658
19000	1.8238	0.7695	0.2417	0.5834	0.2292	0.7402	0.9205	0.8111	0.9252	1.172502	1.167771	1.163629	1.168694
20000	1.8239	0.7964	0.2354	0.5746	0.2175	0.7313	0.9225	0.8142	0.9288	1.170540	1.166051	1.162061	1.166656
21000	1.8257	0.8258	0.2263	0.5667	0.2069	0.7214	0.9260	0.8161	0.9322	1.168457	1.165062	1.160993	1.165204
22000	1.8274	0.8545	0.2160	0.5596	0.1973	0.7125	0.9293	0.8188	0.9353	1.165830	1.163789	1.159732	1.163524
23000	1.8274	0.8800	0.2064	0.5524	0.1886	0.7041	0.9325	0.8211	0.9381	1.163783	1.162944	1.158864	1.162198
24000	1.8280	0.9052	0.1977	0.5445	0.1806	0.6968	0.9353	0.8230	0.9407	1.161374	1.161684	1.157599	1.160519
25000	1.8293	0.9255	0.1899	0.5406	0.1734	0.6898	0.9378	0.8234	0.9430	1.159125	1.160512	1.156398	1.158928
26000	1.8317	0.9436	0.1826	0.5390	0.1666	0.6839	0.9401	0.8241	0.9452	1.157196	1.159527	1.155414	1.157598
27000	1.8327	0.9608	0.1764	0.5351	0.1603	0.6782	0.9420	0.8254	0.9473	1.155228	1.158465	1.154285	1.156144
28000	1.8331	0.9777	0.1703	0.5306	0.1545	0.6727	0.9441	0.8271	0.9492	1.153233	1.157285	1.153024	1.154595
29000	1.8327	0.9939	0.1644	0.5254	0.1491	0.6676	0.9461	0.8284	0.9510	1.151254	1.156092	1.151744	1.153007
30000	1.8318	1.0082	0.1589	0.5207	0.1440	0.6632	0.9478	0.8299	0.9526	1.149300	1.154847	1.150406	1.151359
31000	1.8322	1.0219	0.1540	0.5170	0.1393	0.6587	0.9494	0.8311	0.9542	1.147800	1.154287	1.149822	1.150348
32000	1.8315	1.0349	0.1493	0.5124	0.1349	0.6543	0.9509	0.8322	0.9556	1.145994	1.153499	1.148928	1.149106
33000	1.8317	1.0457	0.1449	0.5103	0.1307	0.6507	0.9524	0.8326	0.9569	1.144153	1.152713	1.148024	1.147813
34000	1.8321	1.0564	0.1406	0.5081	0.1268	0.6471	0.9538	0.8336	0.9582	1.142679	1.152128	1.147382	1.146782
35000	1.8314	1.0668	0.1366	0.5048	0.1232	0.6434	0.9551	0.8348	0.9594	1.141053	1.151285	1.146505	1.145562
