Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.5149	0.7217	0.7932	0.7288	0.7372	1.673326	1.704129
2000	1.6764	0.9407	0.7357	0.6660	0.7571	1.593553	1.606012
3000	1.7227	1.0283	0.6943	0.6618	0.7698	1.556603	1.563980
4000	1.7409	1.0655	0.6754	0.6502	0.7716	1.543357	1.548841
5000	1.7574	1.0846	0.6728	0.6495	0.7746	1.536584	1.540729
6000	1.7634	1.0968	0.6666	0.6468	0.7752	1.533173	1.536879
7000	1.7756	1.1047	0.6709	0.6433	0.7733	1.532438	1.535781
8000	1.7828	1.1119	0.6709	0.6400	0.7752	1.530334	1.533331
9000	1.7851	1.1160	0.6691	0.6373	0.7752	1.529462	1.532180
10000	1.7930	1.1209	0.6721	0.6357	0.7738	1.528790	1.531286
11000	1.7982	1.1210	0.6772	0.6376	0.7741	1.532378	1.546762
12000	1.7940	1.1227	0.6713	0.6392	0.7756	1.532796	1.557790
13000	1.7914	1.1216	0.6699	0.6410	0.7755	1.534165	1.568169
14000	1.7916	1.1217	0.6700	0.6406	0.7763	1.536072	1.577716
15000	1.7934	1.1260	0.6674	0.6396	0.7758	1.537352	1.585615
16000	1.7935	1.1282	0.6654	0.6400	0.7769	1.538839	1.592709
17000	1.7926	1.1287	0.6638	0.6404	0.7772	1.539702	1.598481
18000	1.7949	1.1312	0.6638	0.6399	0.7774	1.540979	1.604262
19000	1.7953	1.1311	0.6642	0.6403	0.7777	1.542001	1.609264
20000	1.7955	1.1309	0.6647	0.6398	0.7772	1.542960	1.613816
21000	1.7986	1.1247	0.6739	0.6436	0.7712	1.544919	1.619074
22000	1.8023	1.1109	0.6914	0.6472	0.7658	1.546260	1.623278
23000	1.8022	1.0983	0.7038	0.6511	0.7624	1.547042	1.626763
24000	1.8017	1.0846	0.7171	0.6551	0.7577	1.548417	1.630452
25000	1.8029	1.0720	0.7309	0.6581	0.7531	1.549449	1.633365
26000	1.8060	1.0613	0.7448	0.6608	0.7493	1.550101	1.635929
27000	1.8059	1.0501	0.7558	0.6638	0.7453	1.550521	1.637743
28000	1.8077	1.0394	0.7684	0.6662	0.7413	1.551030	1.639787
29000	1.8100	1.0307	0.7794	0.6684	0.7376	1.551376	1.641447
30000	1.8122	1.0225	0.7897	0.6708	0.7343	1.551748	1.643191
31000	1.8128	1.0073	0.8055	0.6778	0.7271	1.552592	1.642688
32000	1.8135	0.9869	0.8266	0.6843	0.7206	1.553519	1.642194
33000	1.8141	0.9690	0.8451	0.6901	0.7147	1.554901	1.642291
34000	1.8132	0.9505	0.8627	0.6963	0.7089	1.555578	1.641686
35000	1.8135	0.9341	0.8795	0.7007	0.7034	1.556020	1.641044
36000	1.8151	0.9194	0.8957	0.7055	0.6979	1.556488	1.640487
37000	1.8151	0.9043	0.9109	0.7102	0.6937	1.556859	1.639982
38000	1.8145	0.8913	0.9232	0.7140	0.6896	1.557323	1.639654
39000	1.8135	0.8787	0.9348	0.7177	0.6857	1.557486	1.639100
40000	1.8133	0.8667	0.9466	0.7217	0.6817	1.557476	1.638457
41000	1.8129	0.8549	0.9579	0.7255	0.6778	1.557950	1.638554
42000	1.8128	0.8432	0.9697	0.7293	0.6738	1.558158	1.638456
43000	1.8137	0.8325	0.9812	0.7322	0.6702	1.558514	1.638575
44000	1.8150	0.8238	0.9912	0.7349	0.6674	1.558821	1.638805
45000	1.8155	0.8152	1.0003	0.7377	0.6646	1.559080	1.639029
46000	1.8168	0.8071	1.0097	0.7405	0.6616	1.559368	1.639515
47000	1.8175	0.7988	1.0188	0.7429	0.6584	1.559454	1.639894
