Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.6696	0.8024	0.8671	0.6922	0.7612	0.834370	0.841023
2000	1.7751	0.8946	0.8805	0.7004	0.7095	0.811782	0.812790
3000	1.8142	0.8930	0.9211	0.7080	0.7040	0.799199	0.798923
4000	1.8245	0.8827	0.9418	0.7097	0.7008	0.796238	0.795303
5000	1.8224	0.8805	0.9419	0.7100	0.6993	0.795673	0.794555
6000	1.8216	0.8801	0.9415	0.7100	0.6994	0.795510	0.794599
7000	1.8278	0.8787	0.9491	0.7076	0.6978	0.795271	0.794581
8000	1.8260	0.8776	0.9483	0.7112	0.6960	0.795245	0.794696
9000	1.8237	0.8711	0.9526	0.7121	0.6959	0.794948	0.794515
10000	1.8197	0.8705	0.9492	0.7109	0.6964	0.793647	0.793286
11000	1.8236	0.8766	0.9470	0.7094	0.6962	0.799627	0.797291
12000	1.8247	0.8802	0.9445	0.7083	0.6965	0.801692	0.797799
13000	1.8260	0.8815	0.9444	0.7073	0.6960	0.803741	0.798419
14000	1.8239	0.8855	0.9384	0.7059	0.6960	0.805069	0.798616
15000	1.8259	0.8886	0.9372	0.7044	0.6966	0.805618	0.798155
16000	1.8268	0.8955	0.9313	0.7017	0.6977	0.805925	0.797637
17000	1.8273	0.9031	0.9243	0.7002	0.6989	0.806287	0.797195
18000	1.8273	0.9078	0.9196	0.6984	0.7006	0.806699	0.796960
19000	1.8277	0.9127	0.9150	0.6968	0.7012	0.806797	0.796497
20000	1.8289	0.9166	0.9122	0.6949	0.7024	0.806866	0.796045
21000	1.8288	0.9256	0.9031	0.6905	0.7073	0.817782	0.805959
22000	1.8285	0.9372	0.8913	0.6871	0.7112	0.827712	0.815050
23000	1.8280	0.9479	0.8801	0.6833	0.7156	0.836650	0.823162
24000	1.8286	0.9590	0.8696	0.6800	0.7184	0.845036	0.830826
25000	1.8289	0.9695	0.8594	0.6762	0.7218	0.852613	0.837712
26000	1.8297	0.9798	0.8499	0.6729	0.7248	0.859731	0.844194
27000	1.8291	0.9886	0.8405	0.6699	0.7275	0.866029	0.849837
28000	1.8295	0.9970	0.8325	0.6669	0.7301	0.872041	0.855219
29000	1.8291	1.0038	0.8252	0.6644	0.7322	0.877419	0.860041
30000	1.8290	1.0116	0.8175	0.6617	0.7349	0.882594	0.864686
31000	1.8287	1.0179	0.8108	0.6597	0.7368	0.887717	0.870680
32000	1.8295	1.0230	0.8065	0.6582	0.7383	0.892458	0.876184
33000	1.8281	1.0276	0.8004	0.6562	0.7402	0.896871	0.881279
34000	1.8275	1.0319	0.7956	0.6547	0.7415	0.900765	0.885800
35000	1.8276	1.0355	0.7921	0.6530	0.7428	0.904670	0.890270
36000	1.8274	1.0398	0.7876	0.6517	0.7440	0.908326	0.894460
37000	1.8282	1.0439	0.7842	0.6506	0.7452	0.911818	0.898470
38000	1.8273	1.0473	0.7800	0.6496	0.7467	0.915170	0.902275
39000	1.8267	1.0510	0.7757	0.6484	0.7482	0.918226	0.905739
40000	1.8267	1.0546	0.7721	0.6471	0.7492	0.921111	0.908995
41000	1.8267	1.0567	0.7700	0.6470	0.7491	0.924527	0.912872
42000	1.8264	1.0578	0.7687	0.6464	0.7493	0.927669	0.916420
43000	1.8281	1.0607	0.7674	0.6456	0.7497	0.930771	0.919948
44000	1.8283	1.0629	0.7654	0.6449	0.7505	0.933617	0.923226
45000	1.8277	1.0652	0.7625	0.6443	0.7512	0.936231	0.926260
46000	1.8265	1.0666	0.7599	0.6441	0.7519	0.938581	0.929043
47000	1.8254	1.0678	0.7576	0.6435	0.7529	0.940706	0.931597
48000	1.8258	1.0703	0.7555	0.6429	0.7531	0.942743	0.934028
49000	1.8267	1.0724	0.7543	0.6421	0.7536	0.944819	0.936496
50000	1.8273	1.0740	0.7533	0.6416	0.7537	0.946781	0.938842
51000	1.8275	1.0716	0.7560	0.6440	0.7513	0.948131	0.939573
52000	1.8274	1.0638	0.7636	0.6467	0.7487	0.949376	0.940249
53000	1.8272	1.0564	0.7708	0.6493	0.7463	0.950591	0.940949
54000	1.8272	1.0491	0.7781	0.6516	0.7437	0.951792	0.941641
55000	1.8271	1.0416	0.7856	0.6542	0.7411	0.952844	0.942212
56000	1.8274	1.0339	0.7935	0.6565	0.7386	0.953906	0.942837
57000	1.8284	1.0275	0.8009	0.6586	0.7361	0.954962	0.943471
58000	1.8284	1.0207	0.8077	0.6609	0.7339	0.955964	0.944056
59000	1.8279	1.0137	0.8143	0.6633	0.7315	0.956999	0.944690
60000	1.8288	1.0079	0.8210	0.6652	0.7289	0.957925	0.945192
61000	1.8302	1.0018	0.8284	0.6675	0.7263	0.959041	0.945548
62000	1.8307	0.9944	0.8363	0.6701	0.7234	0.960076	0.945911
63000	1.8308	0.9863	0.8445	0.6726	0.7207	0.961215	0.946393
64000	1.8306	0.9787	0.8519	0.6753	0.7182	0.962175	0.946703
65000	1.8303	0.9711	0.8593	0.6775	0.7158	0.963069	0.947034
66000	1.8303	0.9638	0.8665	0.6801	0.7133	0.964071	0.947457
67000	1.8304	0.9569	0.8734	0.6822	0.7113	0.964992	0.947850
68000	1.8305	0.9508	0.8797	0.6845	0.7089	0.965978	0.948308
69000	1.8310	0.9449	0.8861	0.6864	0.7068	0.966869	0.948714
70000	1.8320	0.9399	0.8921	0.6880	0.7048	0.967706	0.949082
71000	1.8325	0.9341	0.8984	0.6901	0.7027	0.968474	0.949167
72000	1.8327	0.9285	0.9042	0.6920	0.7008	0.969115	0.949179
73000	1.8322	0.9224	0.9097	0.6941	0.6990	0.969725	0.949132
74000	1.8323	0.9174	0.9149	0.6958	0.6970	0.970386	0.949146
75000	1.8326	0.9125	0.9201	0.6974	0.6952	0.970989	0.949137
76000	1.8330	0.9082	0.9248	0.6988	0.6936	0.971624	0.949147
77000	1.8334	0.9040	0.9295	0.7001	0.6919	0.972171	0.949094
78000	1.8339	0.8997	0.9342	0.7016	0.6902	0.972805	0.949167
79000	1.8339	0.8949	0.9390	0.7033	0.6887	0.973327	0.949159
80000	1.8337	0.8902	0.9435	0.7047	0.6871	0.973820	0.949148
81000	1.8342	0.8862	0.9480	0.7061	0.6857	0.973904	0.948618
82000	1.8345	0.8822	0.9522	0.7073	0.6841	0.974006	0.948073
83000	1.8347	0.8784	0.9563	0.7086	0.6827	0.974164	0.947612
84000	1.8349	0.8742	0.9608	0.7102	0.6811	0.974278	0.947109
85000	1.8345	0.8694	0.9651	0.7115	0.6798	0.974359	0.946591
86000	1.8344	0.8654	0.9690	0.7130	0.6783	0.974465	0.946101
87000	1.8343	0.8613	0.9730	0.7145	0.6770	0.974600	0.945640
88000	1.8344	0.8571	0.9773	0.7159	0.6755	0.974697	0.945171
89000	1.8345	0.8531	0.9815	0.7171	0.6741	0.974797	0.944716
90000	1.8347	0.8496	0.9852	0.7184	0.6727	0.974805	0.944214
91000	1.8352	0.8457	0.9895	0.7198	0.6712	0.975077	0.943832
92000	1.8355	0.8420	0.9935	0.7210	0.6697	0.975291	0.943389
93000	1.8355	0.8382	0.9974	0.7223	0.6685	0.975530	0.943019
94000	1.8357	0.8340	1.0017	0.7236	0.6670	0.975811	0.942698
95000	1.8354	0.8297	1.0057	0.7248	0.6656	0.975932	0.942289
96000	1.8355	0.8257	1.0099	0.7261	0.6642	0.976063	0.941895
97000	1.8355	0.8217	1.0138	0.7273	0.6629	0.976222	0.941488
98000	1.8356	0.8176	1.0180	0.7286	0.6615	0.976293	0.941035
99000	1.8358	0.8139	1.0219	0.7299	0.6603	0.976467	0.940672
100000	1.8354	0.8101	1.0252	0.7312	0.6591	0.976636	0.940360
101000	1.8351	0.8065	1.0286	0.7325	0.6578	0.976717	0.940403
102000	1.8349	0.8029	1.0321	0.7338	0.6566	0.976730	0.940386
103000	1.8351	0.7993	1.0358	0.7350	0.6554	0.976755	0.940369
104000	1.8353	0.7956	1.0397	0.7361	0.6540	0.976756	0.940353
105000	1.8359	0.7926	1.0433	0.7369	0.6529	0.976840	0.940398
106000	1.8359	0.7896	1.0463	0.7381	0.6519	0.976938	0.940466
107000	1.8357	0.7861	1.0496	0.7392	0.6508	0.977077	0.940543
108000	1.8354	0.7826	1.0528	0.7403	0.6497	0.977105	0.940506
109000	1.8355	0.7797	1.0559	0.7413	0.6487	0.977191	0.940530
110000	1.8354	0.7765	1.0589	0.7423	0.6476	0.977255	0.940539
