Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.0844	0.4687	0.6158	0.8627	0.8396	2.258167	2.249364
2000	1.1507	0.5811	0.5696	0.8248	0.8134	2.097963	2.111752
3000	1.2743	0.6344	0.6399	0.7995	0.8037	1.994703	2.014894
4000	1.3392	0.6741	0.6650	0.7869	0.8012	1.929321	1.945124
5000	1.3740	0.6928	0.6812	0.7851	0.7948	1.894982	1.905463
6000	1.4117	0.7100	0.7017	0.7774	0.7878	1.865168	1.872958
7000	1.4414	0.7254	0.7160	0.7738	0.7790	1.842805	1.848280
8000	1.4709	0.7343	0.7366	0.7695	0.7728	1.824515	1.828540
9000	1.4915	0.7461	0.7454	0.7651	0.7695	1.809070	1.812543
10000	1.5129	0.7525	0.7604	0.7647	0.7611	1.794922	1.797790
11000	1.4967	0.7365	0.7602	0.7720	0.7657	1.790767	1.797083
12000	1.4872	0.7235	0.7638	0.7746	0.7584	1.787901	1.797168
13000	1.4995	0.7147	0.7848	0.7781	0.7514	1.785102	1.796248
14000	1.5125	0.7037	0.8089	0.7816	0.7423	1.783070	1.795327
15000	1.5225	0.6938	0.8287	0.7838	0.7366	1.780429	1.793282
16000	1.5330	0.6878	0.8452	0.7849	0.7303	1.778525	1.791621
17000	1.5432	0.6841	0.8591	0.7860	0.7254	1.776418	1.789268
18000	1.5520	0.6787	0.8733	0.7872	0.7203	1.773879	1.787014
19000	1.5629	0.6769	0.8860	0.7881	0.7154	1.771765	1.784766
20000	1.5711	0.6740	0.8970	0.7888	0.7121	1.769618	1.782379
21000	1.5776	0.6722	0.9054	0.7893	0.7085	1.767725	1.781459
22000	1.5867	0.6705	0.9162	0.7897	0.7048	1.765852	1.779870
23000	1.5920	0.6666	0.9254	0.7905	0.7020	1.764237	1.777788
24000	1.5983	0.6646	0.9337	0.7906	0.6988	1.762136	1.775454
25000	1.6062	0.6639	0.9423	0.7903	0.6953	1.759899	1.772954
26000	1.6136	0.6615	0.9522	0.7904	0.6920	1.757985	1.770600
27000	1.6207	0.6614	0.9593	0.7902	0.6892	1.756154	1.768334
28000	1.6271	0.6614	0.9658	0.7901	0.6870	1.754094	1.765564
