Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.0081	0.5584	0.4497	0.5174	0.6663	0.271986	0.317581
2000	0.8628	0.5144	0.3484	0.5911	0.7106	0.226999	0.275306
3000	0.7826	0.4712	0.3114	0.6060	0.7215	0.196942	0.244991
4000	0.7920	0.4937	0.2983	0.5802	0.7180	0.180045	0.230060
5000	0.8210	0.5233	0.2977	0.5645	0.7196	0.169704	0.221711
6000	0.8717	0.5687	0.3030	0.5277	0.6962	0.205721	0.262657
7000	0.9468	0.6133	0.3335	0.5149	0.6575	0.224621	0.264676
8000	1.0154	0.6457	0.3697	0.5131	0.6300	0.240868	0.267709
9000	1.0625	0.6739	0.3887	0.5041	0.6160	0.255391	0.272247
10000	1.1000	0.6970	0.4030	0.5046	0.6016	0.266481	0.276535
11000	1.1282	0.7098	0.4184	0.5010	0.5883	0.276812	0.290212
12000	1.1574	0.7170	0.4403	0.4928	0.5700	0.284175	0.298121
13000	1.1852	0.7237	0.4614	0.4890	0.5512	0.290579	0.303489
14000	1.2054	0.7262	0.4792	0.4855	0.5365	0.296191	0.308218
15000	1.2231	0.7294	0.4937	0.4830	0.5253	0.300969	0.312401
16000	1.2350	0.7307	0.5043	0.4813	0.5158	0.307191	0.318257
17000	1.2455	0.7341	0.5113	0.4827	0.5068	0.311512	0.322143
18000	1.2565	0.7372	0.5193	0.4824	0.4986	0.315350	0.325724
19000	1.2680	0.7412	0.5269	0.4807	0.4886	0.319236	0.329355
20000	1.2770	0.7442	0.5327	0.4800	0.4822	0.322762	0.332946
21000	1.2864	0.7470	0.5394	0.4802	0.4769	0.327050	0.336941
22000	1.2965	0.7504	0.5462	0.4779	0.4701	0.330491	0.339845
23000	1.3064	0.7537	0.5528	0.4757	0.4657	0.333775	0.342446
24000	1.3132	0.7556	0.5576	0.4776	0.4602	0.336887	0.344884
25000	1.3214	0.7576	0.5638	0.4763	0.4555	0.339819	0.347112
26000	1.3294	0.7596	0.5699	0.4734	0.4515	0.342966	0.349282
27000	1.3356	0.7622	0.5734	0.4723	0.4491	0.345258	0.350651
28000	1.3413	0.7642	0.5771	0.4729	0.4473	0.347367	0.351961
29000	1.3477	0.7660	0.5817	0.4713	0.4452	0.349153	0.353102
30000	1.3543	0.7676	0.5868	0.4705	0.4435	0.350748	0.354089
31000	1.3597	0.7691	0.5906	0.4690	0.4416	0.352538	0.355578
32000	1.3648	0.7696	0.5953	0.4680	0.4400	0.353592	0.356218
33000	1.3708	0.7716	0.5992	0.4671	0.4373	0.354601	0.356862
34000	1.3759	0.7721	0.6038	0.4677	0.4379	0.355689	0.357543
35000	1.3805	0.7716	0.6089	0.4669	0.4356	0.356698	0.358139
36000	1.3853	0.7722	0.6130	0.4663	0.4348	0.358075	0.359128
37000	1.3890	0.7730	0.6160	0.4663	0.4333	0.358891	0.359636
38000	1.3925	0.7730	0.6195	0.4657	0.4337	0.359651	0.360103
39000	1.3961	0.7741	0.6221	0.4643	0.4313	0.360352	0.360536
40000	1.4004	0.7757	0.6247	0.4647	0.4299	0.360951	0.360939
41000	1.4032	0.7767	0.6265	0.4638	0.4297	0.361790	0.361862
42000	1.4060	0.7775	0.6285	0.4629	0.4286	0.362212	0.362293
43000	1.4087	0.7782	0.6305	0.4626	0.4285	0.362619	0.362687
44000	1.4117	0.7792	0.6325	0.4619	0.4277	0.362917	0.362946
45000	1.4142	0.7796	0.6346	0.4610	0.4271	0.363275	0.363178
46000	1.4166	0.7802	0.6364	0.4614	0.4272	0.364049	0.363833
47000	1.4175	0.7798	0.6377	0.4614	0.4279	0.364546	0.364240
48000	1.4196	0.7803	0.6392	0.4607	0.4280	0.365039	0.364644
49000	1.4221	0.7809	0.6412	0.4605	0.4272	0.365392	0.364936
50000	1.4234	0.7810	0.6424	0.4604	0.4274	0.365784	0.365234
51000	1.4255	0.7818	0.6436	0.4592	0.4251	0.366380	0.365816
52000	1.4282	0.7830	0.6451	0.4584	0.4248	0.366573	0.365987
53000	1.4311	0.7838	0.6474	0.4583	0.4243	0.366736	0.366124
54000	1.4331	0.7839	0.6492	0.4578	0.4244	0.366957	0.366300
55000	1.4345	0.7841	0.6505	0.4578	0.4239	0.367071	0.366388
56000	1.4355	0.7843	0.6512	0.4578	0.4236	0.367563	0.366676
57000	1.4369	0.7844	0.6525	0.4581	0.4231	0.367856	0.366790
58000	1.4377	0.7842	0.6535	0.4587	0.4224	0.368018	0.366787
59000	1.4389	0.7839	0.6550	0.4583	0.4217	0.368188	0.366797
60000	1.4409	0.7844	0.6565	0.4581	0.4212	0.368355	0.366772
61000	1.4425	0.7848	0.6577	0.4580	0.4211	0.368705	0.367110
62000	1.4437	0.7852	0.6585	0.4577	0.4212	0.368747	0.367100
63000	1.4449	0.7855	0.6594	0.4576	0.4207	0.368853	0.367137
64000	1.4464	0.7854	0.6611	0.4567	0.4202	0.368943	0.367170
65000	1.4481	0.7856	0.6625	0.4570	0.4201	0.369055	0.367206
66000	1.4493	0.7858	0.6634	0.4568	0.4197	0.369393	0.367457
67000	1.4505	0.7861	0.6643	0.4568	0.4190	0.369452	0.367440
68000	1.4518	0.7863	0.6655	0.4568	0.4187	0.369491	0.367374
