Iteration	Avg_Total_Reward	Avg_Reward_User_0	Packet_Loss_Ratio_User_0	Avg_Loss_User_0
1000	0.7691	0.7691	0.7265	0.140160
2000	1.0199	1.0199	0.6576	0.164306
3000	1.1547	1.1547	0.6162	0.181175
4000	1.2270	1.2270	0.5954	0.192735
5000	1.2723	1.2723	0.5804	0.200581
6000	1.3053	1.3053	0.5704	0.220157
7000	1.3254	1.3254	0.5653	0.226163
8000	1.3373	1.3373	0.5621	0.230488
9000	1.3485	1.3485	0.5589	0.233702
10000	1.3539	1.3539	0.5565	0.236291
11000	1.3579	1.3579	0.5532	0.246894
12000	1.3611	1.3611	0.5517	0.256954
13000	1.3638	1.3638	0.5501	0.265362
14000	1.3686	1.3686	0.5489	0.272365
15000	1.3732	1.3732	0.5464	0.278463
16000	1.3770	1.3770	0.5457	0.279742
17000	1.3780	1.3780	0.5446	0.278691
18000	1.3816	1.3816	0.5437	0.277626
19000	1.3847	1.3847	0.5419	0.276715
20000	1.3889	1.3889	0.5407	0.275987
21000	1.3923	1.3923	0.5394	0.276544
22000	1.3941	1.3941	0.5385	0.276055
23000	1.3944	1.3944	0.5388	0.275544
24000	1.3972	1.3972	0.5376	0.275106
25000	1.3985	1.3985	0.5375	0.274730
26000	1.4000	1.4000	0.5366	0.275783
27000	1.3996	1.3996	0.5366	0.276589
28000	1.3993	1.3993	0.5372	0.277138
29000	1.3987	1.3987	0.5372	0.277665
30000	1.3985	1.3985	0.5357	0.278135
31000	1.4000	1.4000	0.5359	0.278500
32000	1.4014	1.4014	0.5348	0.278376
33000	1.4034	1.4034	0.5343	0.278273
34000	1.4048	1.4048	0.5337	0.278193
35000	1.4050	1.4050	0.5332	0.278000
36000	1.4058	1.4058	0.5330	0.278476
37000	1.4070	1.4070	0.5334	0.278518
38000	1.4072	1.4072	0.5333	0.278433
39000	1.4075	1.4075	0.5328	0.278359
40000	1.4077	1.4077	0.5325	0.278384
41000	1.4088	1.4088	0.5320	0.278594
42000	1.4099	1.4099	0.5317	0.278468
43000	1.4103	1.4103	0.5317	0.278319
44000	1.4106	1.4106	0.5313	0.278151
45000	1.4121	1.4121	0.5307	0.277972
46000	1.4122	1.4122	0.5305	0.278131
47000	1.4114	1.4114	0.5307	0.278002
48000	1.4114	1.4114	0.5307	0.277844
49000	1.4119	1.4119	0.5301	0.277741
50000	1.4129	1.4129	0.5299	0.277633
51000	1.4135	1.4135	0.5297	0.278257
52000	1.4140	1.4140	0.5295	0.278411
53000	1.4139	1.4139	0.5297	0.278432
54000	1.4145	1.4145	0.5297	0.278474
55000	1.4145	1.4145	0.5296	0.278480
56000	1.4146	1.4146	0.5297	0.279366
57000	1.4138	1.4138	0.5296	0.280034
58000	1.4136	1.4136	0.5296	0.280413
59000	1.4136	1.4136	0.5295	0.280712
60000	1.4139	1.4139	0.5293	0.281028
61000	1.4144	1.4144	0.5293	0.281827
62000	1.4144	1.4144	0.5293	0.282490
63000	1.4147	1.4147	0.5293	0.283094
64000	1.4150	1.4150	0.5294	0.283621
65000	1.4151	1.4151	0.5293	0.284056
66000	1.4152	1.4152	0.5292	0.284677
67000	1.4153	1.4153	0.5289	0.285146
68000	1.4157	1.4157	0.5288	0.285573
69000	1.4158	1.4158	0.5288	0.285973
70000	1.4155	1.4155	0.5290	0.286404
71000	1.4151	1.4151	0.5287	0.287014
72000	1.4154	1.4154	0.5287	0.287468
73000	1.4158	1.4158	0.5285	0.287900
74000	1.4160	1.4160	0.5284	0.288327
75000	1.4158	1.4158	0.5285	0.288754
76000	1.4159	1.4159	0.5283	0.289356
77000	1.4164	1.4164	0.5282	0.289849
78000	1.4171	1.4171	0.5279	0.290323
79000	1.4172	1.4172	0.5278	0.290803
80000	1.4175	1.4175	0.5280	0.291224
81000	1.4175	1.4175	0.5281	0.291714
82000	1.4174	1.4174	0.5281	0.292127
83000	1.4171	1.4171	0.5281	0.292492
84000	1.4170	1.4170	0.5281	0.292858
85000	1.4173	1.4173	0.5279	0.293221
86000	1.4173	1.4173	0.5279	0.293708
87000	1.4171	1.4171	0.5280	0.294078
88000	1.4163	1.4163	0.5282	0.294469
89000	1.4157	1.4157	0.5281	0.294804
90000	1.4157	1.4157	0.5283	0.295155
91000	1.4154	1.4154	0.5284	0.295541
92000	1.4155	1.4155	0.5282	0.295834
93000	1.4158	1.4158	0.5283	0.296118
94000	1.4159	1.4159	0.5284	0.296415
95000	1.4161	1.4161	0.5282	0.296688
96000	1.4160	1.4160	0.5284	0.296999
97000	1.4159	1.4159	0.5283	0.297224
98000	1.4161	1.4161	0.5282	0.297450
99000	1.4160	1.4160	0.5283	0.297657
100000	1.4159	1.4159	0.5283	0.297888
101000	1.4161	1.4161	0.5283	0.298222
102000	1.4164	1.4164	0.5283	0.298460
103000	1.4162	1.4162	0.5284	0.298680
104000	1.4160	1.4160	0.5284	0.298909
105000	1.4159	1.4159	0.5286	0.299137
106000	1.4158	1.4158	0.5288	0.299409
107000	1.4161	1.4161	0.5287	0.299652
108000	1.4159	1.4159	0.5287	0.299877
109000	1.4159	1.4159	0.5286	0.300075
110000	1.4160	1.4160	0.5287	0.300275
111000	1.4159	1.4159	0.5287	0.300532
112000	1.4156	1.4156	0.5287	0.300717
113000	1.4154	1.4154	0.5287	0.300876
114000	1.4154	1.4154	0.5285	0.301054
115000	1.4156	1.4156	0.5285	0.301211
116000	1.4160	1.4160	0.5284	0.301418
117000	1.4159	1.4159	0.5285	0.301575
118000	1.4159	1.4159	0.5286	0.301684
119000	1.4160	1.4160	0.5287	0.301813
120000	1.4159	1.4159	0.5288	0.301918
121000	1.4157	1.4157	0.5287	0.302069
122000	1.4158	1.4158	0.5286	0.302152
123000	1.4161	1.4161	0.5286	0.302225
124000	1.4162	1.4162	0.5285	0.302328
125000	1.4165	1.4165	0.5283	0.302421
126000	1.4168	1.4168	0.5282	0.302620
127000	1.4170	1.4170	0.5282	0.302746
128000	1.4172	1.4172	0.5282	0.302854
129000	1.4171	1.4171	0.5283	0.302965
130000	1.4171	1.4171	0.5284	0.303086
131000	1.4170	1.4170	0.5285	0.303263
132000	1.4169	1.4169	0.5285	0.303384
133000	1.4170	1.4170	0.5285	0.303533
134000	1.4167	1.4167	0.5286	0.303658
135000	1.4169	1.4169	0.5286	0.303794
136000	1.4168	1.4168	0.5288	0.303983
137000	1.4167	1.4167	0.5287	0.304112
138000	1.4165	1.4165	0.5287	0.304257
139000	1.4166	1.4166	0.5287	0.304379
140000	1.4166	1.4166	0.5287	0.304518
141000	1.4170	1.4170	0.5285	0.304683
142000	1.4172	1.4172	0.5285	0.304810
143000	1.4170	1.4170	0.5287	0.304916
144000	1.4168	1.4168	0.5287	0.305008
145000	1.4170	1.4170	0.5286	0.305106
146000	1.4171	1.4171	0.5286	0.305251
147000	1.4172	1.4172	0.5285	0.305341
148000	1.4173	1.4173	0.5284	0.305457
149000	1.4173	1.4173	0.5284	0.305563
150000	1.4172	1.4172	0.5284	0.305663
151000	1.4173	1.4173	0.5283	0.305790
152000	1.4174	1.4174	0.5283	0.305877
153000	1.4176	1.4176	0.5282	0.305939
154000	1.4178	1.4178	0.5282	0.306023
155000	1.4178	1.4178	0.5281	0.306106
156000	1.4179	1.4179	0.5281	0.306286
157000	1.4180	1.4180	0.5281	0.306442
158000	1.4184	1.4184	0.5279	0.306570
159000	1.4185	1.4185	0.5279	0.306697
160000	1.4186	1.4186	0.5279	0.306826
161000	1.4186	1.4186	0.5277	0.306936
162000	1.4185	1.4185	0.5278	0.306996
163000	1.4185	1.4185	0.5277	0.307060
164000	1.4187	1.4187	0.5277	0.307123
165000	1.4188	1.4188	0.5276	0.307173
166000	1.4190	1.4190	0.5277	0.307271
167000	1.4191	1.4191	0.5276	0.307331
168000	1.4191	1.4191	0.5276	0.307375
169000	1.4192	1.4192	0.5276	0.307414
170000	1.4193	1.4193	0.5275	0.307456
171000	1.4193	1.4193	0.5275	0.307540
172000	1.4193	1.4193	0.5275	0.307589
173000	1.4192	1.4192	0.5274	0.307637
174000	1.4193	1.4193	0.5274	0.307679
175000	1.4193	1.4193	0.5274	0.307717
176000	1.4194	1.4194	0.5273	0.307779
177000	1.4194	1.4194	0.5273	0.307813
178000	1.4196	1.4196	0.5272	0.307849
179000	1.4199	1.4199	0.5271	0.307909
180000	1.4203	1.4203	0.5269	0.307952
181000	1.4206	1.4206	0.5268	0.308062
182000	1.4208	1.4208	0.5268	0.308153
183000	1.4207	1.4207	0.5269	0.308230
184000	1.4207	1.4207	0.5269	0.308313
185000	1.4209	1.4209	0.5270	0.308410
186000	1.4209	1.4209	0.5269	0.308528
187000	1.4211	1.4211	0.5268	0.308599
188000	1.4213	1.4213	0.5268	0.308696
189000	1.4211	1.4211	0.5269	0.308790
190000	1.4211	1.4211	0.5269	0.308890
191000	1.4210	1.4210	0.5269	0.308992
192000	1.4212	1.4212	0.5268	0.309085
193000	1.4213	1.4213	0.5268	0.309178
194000	1.4212	1.4212	0.5268	0.309250
195000	1.4213	1.4213	0.5267	0.309325
196000	1.4214	1.4214	0.5267	0.309419
197000	1.4215	1.4215	0.5267	0.309502
198000	1.4214	1.4214	0.5267	0.309579
199000	1.4214	1.4214	0.5267	0.309628
200000	1.4214	1.4214	0.5268	0.309683
201000	1.4213	1.4213	0.5268	0.309768
202000	1.4212	1.4212	0.5269	0.309838
203000	1.4211	1.4211	0.5269	0.309930
204000	1.4212	1.4212	0.5268	0.310003
205000	1.4212	1.4212	0.5268	0.310080
206000	1.4212	1.4212	0.5269	0.310163
207000	1.4211	1.4211	0.5269	0.310209
208000	1.4210	1.4210	0.5269	0.310248
209000	1.4209	1.4209	0.5270	0.310303
210000	1.4209	1.4209	0.5269	0.310352
211000	1.4209	1.4209	0.5269	0.310399
212000	1.4208	1.4208	0.5270	0.310416
213000	1.4208	1.4208	0.5269	0.310432
214000	1.4210	1.4210	0.5268	0.310470
215000	1.4211	1.4211	0.5268	0.310501
216000	1.4211	1.4211	0.5267	0.310586
217000	1.4212	1.4212	0.5268	0.310648
218000	1.4214	1.4214	0.5267	0.310720
219000	1.4214	1.4214	0.5267	0.310802
220000	1.4215	1.4215	0.5267	0.310892
221000	1.4215	1.4215	0.5268	0.310966
222000	1.4215	1.4215	0.5267	0.311021
223000	1.4215	1.4215	0.5268	0.311066
224000	1.4214	1.4214	0.5267	0.311109
225000	1.4214	1.4214	0.5267	0.311158
