Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.1731	0.4569	0.7163	0.8960	0.7606	0.386009	0.339386
2000	0.9592	0.2882	0.6710	0.9144	0.7922	0.316617	0.268912
3000	0.9192	0.3011	0.6182	0.9226	0.8078	0.277463	0.232419
4000	0.8012	0.2396	0.5616	0.9384	0.8230	0.246354	0.204902
5000	0.7316	0.1976	0.5340	0.9486	0.8287	0.222414	0.183825
6000	0.7871	0.2336	0.5535	0.9228	0.8001	0.246907	0.217308
7000	0.9334	0.2652	0.6682	0.9160	0.7667	0.265922	0.224428
8000	1.0433	0.2773	0.7660	0.9120	0.7374	0.283532	0.232830
9000	1.1291	0.2900	0.8391	0.9089	0.7159	0.299594	0.241323
10000	1.1959	0.2992	0.8967	0.9042	0.7000	0.316085	0.249722
11000	1.2478	0.3115	0.9363	0.8970	0.6918	0.327093	0.264410
12000	1.2946	0.3376	0.9570	0.8901	0.6836	0.333514	0.273426
13000	1.3354	0.3515	0.9839	0.8867	0.6728	0.341723	0.282145
14000	1.3706	0.3564	1.0142	0.8881	0.6633	0.349922	0.289451
15000	1.3986	0.3564	1.0422	0.8896	0.6533	0.358450	0.295689
16000	1.4218	0.3550	1.0668	0.8889	0.6455	0.365784	0.303589
17000	1.4430	0.3651	1.0779	0.8775	0.6512	0.370697	0.326622
18000	1.4493	0.4158	1.0335	0.8594	0.6689	0.375343	0.360378
19000	1.4546	0.4687	0.9859	0.8429	0.6823	0.379555	0.388726
20000	1.4636	0.5143	0.9493	0.8280	0.6921	0.382977	0.413172
21000	1.4772	0.5570	0.9202	0.8140	0.7004	0.387419	0.424518
22000	1.4907	0.5958	0.8949	0.8014	0.7079	0.390143	0.424856
23000	1.5047	0.6312	0.8735	0.7897	0.7148	0.392248	0.424454
24000	1.5169	0.6652	0.8516	0.7786	0.7213	0.394047	0.424700
25000	1.5286	0.6956	0.8330	0.7681	0.7277	0.395559	0.425595
26000	1.5393	0.7260	0.8134	0.7582	0.7337	0.397896	0.431709
27000	1.5482	0.7512	0.7969	0.7504	0.7392	0.399150	0.434562
28000	1.5570	0.7751	0.7818	0.7429	0.7432	0.400054	0.436597
29000	1.5672	0.7963	0.7709	0.7358	0.7465	0.400857	0.437984
30000	1.5748	0.8166	0.7582	0.7292	0.7514	0.401565	0.439567
31000	1.5819	0.8366	0.7453	0.7228	0.7553	0.402915	0.441139
32000	1.5889	0.8535	0.7354	0.7172	0.7583	0.403514	0.440550
33000	1.5957	0.8688	0.7269	0.7119	0.7612	0.403871	0.439622
34000	1.6012	0.8826	0.7185	0.7079	0.7633	0.404064	0.438633
35000	1.6055	0.8966	0.7089	0.7029	0.7665	0.404184	0.437900
36000	1.6128	0.9113	0.7015	0.6983	0.7692	0.405013	0.438599
37000	1.6168	0.9255	0.6913	0.6933	0.7730	0.405263	0.438527
38000	1.6208	0.9388	0.6821	0.6889	0.7752	0.405444	0.438204
39000	1.6262	0.9512	0.6751	0.6849	0.7776	0.405495	0.437623
40000	1.6310	0.9627	0.6682	0.6809	0.7802	0.405454	0.436977
41000	1.6345	0.9735	0.6611	0.6776	0.7819	0.406328	0.437402
42000	1.6386	0.9827	0.6559	0.6741	0.7841	0.406766	0.437601
43000	1.6424	0.9929	0.6495	0.6713	0.7856	0.407183	0.437787
44000	1.6458	1.0010	0.6448	0.6686	0.7876	0.407547	0.438023
45000	1.6489	1.0089	0.6401	0.6657	0.7894	0.407793	0.438044
46000	1.6513	1.0179	0.6334	0.6625	0.7919	0.408437	0.438781
47000	1.6540	1.0245	0.6295	0.6612	0.7922	0.408749	0.439252
48000	1.6570	1.0302	0.6268	0.6588	0.7936	0.409139	0.439792
49000	1.6601	1.0379	0.6222	0.6562	0.7951	0.409458	0.440274
50000	1.6626	1.0440	0.6186	0.6547	0.7960	0.409659	0.440643
51000	1.6644	1.0489	0.6155	0.6530	0.7969	0.410331	0.441450
52000	1.6675	1.0535	0.6141	0.6516	0.7971	0.410679	0.441954
53000	1.6705	1.0554	0.6151	0.6510	0.7967	0.410971	0.442214
54000	1.6723	1.0581	0.6143	0.6498	0.7973	0.411258	0.442448
55000	1.6740	1.0610	0.6130	0.6490	0.7975	0.411569	0.442706
56000	1.6765	1.0651	0.6115	0.6474	0.7978	0.412370	0.443625
57000	1.6793	1.0685	0.6108	0.6460	0.7983	0.412850	0.444158
58000	1.6811	1.0721	0.6090	0.6453	0.7984	0.413239	0.444631
59000	1.6823	1.0728	0.6096	0.6448	0.7982	0.413547	0.445000
60000	1.6842	1.0738	0.6104	0.6445	0.7980	0.413825	0.445328
61000	1.6833	1.0748	0.6084	0.6448	0.7984	0.414984	0.445870
62000	1.6840	1.0746	0.6094	0.6445	0.7977	0.415309	0.445887
63000	1.6860	1.0752	0.6108	0.6436	0.7978	0.415569	0.445747
64000	1.6883	1.0769	0.6113	0.6434	0.7972	0.415892	0.445623
65000	1.6900	1.0781	0.6119	0.6431	0.7972	0.416218	0.445464
66000	1.6914	1.0793	0.6120	0.6427	0.7971	0.416597	0.445677
67000	1.6933	1.0801	0.6132	0.6422	0.7969	0.416675	0.445470
68000	1.6952	1.0820	0.6132	0.6413	0.7969	0.416749	0.445269
69000	1.6973	1.0835	0.6138	0.6410	0.7966	0.416788	0.445052
70000	1.6992	1.0853	0.6139	0.6400	0.7971	0.416980	0.444917
71000	1.7005	1.0879	0.6126	0.6397	0.7970	0.417696	0.445128
72000	1.7019	1.0898	0.6122	0.6385	0.7975	0.417972	0.445039
73000	1.7033	1.0918	0.6115	0.6384	0.7975	0.418254	0.444996
74000	1.7049	1.0945	0.6105	0.6375	0.7979	0.418524	0.444958
75000	1.7071	1.0980	0.6091	0.6361	0.7985	0.418871	0.444996
76000	1.7084	1.1012	0.6071	0.6352	0.7991	0.419373	0.445258
77000	1.7095	1.1028	0.6067	0.6346	0.7989	0.419679	0.445167
