Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.9173	0.3457	0.5715	0.9202	0.8523	0.317255	0.290942
2000	0.6853	0.2766	0.4087	0.9180	0.8931	0.257885	0.237454
3000	0.5930	0.2949	0.2981	0.9028	0.9194	0.221160	0.203550
4000	0.5548	0.3159	0.2389	0.8958	0.9337	0.195808	0.180284
5000	0.5385	0.3341	0.2044	0.8933	0.9427	0.177142	0.163016
6000	0.6118	0.3526	0.2593	0.8741	0.9006	0.218192	0.194065
7000	0.7889	0.4154	0.3735	0.8640	0.8591	0.234123	0.216716
8000	0.9172	0.4169	0.5003	0.8643	0.8187	0.250513	0.237212
9000	1.0205	0.4153	0.6052	0.8652	0.7886	0.266502	0.256599
10000	1.0974	0.4195	0.6779	0.8642	0.7690	0.281051	0.275198
11000	1.1640	0.4507	0.7133	0.8472	0.7650	0.303299	0.288241
12000	1.2209	0.4987	0.7223	0.8338	0.7622	0.319765	0.300791
13000	1.2637	0.5326	0.7311	0.8228	0.7653	0.333833	0.312970
14000	1.2964	0.5627	0.7337	0.8128	0.7681	0.346442	0.324425
15000	1.3264	0.5914	0.7350	0.8039	0.7708	0.358067	0.334831
16000	1.3547	0.6177	0.7370	0.7952	0.7689	0.375853	0.346555
17000	1.3825	0.6428	0.7397	0.7869	0.7669	0.389972	0.356823
18000	1.4072	0.6644	0.7428	0.7797	0.7669	0.403450	0.366644
19000	1.4277	0.6846	0.7431	0.7735	0.7663	0.415577	0.375834
20000	1.4471	0.7018	0.7453	0.7686	0.7669	0.426934	0.384410
21000	1.4621	0.7210	0.7411	0.7615	0.7698	0.435892	0.393082
22000	1.4741	0.7357	0.7385	0.7573	0.7722	0.442827	0.400345
23000	1.4874	0.7494	0.7380	0.7543	0.7734	0.449182	0.407113
24000	1.4989	0.7599	0.7391	0.7503	0.7740	0.455055	0.413705
25000	1.5097	0.7699	0.7398	0.7486	0.7744	0.460361	0.419460
26000	1.5178	0.7791	0.7387	0.7450	0.7741	0.465950	0.424725
27000	1.5272	0.7889	0.7383	0.7420	0.7728	0.470450	0.429084
28000	1.5388	0.7955	0.7433	0.7400	0.7700	0.474883	0.433117
29000	1.5498	0.8024	0.7474	0.7384	0.7686	0.479154	0.436901
30000	1.5587	0.8067	0.7520	0.7368	0.7666	0.483479	0.440716
31000	1.5669	0.8124	0.7544	0.7362	0.7648	0.487508	0.444636
32000	1.5740	0.8137	0.7603	0.7390	0.7626	0.490862	0.447983
33000	1.5787	0.8146	0.7641	0.7390	0.7612	0.494141	0.451189
34000	1.5834	0.8168	0.7666	0.7405	0.7597	0.497382	0.454256
35000	1.5877	0.8184	0.7693	0.7417	0.7589	0.500284	0.457062
36000	1.5935	0.8250	0.7686	0.7384	0.7589	0.503297	0.460303
37000	1.6002	0.8311	0.7691	0.7374	0.7580	0.505677	0.463161
38000	1.6042	0.8347	0.7696	0.7360	0.7590	0.507828	0.466003
39000	1.6066	0.8379	0.7687	0.7349	0.7607	0.509987	0.468804
40000	1.6095	0.8425	0.7670	0.7328	0.7617	0.511963	0.471352
41000	1.6122	0.8475	0.7647	0.7322	0.7619	0.514484	0.474254
42000	1.6152	0.8521	0.7631	0.7316	0.7625	0.516431	0.476706
43000	1.6173	0.8560	0.7612	0.7309	0.7634	0.518196	0.478829
44000	1.6207	0.8613	0.7594	0.7297	0.7645	0.519770	0.480781
