Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Count_Change
1000	1.0239	0.2736	0.2317	0.2434	0.2752	0.9278	0.9497	0.9439	0.9272	0.319241	0.316939	0.304903	0.300430	725
2000	0.7185	0.1863	0.1402	0.1844	0.2077	0.9504	0.9664	0.9516	0.9315	0.249797	0.241364	0.238313	0.231361	897
3000	0.6178	0.1403	0.1031	0.1532	0.2212	0.9572	0.9706	0.9547	0.9302	0.210032	0.201719	0.200832	0.191716	869
4000	0.5891	0.1270	0.0960	0.1410	0.2251	0.9607	0.9709	0.9590	0.9248	0.185273	0.177731	0.177612	0.166358	825
5000	0.5805	0.1209	0.0964	0.1230	0.2402	0.9619	0.9701	0.9634	0.9189	0.170494	0.163604	0.163913	0.149447	817
6000	0.6505	0.1285	0.1371	0.1100	0.2750	0.9499	0.9418	0.9668	0.9099	0.268643	0.224190	0.240752	0.234003	716
7000	0.8117	0.1769	0.2337	0.1230	0.2781	0.9389	0.9192	0.9548	0.9098	0.342494	0.254543	0.267224	0.269783	429
8000	0.9321	0.1837	0.2969	0.1539	0.2976	0.9402	0.9016	0.9575	0.8974	0.382098	0.292866	0.299875	0.294706	238
9000	1.0171	0.1904	0.3400	0.1709	0.3158	0.9325	0.9013	0.9528	0.8952	0.408398	0.316135	0.324976	0.315967	357
10000	1.0962	0.2065	0.3653	0.1967	0.3278	0.9309	0.8947	0.9445	0.8888	0.437309	0.341686	0.344597	0.324709	178
11000	1.1613	0.2111	0.3994	0.2152	0.3355	0.9278	0.8803	0.9381	0.8898	0.442329	0.361000	0.360766	0.346668	316
12000	1.2173	0.2355	0.4205	0.2277	0.3335	0.9169	0.8745	0.9337	0.8903	0.445430	0.371583	0.372452	0.362874	152
13000	1.2651	0.2682	0.4349	0.2361	0.3258	0.9073	0.8664	0.9298	0.8947	0.448826	0.381143	0.382443	0.376836	266
14000	1.3059	0.2907	0.4557	0.2470	0.3125	0.9004	0.8579	0.9262	0.8988	0.452252	0.391574	0.392575	0.389252	272
15000	1.3416	0.3074	0.4774	0.2552	0.3016	0.8965	0.8498	0.9226	0.9022	0.455388	0.401461	0.401991	0.400571	244
16000	1.3728	0.3173	0.4924	0.2619	0.3011	0.8931	0.8486	0.9203	0.8995	0.460455	0.410020	0.410586	0.409476	41
17000	1.3979	0.3255	0.4960	0.2689	0.3075	0.8916	0.8473	0.9175	0.8978	0.464014	0.416152	0.416739	0.416227	45
18000	1.4215	0.3324	0.5018	0.2744	0.3129	0.8893	0.8466	0.9155	0.8959	0.466709	0.421348	0.421494	0.421002	54
19000	1.4421	0.3394	0.5067	0.2791	0.3169	0.8872	0.8456	0.9138	0.8948	0.469297	0.426165	0.425848	0.425570	46
20000	1.4591	0.3445	0.5113	0.2832	0.3201	0.8857	0.8438	0.9122	0.8935	0.471422	0.430275	0.429848	0.429421	57
21000	1.4764	0.3517	0.5147	0.2861	0.3239	0.8822	0.8427	0.9108	0.8922	0.474805	0.434406	0.434896	0.434919	64
22000	1.4940	0.3614	0.5174	0.2890	0.3261	0.8797	0.8403	0.9098	0.8918	0.477330	0.437356	0.438359	0.438352	84
23000	1.5094	0.3661	0.5244	0.2917	0.3273	0.8790	0.8374	0.9084	0.8915	0.479585	0.440031	0.441347	0.440362	86
24000	1.5255	0.3703	0.5316	0.2947	0.3290	0.8780	0.8346	0.9071	0.8910	0.481005	0.442396	0.444028	0.441570	102
25000	1.5378	0.3733	0.5383	0.2975	0.3287	0.8769	0.8321	0.9062	0.8911	0.481574	0.444295	0.446459	0.441882	120
26000	1.5487	0.3793	0.5396	0.2994	0.3304	0.8746	0.8321	0.9053	0.8895	0.482097	0.446651	0.447895	0.443273	156
27000	1.5596	0.3836	0.5418	0.3021	0.3322	0.8726	0.8308	0.9042	0.8903	0.481601	0.448018	0.448317	0.444622	293
28000	1.5677	0.3902	0.5414	0.3050	0.3312	0.8707	0.8306	0.9030	0.8900	0.481028	0.449289	0.448688	0.445705	205
29000	1.5770	0.3975	0.5415	0.3071	0.3309	0.8678	0.8302	0.9023	0.8909	0.480432	0.450459	0.449080	0.446823	171
30000	1.5844	0.4045	0.5427	0.3092	0.3280	0.8659	0.8293	0.9012	0.8917	0.479613	0.451111	0.449296	0.447422	157
31000	1.5854	0.4182	0.5367	0.3061	0.3245	0.8588	0.8329	0.9041	0.8933	0.479099	0.452180	0.450623	0.448624	615
32000	1.5844	0.4320	0.5316	0.2972	0.3236	0.8574	0.8311	0.9068	0.8924	0.478515	0.452529	0.451383	0.449341	318
33000	1.5907	0.4345	0.5396	0.2894	0.3272	0.8562	0.8292	0.9090	0.8910	0.478002	0.452891	0.452125	0.449919	267
