Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Count_Change
1000	1.0879	0.1826	0.1526	0.1735	0.1373	0.2516	0.1903	0.9240	0.9702	0.9701	0.9729	0.9301	0.9661	0.352193	0.365467	0.348971	0.344762	0.357526	0.338731	817
2000	0.6932	0.1880	0.0852	0.0929	0.0696	0.1654	0.0922	0.9458	0.9737	0.9734	0.9787	0.9573	0.9743	0.262740	0.270454	0.260288	0.256013	0.266190	0.251385	911
3000	0.5899	0.1535	0.0936	0.0802	0.0630	0.1212	0.0783	0.9530	0.9690	0.9760	0.9790	0.9649	0.9774	0.213330	0.218818	0.211350	0.207463	0.215931	0.203952	908
4000	0.5506	0.1367	0.1042	0.0738	0.0589	0.1060	0.0711	0.9562	0.9652	0.9773	0.9813	0.9667	0.9779	0.182436	0.186462	0.181459	0.177479	0.184588	0.174515	896
5000	0.5338	0.1290	0.1092	0.0723	0.0537	0.1006	0.0691	0.9590	0.9642	0.9779	0.9827	0.9674	0.9782	0.160765	0.163985	0.160250	0.156337	0.162502	0.153975	905
6000	0.6274	0.1480	0.1014	0.0843	0.1210	0.1036	0.0690	0.9413	0.9700	0.9688	0.9490	0.9653	0.9753	0.224711	0.175191	0.229171	0.193312	0.212225	0.233135	370
7000	0.7974	0.2046	0.0871	0.1075	0.1817	0.1229	0.0936	0.9296	0.9729	0.9616	0.9338	0.9637	0.9671	0.251812	0.186019	0.253825	0.230821	0.242391	0.260513	203
8000	0.9213	0.2245	0.0985	0.1267	0.2191	0.1413	0.1111	0.9268	0.9648	0.9582	0.9260	0.9581	0.9606	0.293390	0.218373	0.281861	0.268591	0.268096	0.293413	148
9000	1.0275	0.2274	0.1163	0.1378	0.2285	0.1596	0.1578	0.9286	0.9594	0.9555	0.9253	0.9552	0.9437	0.343707	0.245753	0.307439	0.302585	0.291888	0.318735	133
10000	1.1046	0.2224	0.1344	0.1508	0.2341	0.1721	0.1906	0.9278	0.9519	0.9526	0.9211	0.9511	0.9443	0.392752	0.269337	0.331552	0.328019	0.312134	0.340296	153
11000	1.1669	0.2327	0.1544	0.1623	0.2417	0.1818	0.1939	0.9219	0.9475	0.9485	0.9194	0.9503	0.9420	0.399408	0.292033	0.350071	0.343717	0.330354	0.358749	74
12000	1.2223	0.2481	0.1667	0.1733	0.2457	0.1880	0.2004	0.9177	0.9434	0.9444	0.9192	0.9472	0.9402	0.399862	0.309221	0.363927	0.354672	0.342873	0.372468	50
13000	1.2696	0.2614	0.1765	0.1833	0.2486	0.1940	0.2058	0.9149	0.9423	0.9418	0.9177	0.9451	0.9379	0.401653	0.324901	0.375787	0.365469	0.352040	0.383535	58
14000	1.3074	0.2638	0.1883	0.1917	0.2534	0.1997	0.2105	0.9152	0.9373	0.9390	0.9172	0.9428	0.9373	0.402606	0.338511	0.386109	0.374817	0.360794	0.392099	44
15000	1.3408	0.2614	0.2045	0.1994	0.2585	0.2045	0.2124	0.9156	0.9353	0.9372	0.9151	0.9418	0.9364	0.403281	0.350747	0.394861	0.382847	0.370260	0.400455	47
16000	1.3684	0.2669	0.2161	0.2053	0.2606	0.2060	0.2137	0.9125	0.9307	0.9342	0.9157	0.9439	0.9360	0.410889	0.365720	0.402566	0.392351	0.380286	0.408463	85
17000	1.3898	0.2693	0.2289	0.2123	0.2587	0.2071	0.2135	0.9137	0.9279	0.9322	0.9155	0.9442	0.9366	0.415816	0.377146	0.407867	0.399725	0.387498	0.414488	51
