Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Count_Change
1000	0.9895	0.0887	0.1120	0.1247	0.1386	0.1191	0.1949	0.1030	0.1084	0.9812	0.9793	0.9731	0.9741	0.9798	0.9245	0.9770	0.9818	0.310826	0.314129	0.296557	0.322893	0.305492	0.306488	0.301433	0.314413	844
2000	0.6272	0.0566	0.0536	0.0847	0.0790	0.0506	0.1705	0.0628	0.0693	0.9791	0.9835	0.9761	0.9772	0.9835	0.9541	0.9785	0.9794	0.234764	0.234196	0.223930	0.239507	0.227533	0.230106	0.225843	0.235604	897
3000	0.5527	0.0721	0.0553	0.0746	0.0632	0.0466	0.1203	0.0561	0.0643	0.9747	0.9837	0.9772	0.9807	0.9856	0.9655	0.9822	0.9795	0.191350	0.190765	0.183329	0.194940	0.185149	0.188103	0.183879	0.192366	912
4000	0.5161	0.0752	0.0519	0.0730	0.0525	0.0479	0.0985	0.0541	0.0630	0.9750	0.9837	0.9769	0.9847	0.9838	0.9691	0.9814	0.9805	0.164538	0.163608	0.157347	0.167168	0.158470	0.161542	0.157509	0.165060	898
5000	0.5055	0.0788	0.0550	0.0704	0.0464	0.0470	0.0921	0.0551	0.0606	0.9751	0.9800	0.9780	0.9853	0.9855	0.9707	0.9814	0.9813	0.146893	0.145129	0.139634	0.148288	0.140422	0.143508	0.139662	0.146469	898
6000	0.4746	0.0719	0.0576	0.0641	0.0439	0.0417	0.0881	0.0517	0.0557	0.9779	0.9822	0.9811	0.9869	0.9868	0.9712	0.9833	0.9821	0.172145	0.154367	0.149597	0.162563	0.147699	0.158729	0.153579	0.157231	957
7000	0.4627	0.0693	0.0564	0.0594	0.0435	0.0405	0.0864	0.0504	0.0569	0.9774	0.9817	0.9816	0.9857	0.9864	0.9716	0.9828	0.9817	0.159240	0.143910	0.139469	0.150931	0.138124	0.147510	0.142795	0.146455	876
8000	0.4654	0.0681	0.0553	0.0574	0.0459	0.0425	0.0862	0.0520	0.0580	0.9779	0.9823	0.9812	0.9850	0.9858	0.9725	0.9829	0.9815	0.148748	0.135222	0.131150	0.141443	0.130198	0.138301	0.133934	0.137548	889
9000	0.4627	0.0677	0.0533	0.0585	0.0471	0.0432	0.0837	0.0519	0.0573	0.9782	0.9829	0.9812	0.9848	0.9861	0.9738	0.9825	0.9818	0.139842	0.127734	0.123962	0.133231	0.123244	0.130375	0.126370	0.129844	906
10000	0.4609	0.0670	0.0531	0.0596	0.0483	0.0443	0.0787	0.0520	0.0578	0.9786	0.9831	0.9805	0.9841	0.9855	0.9753	0.9829	0.9811	0.132276	0.121312	0.117753	0.126229	0.117303	0.123594	0.119816	0.123188	890
