Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss
1000	1.3183	0.6729	0.6455	0.8145	0.8047	0.655870
2000	1.3834	0.6847	0.6987	0.7785	0.7751	0.472050
3000	1.5212	0.7541	0.7671	0.7569	0.7452	0.502608
4000	1.6198	0.7840	0.8358	0.7484	0.7261	0.524678
5000	1.6687	0.7895	0.8792	0.7467	0.7087	0.535948
6000	1.6883	0.7884	0.8999	0.7440	0.7068	0.729193
7000	1.7063	0.7932	0.9131	0.7396	0.6998	0.581378
8000	1.7228	0.8058	0.9170	0.7340	0.6995	0.586146
9000	1.7382	0.8197	0.9184	0.7301	0.6983	0.594114
10000	1.7506	0.8289	0.9218	0.7272	0.6955	0.600919
11000	1.7600	0.8368	0.9232	0.7242	0.6979	0.968262
12000	1.7659	0.8479	0.9180	0.7203	0.6988	0.790700
13000	1.7719	0.8556	0.9164	0.7181	0.6993	0.796493
14000	1.7760	0.8599	0.9162	0.7154	0.7013	0.794433
15000	1.7757	0.8652	0.9105	0.7135	0.7014	0.791175
16000	1.7772	0.8713	0.9059	0.7109	0.7044	1.797103
17000	1.7791	0.8776	0.9015	0.7089	0.7058	1.526292
18000	1.7812	0.8828	0.8984	0.7073	0.7059	1.496058
19000	1.7823	0.8848	0.8975	0.7070	0.7055	1.504431
20000	1.7840	0.8845	0.8995	0.7058	0.7050	1.510939
21000	1.7857	0.8861	0.8996	0.7060	0.7055	3.583121
22000	1.7870	0.8862	0.9008	0.7058	0.7058	3.153461
23000	1.7866	0.8866	0.9000	0.7051	0.7068	3.147416
24000	1.7880	0.8884	0.8996	0.7048	0.7069	3.143254
25000	1.7887	0.8890	0.8997	0.7042	0.7069	3.191762
26000	1.7874	0.8906	0.8968	0.7039	0.7098	7.714886
27000	1.7852	0.8915	0.8937	0.7034	0.7119	6.804292
28000	1.7850	0.8928	0.8922	0.7028	0.7126	6.820681
29000	1.7845	0.8934	0.8911	0.7028	0.7136	6.938778
30000	1.7842	0.8947	0.8894	0.7027	0.7147	6.807281
31000	1.7825	0.8955	0.8870	0.7023	0.7181	17.086772
32000	1.7795	0.8961	0.8834	0.7026	0.7200	15.716670
33000	1.7774	0.8962	0.8812	0.7022	0.7223	15.640473
34000	1.7751	0.8967	0.8784	0.7024	0.7235	15.486872
35000	1.7737	0.8965	0.8772	0.7025	0.7255	15.635116
36000	1.7693	0.8964	0.8729	0.7028	0.7292	42.329705
37000	1.7641	0.8965	0.8675	0.7026	0.7327	40.010052
38000	1.7607	0.8975	0.8631	0.7024	0.7354	39.326494
39000	1.7563	0.8969	0.8594	0.7026	0.7383	39.435529
40000	1.7552	0.8985	0.8567	0.7016	0.7403	39.389386
41000	1.7512	0.8991	0.8521	0.7021	0.7442	102.572554
42000	1.7459	0.8996	0.8464	0.7018	0.7469	93.432973
43000	1.7425	0.8998	0.8427	0.7017	0.7497	95.874122
44000	1.7390	0.9001	0.8389	0.7015	0.7522	94.863024
45000	1.7362	0.9012	0.8350	0.7012	0.7547	95.606419
46000	1.7321	0.9010	0.8310	0.7013	0.7575	249.884536
47000	1.7278	0.9006	0.8272	0.7015	0.7595	236.193556
48000	1.7233	0.9005	0.8228	0.7014	0.7618	231.370512
49000	1.7196	0.9003	0.8192	0.7013	0.7639	231.300160
50000	1.7161	0.9003	0.8157	0.7011	0.7658	229.230660
51000	1.7133	0.9011	0.8123	0.7008	0.7684	560.043671
52000	1.7104	0.9015	0.8089	0.7012	0.7705	531.591401
53000	1.7061	0.9000	0.8061	0.7015	0.7726	534.971743
54000	1.7032	0.9001	0.8030	0.7014	0.7746	536.306832
55000	1.7008	0.9007	0.8000	0.7013	0.7763	535.427180
56000	1.6983	0.8998	0.7984	0.7029	0.7778	1259.378425
57000	1.6949	0.8981	0.7969	0.7035	0.7789	1205.604887
58000	1.6923	0.8968	0.7954	0.7043	0.7803	1218.875497
59000	1.6892	0.8954	0.7938	0.7051	0.7817	1243.542722
60000	1.6851	0.8928	0.7923	0.7066	0.7825	1229.920471
61000	1.6816	0.8900	0.7916	0.7078	0.7835	2987.626873
62000	1.6761	0.8852	0.7908	0.7104	0.7844	2858.363594
63000	1.6708	0.8811	0.7897	0.7112	0.7857	2821.506429
