Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.6230	0.3230	0.3000	0.7505	0.8082	0.887167	0.884645
2000	0.6565	0.3470	0.3095	0.7582	0.7967	0.901304	0.904682
3000	0.6867	0.3600	0.3267	0.7587	0.7769	0.914184	0.921591
4000	0.7190	0.3755	0.3435	0.7646	0.7607	0.927743	0.938401
5000	0.7482	0.3920	0.3562	0.7583	0.7553	0.941521	0.953778
6000	0.7710	0.4047	0.3663	0.7625	0.7471	0.953101	0.966064
7000	0.7950	0.4179	0.3771	0.7640	0.7299	0.962428	0.976821
8000	0.8137	0.4310	0.3827	0.7650	0.7192	0.971005	0.986870
9000	0.8277	0.4380	0.3897	0.7690	0.7117	0.977793	0.994804
10000	0.8421	0.4462	0.3959	0.7632	0.7041	0.985208	1.002368
11000	0.8567	0.4535	0.4033	0.7650	0.6949	1.000949	1.017401
