Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.6820	0.3560	0.3260	0.9094	0.9127	0.215582	0.220258
2000	0.7775	0.3975	0.3800	0.8925	0.8960	0.228836	0.232715
3000	0.8247	0.4150	0.4097	0.8883	0.8837	0.237250	0.241495
4000	0.8890	0.4382	0.4507	0.8793	0.8681	0.245257	0.248033
5000	0.9334	0.4538	0.4796	0.8776	0.8576	0.252568	0.253882
6000	0.9682	0.4730	0.4952	0.8720	0.8523	0.258349	0.258990
7000	1.0060	0.4906	0.5154	0.8651	0.8441	0.263142	0.263399
8000	1.0350	0.5036	0.5314	0.8605	0.8380	0.266941	0.266973
9000	1.0704	0.5211	0.5493	0.8535	0.8311	0.270323	0.270044
10000	1.0986	0.5353	0.5633	0.8483	0.8255	0.273212	0.272533
11000	1.1206	0.5485	0.5722	0.8426	0.8219	0.276995	0.275932
12000	1.1421	0.5600	0.5821	0.8380	0.8174	0.278831	0.277939
13000	1.1636	0.5685	0.5951	0.8340	0.8119	0.280330	0.279558
14000	1.1846	0.5796	0.6051	0.8296	0.8082	0.281435	0.280565
15000	1.2049	0.5919	0.6129	0.8242	0.8049	0.282209	0.281343
16000	1.2240	0.6042	0.6198	0.8188	0.8023	0.282722	0.281875
17000	1.2399	0.6142	0.6257	0.8143	0.7997	0.282732	0.281859
18000	1.2525	0.6208	0.6317	0.8113	0.7984	0.282619	0.281709
19000	1.2669	0.6298	0.6371	0.8075	0.7978	0.282828	0.281795
20000	1.2787	0.6361	0.6426	0.8045	0.7954	0.282891	0.281706
1000	0.6670	0.3290	0.3380	0.7476	0.7268	0.215362	0.210574
21000	1.2897	0.6423	0.6474	0.8015	0.7940	0.283833	0.282740
2000	0.7440	0.3680	0.3760	0.6983	0.6905	0.227246	0.221776
22000	1.3006	0.6476	0.6530	0.7992	0.7920	0.283699	0.282733
3000	0.8173	0.4020	0.4153	0.6687	0.6531	0.236347	0.230763
23000	1.3087	0.6526	0.6561	0.7969	0.7921	0.283641	0.282722
4000	0.8690	0.4325	0.4365	0.6414	0.6310	0.243369	0.236347
24000	1.3189	0.6578	0.6611	0.7945	0.7900	0.283752	0.282895
5000	0.9200	0.4592	0.4608	0.6139	0.6066	0.249192	0.242583
25000	1.3273	0.6616	0.6657	0.7931	0.7883	0.283661	0.282915
6000	0.9583	0.4753	0.4830	0.5989	0.5866	0.253098	0.246736
26000	1.3341	0.6653	0.6687	0.7918	0.7870	0.283700	0.283052
27000	1.3407	0.6691	0.6716	0.7904	0.7857	0.283694	0.283164
28000	1.3482	0.6737	0.6745	0.7883	0.7846	0.283783	0.283388
29000	1.3520	0.6751	0.6769	0.7873	0.7837	0.283689	0.283398
30000	1.3564	0.6773	0.6790	0.7862	0.7827	0.283447	0.283284
31000	1.3609	0.6797	0.6813	0.7850	0.7814	0.283814	0.283730
