Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	0.9110	0.2480	0.2300	0.1970	0.2360	0.9250	0.9289	0.9419	0.9302	0.373038	0.373038	0.373038	0.373038
2000	1.0300	0.2750	0.2735	0.2165	0.2650	0.9161	0.9153	0.9449	0.9233	0.394653	0.394653	0.394653	0.394653
3000	1.1510	0.2990	0.2940	0.2633	0.2947	0.9088	0.9075	0.9266	0.9136	0.409945	0.409945	0.409945	0.409945
4000	1.2603	0.3207	0.3232	0.2955	0.3207	0.9020	0.8977	0.9125	0.9032	0.413352	0.413352	0.413352	0.413352
5000	1.3294	0.3382	0.3370	0.3174	0.3368	0.8948	0.8931	0.9035	0.8975	0.410789	0.410789	0.410789	0.410789
6000	1.3822	0.3502	0.3483	0.3330	0.3507	0.8911	0.8889	0.8971	0.8925	0.406429	0.406429	0.406429	0.406429
7000	1.4307	0.3621	0.3589	0.3449	0.3649	0.8864	0.8855	0.8939	0.8872	0.402415	0.402415	0.402415	0.402415
8000	1.4667	0.3729	0.3664	0.3564	0.3711	0.8823	0.8832	0.8898	0.8853	0.398123	0.398123	0.398123	0.398123
9000	1.4983	0.3834	0.3739	0.3613	0.3797	0.8777	0.8805	0.8889	0.8823	0.393950	0.393950	0.393950	0.393950
10000	1.5290	0.3885	0.3806	0.3724	0.3875	0.8754	0.8793	0.8847	0.8796	0.390368	0.390368	0.390368	0.390368
11000	1.5177	0.3919	0.3840	0.3593	0.3825	0.8736	0.8773	0.8883	0.8805	0.412446	0.412446	0.412446	0.412446
12000	1.5363	0.3978	0.3896	0.3628	0.3861	0.8716	0.8753	0.8867	0.8801	0.409414	0.409414	0.409414	0.409414
13000	1.5515	0.4035	0.3940	0.3678	0.3862	0.8695	0.8735	0.8853	0.8823	0.404264	0.404264	0.404264	0.404264
14000	1.5668	0.4064	0.3983	0.3729	0.3891	0.8683	0.8720	0.8839	0.8825	0.398912	0.398912	0.398912	0.398912
15000	1.5846	0.4084	0.4030	0.3786	0.3946	0.8674	0.8698	0.8817	0.8802	0.393835	0.393835	0.393835	0.393835
16000	1.5987	0.4117	0.4061	0.3826	0.3983	0.8662	0.8686	0.8801	0.8790	0.388908	0.388908	0.388908	0.388908
17000	1.6126	0.4146	0.4083	0.3865	0.4032	0.8650	0.8683	0.8784	0.8767	0.384337	0.384337	0.384337	0.384337
18000	1.6273	0.4174	0.4125	0.3908	0.4066	0.8636	0.8667	0.8767	0.8748	0.380025	0.380025	0.380025	0.380025
19000	1.6378	0.4185	0.4152	0.3953	0.4089	0.8635	0.8655	0.8749	0.8736	0.375787	0.375787	0.375787	0.375787
20000	1.6455	0.4198	0.4154	0.3992	0.4111	0.8631	0.8652	0.8730	0.8727	0.371827	0.371827	0.371827	0.371827
21000	1.6481	0.4214	0.4148	0.3991	0.4128	0.8623	0.8652	0.8726	0.8716	0.376118	0.376118	0.376118	0.376118
22000	1.6570	0.4226	0.4175	0.4009	0.4160	0.8624	0.8640	0.8718	0.8701	0.375898	0.375898	0.375898	0.375898
23000	1.6643	0.4234	0.4203	0.4027	0.4179	0.8627	0.8629	0.8709	0.8691	0.375408	0.375408	0.375408	0.375408
24000	1.6696	0.4245	0.4224	0.4043	0.4185	0.8622	0.8622	0.8701	0.8687	0.374918	0.374918	0.374918	0.374918
25000	1.6728	0.4251	0.4244	0.4049	0.4183	0.8619	0.8613	0.8696	0.8692	0.374072	0.374072	0.374072	0.374072
26000	1.6783	0.4259	0.4259	0.4059	0.4206	0.8618	0.8607	0.8699	0.8681	0.373415	0.373415	0.373415	0.373415
27000	1.6826	0.4263	0.4274	0.4067	0.4221	0.8615	0.8601	0.8695	0.8672	0.372692	0.372692	0.372692	0.372692
28000	1.6861	0.4270	0.4283	0.4086	0.4223	0.8610	0.8598	0.8690	0.8678	0.372041	0.372041	0.372041	0.372041
29000	1.6859	0.4272	0.4290	0.4090	0.4207	0.8614	0.8595	0.8685	0.8699	0.371593	0.371593	0.371593	0.371593
30000	1.6875	0.4280	0.4300	0.4095	0.4200	0.8610	0.8589	0.8687	0.8708	0.371440	0.371440	0.371440	0.371440
31000	1.6787	0.4279	0.4296	0.4098	0.4113	0.8611	0.8589	0.8686	0.8734	0.374034	0.374034	0.374034	0.374034
32000	1.6828	0.4288	0.4315	0.4111	0.4115	0.8607	0.8582	0.8684	0.8738	0.374826	0.374826	0.374826	0.374826
33000	1.6853	0.4297	0.4328	0.4105	0.4123	0.8603	0.8578	0.8685	0.8736	0.375490	0.375490	0.375490	0.375490
34000	1.6876	0.4303	0.4336	0.4106	0.4131	0.8600	0.8574	0.8684	0.8737	0.376168	0.376168	0.376168	0.376168
35000	1.6929	0.4308	0.4350	0.4127	0.4144	0.8596	0.8569	0.8675	0.8733	0.376830	0.376830	0.376830	0.376830
36000	1.6952	0.4312	0.4354	0.4134	0.4151	0.8594	0.8566	0.8673	0.8727	0.377432	0.377432	0.377432	0.377432
