Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
1000	0.9580	0.1360	0.1780	0.1770	0.1730	0.1450	0.1490	0.9575	0.9453	0.9450	0.9441	0.9565	0.9529	0.425234	0.425234	0.425234	0.425234	0.425234	0.425234
2000	1.1605	0.1845	0.2015	0.2040	0.1920	0.1855	0.1930	0.9419	0.9392	0.9363	0.9429	0.9457	0.9465	0.457561	0.457561	0.457561	0.457561	0.457561	0.457561
3000	1.2637	0.2043	0.2183	0.2243	0.2050	0.2070	0.2047	0.9361	0.9327	0.9284	0.9395	0.9383	0.9445	0.472477	0.472477	0.472477	0.472477	0.472477	0.472477
4000	1.3500	0.2258	0.2320	0.2303	0.2190	0.2245	0.2185	0.9288	0.9271	0.9271	0.9357	0.9302	0.9412	0.464955	0.464955	0.464955	0.464955	0.464955	0.464955
5000	1.4084	0.2390	0.2402	0.2420	0.2220	0.2334	0.2318	0.9243	0.9238	0.9237	0.9351	0.9271	0.9365	0.454881	0.454881	0.454881	0.454881	0.454881	0.454881
6000	1.4533	0.2497	0.2473	0.2450	0.2265	0.2443	0.2405	0.9205	0.9210	0.9243	0.9341	0.9235	0.9320	0.445292	0.445292	0.445292	0.445292	0.445292	0.445292
7000	1.5030	0.2571	0.2529	0.2544	0.2356	0.2526	0.2504	0.9176	0.9187	0.9206	0.9305	0.9200	0.9276	0.436714	0.436714	0.436714	0.436714	0.436714	0.436714
8000	1.5339	0.2634	0.2577	0.2559	0.2425	0.2587	0.2556	0.9156	0.9170	0.9198	0.9273	0.9176	0.9259	0.429196	0.429196	0.429196	0.429196	0.429196	0.429196
9000	1.5543	0.2659	0.2614	0.2579	0.2457	0.2616	0.2619	0.9144	0.9154	0.9185	0.9264	0.9163	0.9231	0.422377	0.422377	0.422377	0.422377	0.422377	0.422377
10000	1.5750	0.2681	0.2639	0.2627	0.2509	0.2661	0.2633	0.9132	0.9142	0.9169	0.9241	0.9144	0.9233	0.416058	0.416058	0.416058	0.416058	0.416058	0.416058
11000	1.5447	0.2574	0.2622	0.2638	0.2472	0.2645	0.2496	0.9165	0.9144	0.9161	0.9245	0.9144	0.9278	0.434307	0.434307	0.434307	0.434307	0.434307	0.434307
12000	1.5566	0.2577	0.2648	0.2677	0.2507	0.2660	0.2497	0.9162	0.9133	0.9145	0.9244	0.9138	0.9299	0.429810	0.429810	0.429810	0.429810	0.429810	0.429810
13000	1.5564	0.2585	0.2667	0.2668	0.2502	0.2656	0.2485	0.9156	0.9127	0.9146	0.9261	0.9149	0.9321	0.423591	0.423591	0.423591	0.423591	0.423591	0.423591
14000	1.5663	0.2614	0.2700	0.2693	0.2489	0.2699	0.2468	0.9146	0.9115	0.9135	0.9261	0.9132	0.9344	0.418009	0.418009	0.418009	0.418009	0.418009	0.418009
15000	1.5783	0.2650	0.2728	0.2712	0.2494	0.2721	0.2478	0.9135	0.9104	0.9127	0.9253	0.9126	0.9344	0.412785	0.412785	0.412785	0.412785	0.412785	0.412785
16000	1.5928	0.2686	0.2746	0.2741	0.2501	0.2751	0.2502	0.9123	0.9095	0.9114	0.9246	0.9116	0.9334	0.407955	0.407955	0.407955	0.407955	0.407955	0.407955
17000	1.6059	0.2693	0.2760	0.2756	0.2542	0.2768	0.2539	0.9121	0.9092	0.9108	0.9227	0.9114	0.9315	0.403666	0.403666	0.403666	0.403666	0.403666	0.403666
18000	1.6136	0.2701	0.2761	0.2753	0.2572	0.2772	0.2578	0.9118	0.9092	0.9116	0.9215	0.9117	0.9292	0.399564	0.399564	0.399564	0.399564	0.399564	0.399564
19000	1.6229	0.2726	0.2783	0.2753	0.2597	0.2775	0.2596	0.9107	0.9084	0.9120	0.9204	0.9115	0.9280	0.395857	0.395857	0.395857	0.395857	0.395857	0.395857
20000	1.6282	0.2742	0.2793	0.2743	0.2611	0.2779	0.2613	0.9100	0.9078	0.9131	0.9200	0.9113	0.9267	0.392455	0.392455	0.392455	0.392455	0.392455	0.392455
21000	1.6103	0.2701	0.2760	0.2730	0.2544	0.2764	0.2605	0.9113	0.9088	0.9132	0.9219	0.9118	0.9268	0.398442	0.398442	0.398442	0.398442	0.398442	0.398442
22000	1.6080	0.2661	0.2766	0.2727	0.2559	0.2778	0.2589	0.9126	0.9086	0.9131	0.9211	0.9110	0.9267	0.398921	0.398921	0.398921	0.398921	0.398921	0.398921
23000	1.6143	0.2678	0.2770	0.2737	0.2573	0.2780	0.2605	0.9122	0.9085	0.9125	0.9205	0.9108	0.9255	0.398789	0.398789	0.398789	0.398789	0.398789	0.398789
24000	1.6180	0.2698	0.2760	0.2748	0.2567	0.2783	0.2623	0.9115	0.9087	0.9120	0.9209	0.9107	0.9244	0.398316	0.398316	0.398316	0.398316	0.398316	0.398316
25000	1.6264	0.2722	0.2763	0.2762	0.2568	0.2800	0.2648	0.9107	0.9086	0.9114	0.9212	0.9100	0.9231	0.397667	0.397667	0.397667	0.397667	0.397667	0.397667
26000	1.6333	0.2732	0.2772	0.2781	0.2589	0.2798	0.2662	0.9103	0.9083	0.9107	0.9203	0.9102	0.9222	0.397048	0.397048	0.397048	0.397048	0.397048	0.397048
27000	1.6416	0.2751	0.2783	0.2790	0.2601	0.2811	0.2679	0.9095	0.9078	0.9103	0.9197	0.9096	0.9212	0.396073	0.396073	0.396073	0.396073	0.396073	0.396073
28000	1.6476	0.2762	0.2791	0.2796	0.2619	0.2815	0.2692	0.9090	0.9075	0.9099	0.9191	0.9094	0.9205	0.395153	0.395153	0.395153	0.395153	0.395153	0.395153
29000	1.6531	0.2773	0.2793	0.2813	0.2634	0.2819	0.2699	0.9087	0.9073	0.9092	0.9184	0.9092	0.9199	0.394105	0.394105	0.394105	0.394105	0.394105	0.394105
30000	1.6598	0.2789	0.2798	0.2819	0.2653	0.2831	0.2708	0.9080	0.9071	0.9089	0.9176	0.9087	0.9194	0.393264	0.393264	0.393264	0.393264	0.393264	0.393264
