Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.8815	0.4066	0.4749	0.8904	0.8815	0.916683	0.891957
2000	0.7053	0.3496	0.3557	0.9035	0.9076	0.838156	0.825265
3000	0.6477	0.3262	0.3215	0.9045	0.9069	0.786148	0.778921
4000	0.6695	0.3490	0.3205	0.8827	0.9024	0.759609	0.759524
5000	0.7324	0.4122	0.3202	0.8681	0.9016	0.745499	0.751769
6000	0.8465	0.4758	0.3707	0.8401	0.8684	0.759769	0.767679
7000	0.9911	0.5376	0.4536	0.8203	0.8516	0.771554	0.780440
8000	1.0929	0.5867	0.5062	0.8064	0.8349	0.781608	0.792575
9000	1.1739	0.6220	0.5519	0.7971	0.8221	0.791628	0.804310
10000	1.2257	0.6440	0.5817	0.7888	0.8132	0.799916	0.813749
11000	1.2664	0.6590	0.6074	0.7847	0.8035	0.821612	0.831772
12000	1.3059	0.6764	0.6295	0.7787	0.7966	0.837723	0.844391
13000	1.3405	0.6898	0.6507	0.7741	0.7903	0.852345	0.855267
14000	1.3656	0.6989	0.6667	0.7710	0.7840	0.864738	0.866806
15000	1.3908	0.7107	0.6801	0.7658	0.7849	0.875688	0.872380
16000	1.4195	0.7260	0.6935	0.7611	0.7788	0.884559	0.875960
17000	1.4440	0.7368	0.7072	0.7575	0.7735	0.886979	0.879322
18000	1.4659	0.7452	0.7207	0.7551	0.7689	0.888636	0.881809
19000	1.4873	0.7540	0.7333	0.7515	0.7646	0.890818	0.884518
20000	1.5052	0.7620	0.7433	0.7495	0.7615	0.892362	0.886832
21000	1.5185	0.7681	0.7504	0.7484	0.7589	0.899899	0.889835
22000	1.5323	0.7745	0.7578	0.7465	0.7560	0.905396	0.892568
23000	1.5441	0.7794	0.7647	0.7465	0.7537	0.910882	0.895472
24000	1.5524	0.7823	0.7701	0.7457	0.7515	0.915289	0.898064
25000	1.5613	0.7859	0.7754	0.7453	0.7497	0.919056	0.900638
26000	1.5677	0.7882	0.7795	0.7464	0.7482	0.924328	0.902079
27000	1.5738	0.7902	0.7836	0.7467	0.7471	0.930997	0.903364
28000	1.5782	0.7918	0.7864	0.7466	0.7464	0.937273	0.904907
29000	1.5849	0.7955	0.7894	0.7451	0.7447	0.943108	0.906474
30000	1.5933	0.7992	0.7941	0.7448	0.7432	0.948364	0.907775
31000	1.5999	0.8020	0.7979	0.7437	0.7425	0.949420	0.909701
32000	1.6056	0.8049	0.8006	0.7422	0.7416	0.950690	0.911810
33000	1.6111	0.8075	0.8035	0.7409	0.7409	0.951587	0.913635
34000	1.6178	0.8108	0.8070	0.7393	0.7392	0.952497	0.915378
35000	1.6247	0.8148	0.8099	0.7379	0.7383	0.953377	0.917017
36000	1.6295	0.8172	0.8123	0.7376	0.7373	0.953520	0.917988
37000	1.6326	0.8188	0.8138	0.7375	0.7365	0.953536	0.918953
38000	1.6366	0.8205	0.8161	0.7371	0.7353	0.953813	0.920032
39000	1.6407	0.8220	0.8187	0.7361	0.7345	0.953989	0.921022
40000	1.6449	0.8242	0.8207	0.7352	0.7337	0.954188	0.922003
41000	1.6499	0.8264	0.8234	0.7344	0.7323	0.955231	0.923083
42000	1.6553	0.8289	0.8264	0.7340	0.7314	0.956007	0.923952
43000	1.6587	0.8304	0.8284	0.7331	0.7307	0.956715	0.924757
44000	1.6616	0.8314	0.8301	0.7328	0.7298	0.957099	0.925276
45000	1.6646	0.8326	0.8320	0.7326	0.7292	0.957394	0.925738
46000	1.6676	0.8336	0.8340	0.7323	0.7286	0.957237	0.926065
47000	1.6717	0.8353	0.8364	0.7316	0.7277	0.956962	0.926228
48000	1.6750	0.8363	0.8387	0.7309	0.7269	0.956682	0.926312
49000	1.6784	0.8381	0.8403	0.7300	0.7263	0.956410	0.926423
50000	1.6815	0.8394	0.8421	0.7295	0.7255	0.955998	0.926355
51000	1.6843	0.8407	0.8436	0.7287	0.7249	0.955492	0.925931
52000	1.6860	0.8417	0.8443	0.7281	0.7244	0.954903	0.925478
53000	1.6885	0.8430	0.8455	0.7275	0.7237	0.954301	0.925051
54000	1.6915	0.8442	0.8473	0.7271	0.7233	0.953649	0.924601
55000	1.6945	0.8455	0.8490	0.7266	0.7224	0.953148	0.924337
56000	1.6969	0.8464	0.8504	0.7264	0.7220	0.952915	0.923883
57000	1.6990	0.8473	0.8517	0.7260	0.7214	0.952524	0.923382
58000	1.7011	0.8478	0.8533	0.7258	0.7211	0.952100	0.922837
59000	1.7035	0.8492	0.8543	0.7253	0.7208	0.951664	0.922277
60000	1.7055	0.8501	0.8554	0.7250	0.7201	0.951412	0.921790
61000	1.7079	0.8512	0.8567	0.7246	0.7197	0.951408	0.921373
62000	1.7097	0.8521	0.8576	0.7241	0.7191	0.951444	0.920963
63000	1.7113	0.8531	0.8582	0.7239	0.7187	0.951313	0.920439
64000	1.7131	0.8540	0.8592	0.7238	0.7184	0.951312	0.920082
65000	1.7150	0.8545	0.8605	0.7235	0.7180	0.951148	0.919559
