Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	1.0190	0.3221	0.1958	0.2458	0.2553	0.9120	0.9456	0.9334	0.9379	0.313955	0.324930	0.317648	0.318836
2000	0.7685	0.2416	0.1481	0.1796	0.1992	0.9333	0.9600	0.9513	0.9418	0.248354	0.258630	0.250431	0.252524
3000	0.6401	0.1970	0.1249	0.1439	0.1742	0.9418	0.9645	0.9578	0.9504	0.209636	0.218232	0.210496	0.210447
4000	0.5671	0.1734	0.1140	0.1331	0.1467	0.9445	0.9662	0.9573	0.9574	0.182381	0.189648	0.182747	0.182102
5000	0.5343	0.1747	0.1046	0.1284	0.1266	0.9424	0.9678	0.9605	0.9628	0.162528	0.168900	0.162641	0.161385
6000	0.5987	0.1965	0.1559	0.1200	0.1263	0.9227	0.9375	0.9612	0.9592	0.221827	0.240479	0.197380	0.175134
7000	0.7628	0.2466	0.2501	0.1282	0.1379	0.9163	0.9075	0.9585	0.9506	0.296712	0.239984	0.217693	0.183929
8000	0.8921	0.2654	0.2949	0.1654	0.1665	0.9137	0.8972	0.9458	0.9459	0.344147	0.260319	0.241674	0.217130
9000	0.9846	0.2750	0.3300	0.1970	0.1826	0.9134	0.8869	0.9361	0.9459	0.364025	0.279710	0.263364	0.244825
10000	1.0641	0.2891	0.3521	0.2260	0.1968	0.9073	0.8807	0.9278	0.9452	0.372730	0.298031	0.282973	0.269261
11000	1.1316	0.3016	0.3666	0.2531	0.2103	0.9041	0.8798	0.9173	0.9391	0.383286	0.315443	0.303143	0.293133
12000	1.1893	0.3072	0.3742	0.2836	0.2243	0.9026	0.8752	0.9087	0.9339	0.390731	0.328234	0.319621	0.310455
13000	1.2406	0.3106	0.3914	0.3009	0.2377	0.9014	0.8721	0.9035	0.9284	0.397421	0.339377	0.333986	0.325214
14000	1.2824	0.3181	0.4018	0.3119	0.2506	0.8982	0.8703	0.8990	0.9240	0.403260	0.348918	0.346426	0.338157
15000	1.3182	0.3248	0.4058	0.3270	0.2606	0.8959	0.8701	0.8937	0.9201	0.408573	0.357814	0.357208	0.349673
16000	1.3513	0.3310	0.4116	0.3358	0.2729	0.8937	0.8685	0.8926	0.9131	0.415079	0.368046	0.368179	0.360515
17000	1.3829	0.3358	0.4136	0.3363	0.2972	0.8923	0.8690	0.8920	0.9051	0.419628	0.374970	0.376950	0.366445
18000	1.4084	0.3376	0.4140	0.3383	0.3185	0.8912	0.8693	0.8920	0.8974	0.423884	0.381343	0.385203	0.371578
19000	1.4324	0.3412	0.4140	0.3387	0.3386	0.8897	0.8688	0.8920	0.8907	0.427883	0.387085	0.392530	0.376307
20000	1.4528	0.3445	0.4127	0.3393	0.3563	0.8880	0.8689	0.8913	0.8857	0.431556	0.392257	0.399111	0.380746
21000	1.4679	0.3499	0.4120	0.3408	0.3652	0.8863	0.8693	0.8907	0.8828	0.435623	0.397833	0.407117	0.387311
22000	1.4833	0.3549	0.4112	0.3412	0.3760	0.8844	0.8690	0.8903	0.8790	0.438005	0.401630	0.412185	0.391559
23000	1.4972	0.3584	0.4109	0.3415	0.3865	0.8836	0.8690	0.8900	0.8754	0.440058	0.404862	0.416856	0.395221
24000	1.5104	0.3600	0.4104	0.3422	0.3978	0.8828	0.8690	0.8901	0.8714	0.441731	0.407462	0.421361	0.398139
25000	1.5243	0.3637	0.4092	0.3406	0.4107	0.8815	0.8695	0.8910	0.8664	0.442968	0.409710	0.425068	0.400294
26000	1.5344	0.3668	0.4094	0.3354	0.4229	0.8803	0.8682	0.8926	0.8631	0.444230	0.411978	0.427590	0.403146
27000	1.5451	0.3699	0.4133	0.3322	0.4297	0.8793	0.8669	0.8930	0.8612	0.444771	0.413365	0.429481	0.405250
28000	1.5545	0.3725	0.4164	0.3317	0.4340	0.8792	0.8657	0.8932	0.8597	0.445210	0.414613	0.431247	0.406908
29000	1.5637	0.3733	0.4190	0.3326	0.4388	0.8787	0.8648	0.8926	0.8578	0.445500	0.415602	0.432707	0.408161
30000	1.5723	0.3738	0.4215	0.3333	0.4437	0.8792	0.8639	0.8924	0.8565	0.446124	0.416413	0.433939	0.409329
31000	1.5771	0.3741	0.4211	0.3337	0.4482	0.8791	0.8644	0.8923	0.8542	0.447126	0.418244	0.436139	0.411642
