Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
1000	1.0278	0.1779	0.1426	0.1251	0.1857	0.1878	0.2087	0.9616	0.9695	0.9787	0.9592	0.9496	0.9585	0.315421	0.308604	0.307336	0.299172	0.304693	0.303866
2000	0.6353	0.1097	0.0881	0.0775	0.1054	0.1320	0.1225	0.9674	0.9754	0.9765	0.9684	0.9603	0.9653	0.230959	0.227839	0.228997	0.220014	0.227114	0.224287
3000	0.5758	0.1029	0.0771	0.0859	0.0979	0.1109	0.1011	0.9690	0.9778	0.9740	0.9687	0.9667	0.9704	0.185491	0.183101	0.184686	0.176932	0.183117	0.180574
4000	0.5287	0.1004	0.0693	0.0787	0.0948	0.0959	0.0897	0.9686	0.9787	0.9761	0.9676	0.9708	0.9725	0.156877	0.154823	0.156635	0.149820	0.155266	0.153119
5000	0.5131	0.0993	0.0648	0.0767	0.1008	0.0905	0.0810	0.9677	0.9797	0.9768	0.9657	0.9727	0.9755	0.137617	0.135927	0.137814	0.131639	0.136707	0.134642
6000	0.6109	0.1350	0.0623	0.1002	0.1114	0.1196	0.0824	0.9466	0.9780	0.9646	0.9589	0.9613	0.9688	0.199921	0.302941	0.203258	0.238741	0.232362	0.226561
7000	0.7843	0.1814	0.0859	0.1373	0.1273	0.1432	0.1093	0.9357	0.9642	0.9543	0.9572	0.9538	0.9602	0.229202	0.386249	0.238791	0.299814	0.258498	0.255017
8000	0.9224	0.2044	0.1413	0.1599	0.1318	0.1543	0.1307	0.9317	0.9443	0.9474	0.9546	0.9557	0.9539	0.288896	0.452334	0.276119	0.344853	0.286826	0.286905
9000	1.0255	0.2150	0.1821	0.1762	0.1437	0.1602	0.1482	0.9274	0.9367	0.9427	0.9520	0.9521	0.9480	0.344280	0.504715	0.308475	0.377003	0.313911	0.317168
10000	1.1017	0.2234	0.2008	0.1868	0.1555	0.1696	0.1656	0.9250	0.9314	0.9391	0.9494	0.9484	0.9427	0.387155	0.547916	0.336191	0.420325	0.334867	0.343494
11000	1.1685	0.2565	0.2153	0.1923	0.1671	0.1670	0.1703	0.9075	0.9264	0.9403	0.9430	0.9526	0.9459	0.392707	0.541326	0.354744	0.430584	0.383107	0.417507
12000	1.2222	0.2975	0.2309	0.1931	0.1892	0.1534	0.1582	0.8972	0.9204	0.9415	0.9374	0.9564	0.9494	0.394731	0.532750	0.372832	0.436486	0.420553	0.476148
13000	1.2679	0.3282	0.2528	0.1936	0.2030	0.1418	0.1486	0.8862	0.9117	0.9425	0.9363	0.9595	0.9521	0.397100	0.524599	0.389486	0.444307	0.452441	0.526919
14000	1.3038	0.3577	0.2750	0.1952	0.2010	0.1314	0.1435	0.8787	0.9067	0.9430	0.9362	0.9624	0.9529	0.401125	0.518976	0.401330	0.452359	0.480295	0.570626
15000	1.3318	0.3764	0.2870	0.2017	0.2032	0.1228	0.1407	0.8727	0.9022	0.9410	0.9348	0.9646	0.9543	0.406155	0.514233	0.409210	0.459287	0.505386	0.609735
16000	1.3594	0.3967	0.2935	0.2049	0.2060	0.1178	0.1405	0.8684	0.9023	0.9401	0.9336	0.9644	0.9522	0.413798	0.514993	0.416965	0.466584	0.521324	0.631453
17000	1.3835	0.4006	0.2950	0.2075	0.2094	0.1218	0.1492	0.8676	0.9016	0.9406	0.9325	0.9649	0.9496	0.419188	0.513598	0.421780	0.470843	0.523301	0.648939
18000	1.4034	0.4026	0.2970	0.2110	0.2122	0.1255	0.1551	0.8668	0.9008	0.9396	0.9315	0.9635	0.9479	0.423822	0.511704	0.425465	0.473901	0.524442	0.663141
19000	1.4227	0.4067	0.2979	0.2141	0.2156	0.1284	0.1600	0.8653	0.9006	0.9404	0.9304	0.9625	0.9468	0.427982	0.510172	0.428943	0.476634	0.525796	0.675066
20000	1.4397	0.4120	0.2998	0.2162	0.2182	0.1306	0.1630	0.8639	0.9000	0.9407	0.9295	0.9619	0.9459	0.431866	0.508648	0.432308	0.479045	0.528343	0.695767
21000	1.4550	0.4136	0.3004	0.2171	0.2208	0.1355	0.1676	0.8650	0.8999	0.9408	0.9281	0.9596	0.9441	0.436864	0.510571	0.437425	0.482181	0.527971	0.682321
22000	1.4696	0.4098	0.3008	0.2188	0.2253	0.1423	0.1726	0.8663	0.9002	0.9409	0.9266	0.9582	0.9427	0.439474	0.511093	0.441044	0.483634	0.526458	0.667631
23000	1.4816	0.4064	0.3003	0.2209	0.2297	0.1472	0.1770	0.8678	0.8997	0.9405	0.9252	0.9572	0.9422	0.441488	0.510869	0.444050	0.484590	0.524895	0.653880
24000	1.4922	0.4057	0.3018	0.2231	0.2325	0.1493	0.1797	0.8676	0.8997	0.9408	0.9243	0.9567	0.9421	0.443263	0.510119	0.446503	0.485237	0.523053	0.640787
25000	1.5021	0.4073	0.3016	0.2242	0.2359	0.1508	0.1823	0.8665	0.8996	0.9409	0.9231	0.9562	0.9427	0.444428	0.508696	0.448451	0.485202	0.521569	0.628624
26000	1.5077	0.4028	0.3043	0.2225	0.2411	0.1523	0.1847	0.8704	0.8977	0.9409	0.9201	0.9547	0.9414	0.446799	0.507727	0.450754	0.484965	0.520371	0.622483
27000	1.5184	0.3934	0.3083	0.2223	0.2494	0.1573	0.1877	0.8727	0.8971	0.9407	0.9179	0.9531	0.9413	0.447818	0.506215	0.452192	0.484088	0.518675	0.616099
28000	1.5266	0.3914	0.3102	0.2212	0.2534	0.1601	0.1902	0.8746	0.8958	0.9407	0.9169	0.9521	0.9408	0.448704	0.504686	0.453533	0.483136	0.516851	0.610037
29000	1.5349	0.3882	0.3136	0.2192	0.2581	0.1630	0.1929	0.8755	0.8956	0.9410	0.9148	0.9511	0.9405	0.449518	0.503244	0.454934	0.482273	0.515087	0.604420
30000	1.5422	0.3870	0.3142	0.2191	0.2612	0.1659	0.1946	0.8762	0.8952	0.9399	0.9143	0.9499	0.9403	0.450218	0.501826	0.455751	0.481366	0.513373	0.599129
31000	1.5455	0.3809	0.3133	0.2199	0.2662	0.1691	0.1962	0.8797	0.8955	0.9392	0.9112	0.9482	0.9401	0.451763	0.501091	0.456737	0.481064	0.512767	0.595284
32000	1.5551	0.3719	0.3150	0.2226	0.2734	0.1736	0.1987	0.8816	0.8948	0.9380	0.9096	0.9468	0.9395	0.452507	0.499845	0.457196	0.480252	0.511658	0.591157
33000	1.5631	0.3677	0.3156	0.2237	0.2784	0.1766	0.2011	0.8832	0.8948	0.9376	0.9078	0.9458	0.9389	0.453300	0.498719	0.457686	0.479495	0.510607	0.587319
34000	1.5699	0.3648	0.3159	0.2247	0.2833	0.1783	0.2030	0.8836	0.8946	0.9369	0.9066	0.9452	0.9389	0.454070	0.497725	0.458127	0.478848	0.509741	0.583762
