Iteration	Avg_Reward	Packet_Loss_Ratio	Avg_Loss
1000	0.5290	0.5829	0.089699
2000	0.5750	0.5263	0.096189
3000	0.6067	0.5040	0.098385
4000	0.6282	0.4841	0.101668
5000	0.6486	0.4679	0.103741
6000	0.6653	0.4660	0.105857
7000	0.6743	0.4547	0.107518
8000	0.6857	0.4472	0.108122
9000	0.6946	0.4375	0.108710
10000	0.7051	0.4305	0.109097
11000	0.7145	0.4272	0.111978
12000	0.7221	0.4244	0.113803
13000	0.7322	0.4177	0.115124
14000	0.7410	0.4131	0.116433
15000	0.7479	0.4078	0.117312
16000	0.7541	0.4042	0.118013
17000	0.7612	0.4015	0.118498
18000	0.7673	0.3986	0.119050
19000	0.7727	0.3953	0.119576
20000	0.7780	0.3933	0.119967
21000	0.7823	0.3916	0.120513
22000	0.7862	0.3899	0.120503
23000	0.7913	0.3868	0.120429
24000	0.7956	0.3850	0.120399
25000	0.7994	0.3835	0.120410
26000	0.8028	0.3818	0.120402
