Iteration	Avg_Total_Reward	Avg_Reward_User_0	Packet_Loss_Ratio_User_0	Avg_Loss_User_0
1000	0.8103	0.8103	0.7005	0.144422
2000	1.0549	1.0549	0.6513	0.163196
3000	1.1641	1.1641	0.6216	0.178100
4000	1.2303	1.2303	0.5977	0.190004
5000	1.2779	1.2779	0.5836	0.198519
6000	1.3047	1.3047	0.5745	0.220321
7000	1.3166	1.3166	0.5712	0.226627
8000	1.3257	1.3257	0.5653	0.230766
9000	1.3388	1.3388	0.5612	0.234176
10000	1.3458	1.3458	0.5576	0.236756
11000	1.3517	1.3517	0.5565	0.241023
12000	1.3559	1.3559	0.5548	0.241974
13000	1.3574	1.3574	0.5549	0.242469
14000	1.3617	1.3617	0.5524	0.243068
15000	1.3671	1.3671	0.5511	0.243602
16000	1.3679	1.3679	0.5495	0.245070
17000	1.3706	1.3706	0.5482	0.245627
18000	1.3705	1.3705	0.5473	0.246008
19000	1.3728	1.3728	0.5462	0.246173
20000	1.3765	1.3765	0.5442	0.246509
21000	1.3789	1.3789	0.5431	0.247541
22000	1.3822	1.3822	0.5414	0.248084
23000	1.3855	1.3855	0.5408	0.248555
24000	1.3880	1.3880	0.5394	0.249005
25000	1.3908	1.3908	0.5390	0.249423
26000	1.3923	1.3923	0.5382	0.250231
27000	1.3931	1.3931	0.5372	0.250656
28000	1.3961	1.3961	0.5365	0.251202
29000	1.3978	1.3978	0.5361	0.251641
30000	1.3980	1.3980	0.5356	0.252047
31000	1.3976	1.3976	0.5357	0.252682
32000	1.3981	1.3981	0.5353	0.253059
33000	1.3980	1.3980	0.5354	0.253365
34000	1.3986	1.3986	0.5353	0.253682
35000	1.3984	1.3984	0.5347	0.253940
36000	1.3989	1.3989	0.5348	0.254479
37000	1.3989	1.3989	0.5345	0.254729
38000	1.3995	1.3995	0.5344	0.255032
39000	1.3989	1.3989	0.5347	0.255285
40000	1.3996	1.3996	0.5343	0.255518
41000	1.4007	1.4007	0.5339	0.255958
42000	1.4019	1.4019	0.5335	0.256135
43000	1.4023	1.4023	0.5338	0.256299
