Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.0567	0.5963	0.4604	0.8411	0.8791	0.324098	0.344240
2000	0.8246	0.4476	0.3770	0.8811	0.9019	0.257673	0.277238
3000	0.6631	0.3614	0.3018	0.8924	0.9160	0.213063	0.230789
4000	0.6071	0.3353	0.2718	0.8958	0.9177	0.183414	0.201030
5000	0.5908	0.3283	0.2625	0.8959	0.9182	0.162211	0.180120
6000	0.6354	0.3529	0.2825	0.8726	0.8947	0.192504	0.211802
7000	0.8054	0.4311	0.3743	0.8552	0.8674	0.216352	0.225054
8000	0.9331	0.4956	0.4376	0.8332	0.8505	0.239152	0.242089
9000	1.0346	0.5535	0.4811	0.8152	0.8358	0.260118	0.263087
10000	1.1182	0.5970	0.5211	0.8016	0.8235	0.279393	0.284001
11000	1.1842	0.6310	0.5532	0.7908	0.8127	0.297371	0.303557
12000	1.2451	0.6587	0.5864	0.7818	0.8035	0.311180	0.316141
13000	1.2937	0.6812	0.6124	0.7745	0.7997	0.323740	0.326679
14000	1.3292	0.7005	0.6287	0.7688	0.7992	0.334739	0.337096
15000	1.3578	0.7149	0.6429	0.7637	0.7950	0.344893	0.346809
16000	1.3862	0.7278	0.6584	0.7602	0.7892	0.349895	0.354389
17000	1.4099	0.7358	0.6741	0.7570	0.7829	0.350679	0.359889
18000	1.4356	0.7470	0.6886	0.7534	0.7774	0.352161	0.364913
19000	1.4605	0.7578	0.7027	0.7499	0.7728	0.353451	0.369183
20000	1.4801	0.7662	0.7139	0.7472	0.7696	0.354752	0.373171
21000	1.4962	0.7726	0.7235	0.7451	0.7664	0.360109	0.379367
22000	1.5109	0.7789	0.7320	0.7431	0.7632	0.364041	0.383914
23000	1.5245	0.7848	0.7397	0.7416	0.7607	0.367662	0.388156
24000	1.5360	0.7903	0.7457	0.7394	0.7583	0.370810	0.391703
25000	1.5480	0.7966	0.7514	0.7375	0.7568	0.373340	0.394711
26000	1.5591	0.8017	0.7574	0.7354	0.7544	0.377267	0.397735
27000	1.5693	0.8065	0.7627	0.7340	0.7522	0.380065	0.399523
28000	1.5789	0.8105	0.7685	0.7326	0.7503	0.382753	0.401387
29000	1.5890	0.8145	0.7745	0.7311	0.7481	0.385217	0.403008
30000	1.5965	0.8165	0.7799	0.7303	0.7462	0.387462	0.404507
31000	1.6040	0.8190	0.7850	0.7289	0.7446	0.388321	0.406096
32000	1.6103	0.8218	0.7885	0.7285	0.7434	0.388359	0.406939
33000	1.6156	0.8235	0.7921	0.7274	0.7421	0.388300	0.407634
34000	1.6219	0.8263	0.7956	0.7265	0.7405	0.388221	0.408355
35000	1.6285	0.8287	0.7998	0.7253	0.7391	0.388183	0.408971
36000	1.6351	0.8321	0.8029	0.7242	0.7379	0.390121	0.410698
37000	1.6400	0.8342	0.8058	0.7238	0.7371	0.391019	0.411571
38000	1.6436	0.8354	0.8082	0.7232	0.7359	0.391792	0.412297
39000	1.6485	0.8375	0.8110	0.7224	0.7349	0.392646	0.413082
40000	1.6530	0.8403	0.8127	0.7211	0.7343	0.393272	0.413676
41000	1.6570	0.8428	0.8143	0.7205	0.7334	0.394587	0.414965
42000	1.6619	0.8452	0.8167	0.7196	0.7326	0.395060	0.415546
43000	1.6666	0.8470	0.8196	0.7189	0.7312	0.395669	0.416249
44000	1.6707	0.8485	0.8222	0.7182	0.7306	0.396188	0.416920
45000	1.6747	0.8505	0.8242	0.7176	0.7299	0.396739	0.417533
46000	1.6782	0.8522	0.8261	0.7171	0.7291	0.398146	0.418616
47000	1.6809	0.8532	0.8277	0.7167	0.7286	0.398854	0.419131
48000	1.6836	0.8541	0.8295	0.7163	0.7277	0.399459	0.419570
49000	1.6867	0.8550	0.8317	0.7162	0.7272	0.400021	0.419976
50000	1.6890	0.8559	0.8331	0.7154	0.7268	0.400655	0.420457
51000	1.6914	0.8572	0.8343	0.7151	0.7263	0.401793	0.421207
52000	1.6937	0.8581	0.8356	0.7149	0.7258	0.402400	0.421586
53000	1.6960	0.8585	0.8374	0.7145	0.7252	0.402903	0.421877
54000	1.6989	0.8600	0.8388	0.7141	0.7247	0.403398	0.422164
55000	1.7016	0.8617	0.8399	0.7137	0.7246	0.403940	0.422504
56000	1.7031	0.8627	0.8404	0.7134	0.7243	0.405076	0.423266
57000	1.7043	0.8635	0.8408	0.7131	0.7241	0.405744	0.423633
58000	1.7063	0.8646	0.8417	0.7128	0.7236	0.406368	0.423981
59000	1.7083	0.8656	0.8427	0.7126	0.7232	0.406979	0.424328
60000	1.7104	0.8665	0.8438	0.7122	0.7227	0.407593	0.424680
61000	1.7126	0.8675	0.8452	0.7117	0.7220	0.408391	0.425214
62000	1.7144	0.8680	0.8464	0.7115	0.7214	0.408792	0.425473
63000	1.7161	0.8688	0.8473	0.7111	0.7211	0.409163	0.425700
64000	1.7175	0.8694	0.8481	0.7109	0.7208	0.409451	0.425844
65000	1.7192	0.8702	0.8491	0.7111	0.7203	0.409957	0.426066
66000	1.7207	0.8703	0.8504	0.7108	0.7197	0.410614	0.426582
67000	1.7219	0.8704	0.8514	0.7117	0.7194	0.411065	0.426824
68000	1.7231	0.8705	0.8527	0.7116	0.7189	0.411569	0.427122
69000	1.7245	0.8711	0.8533	0.7115	0.7188	0.412031	0.427387
70000	1.7252	0.8714	0.8539	0.7115	0.7184	0.412450	0.427634
71000	1.7265	0.8719	0.8546	0.7114	0.7181	0.412977	0.427939
72000	1.7274	0.8719	0.8555	0.7119	0.7178	0.413339	0.427998
73000	1.7284	0.8719	0.8565	0.7117	0.7175	0.413631	0.428076
74000	1.7296	0.8726	0.8570	0.7113	0.7173	0.413923	0.428169
75000	1.7309	0.8730	0.8580	0.7112	0.7167	0.414194	0.428251
76000	1.7326	0.8737	0.8589	0.7109	0.7165	0.414833	0.428738
77000	1.7339	0.8742	0.8598	0.7108	0.7162	0.415347	0.429072
78000	1.7348	0.8743	0.8605	0.7108	0.7157	0.415737	0.429317
79000	1.7361	0.8747	0.8614	0.7104	0.7155	0.416111	0.429550
80000	1.7379	0.8758	0.8621	0.7103	0.7152	0.416484	0.429826
81000	1.7390	0.8765	0.8624	0.7102	0.7152	0.416955	0.430187
82000	1.7392	0.8763	0.8629	0.7107	0.7149	0.417245	0.430325
83000	1.7401	0.8763	0.8638	0.7105	0.7147	0.417515	0.430476
84000	1.7411	0.8767	0.8645	0.7104	0.7144	0.417778	0.430637
85000	1.7424	0.8773	0.8650	0.7100	0.7142	0.418068	0.430819
86000	1.7434	0.8777	0.8657	0.7100	0.7138	0.418527	0.431216
87000	1.7442	0.8778	0.8664	0.7097	0.7134	0.418791	0.431414
88000	1.7450	0.8782	0.8668	0.7098	0.7132	0.419077	0.431632
89000	1.7454	0.8783	0.8672	0.7096	0.7132	0.419328	0.431809
90000	1.7463	0.8789	0.8674	0.7094	0.7130	0.419606	0.432020
91000	1.7473	0.8795	0.8679	0.7091	0.7129	0.420002	0.432318
92000	1.7482	0.8799	0.8683	0.7089	0.7129	0.420268	0.432476
93000	1.7492	0.8803	0.8689	0.7086	0.7126	0.420465	0.432576
