Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.8923	0.4947	0.3976	0.8692	0.8792	0.257513	0.269715
2000	0.7682	0.3757	0.3925	0.9053	0.8858	0.223134	0.220128
3000	0.6648	0.2888	0.3760	0.9185	0.8866	0.194402	0.187441
4000	0.6009	0.2404	0.3605	0.9340	0.8906	0.170895	0.163426
5000	0.5552	0.1989	0.3564	0.9427	0.8854	0.153202	0.145068
6000	0.6479	0.2909	0.3571	0.8829	0.8811	0.181268	0.186179
7000	0.8193	0.4028	0.4166	0.8641	0.8584	0.203896	0.208407
8000	0.9364	0.4576	0.4789	0.8506	0.8446	0.225138	0.230692
9000	1.0260	0.5024	0.5235	0.8385	0.8334	0.244885	0.252228
10000	1.0982	0.5413	0.5569	0.8275	0.8285	0.262380	0.272837
11000	1.1563	0.5711	0.5852	0.8225	0.8218	0.279349	0.290178
12000	1.1980	0.5916	0.6065	0.8153	0.8162	0.291910	0.303062
13000	1.2431	0.6185	0.6246	0.8073	0.8145	0.303127	0.314411
14000	1.2747	0.6391	0.6357	0.8030	0.8136	0.313964	0.324416
15000	1.3052	0.6593	0.6460	0.7998	0.8114	0.324317	0.333808
16000	1.3349	0.6734	0.6615	0.7944	0.8035	0.334966	0.344171
17000	1.3634	0.6848	0.6786	0.7919	0.7964	0.343200	0.352426
18000	1.3856	0.6921	0.6935	0.7927	0.7910	0.350711	0.360011
19000	1.4045	0.7001	0.7044	0.7923	0.7883	0.357846	0.366639
20000	1.4172	0.7045	0.7128	0.7944	0.7880	0.364411	0.372727
21000	1.4304	0.7101	0.7202	0.7939	0.7840	0.371620	0.379462
22000	1.4434	0.7160	0.7275	0.7929	0.7810	0.377223	0.384937
23000	1.4564	0.7224	0.7340	0.7923	0.7775	0.382537	0.389946
24000	1.4669	0.7270	0.7399	0.7917	0.7753	0.387471	0.394678
