Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_By_Transmit_Ratio_User_0	Packet_Loss_By_Transmit_Ratio_User_1	Packet_Loss_By_Transmit_Ratio_User_2	Packet_Loss_By_Transmit_Ratio_User_3	Packet_Loss_By_Transmit_Ratio_User_4	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Count_Change
1000	1.3319	0.2036	0.2111	0.2954	0.4041	0.2176	0.9356	0.9148	0.8988	0.8054	0.9435	0.4398	0.4311	0.4093	0.3746	0.2723	0.400125	0.403405	0.402361	0.378487	0.414453	358
2000	1.5745	0.2375	0.2777	0.3266	0.5744	0.1582	0.9087	0.9034	0.8870	0.8112	0.9478	0.4617	0.4232	0.4043	0.4035	0.1745	0.371947	0.370413	0.372522	0.355702	0.377805	332
3000	1.6603	0.2745	0.2993	0.3516	0.5883	0.1467	0.9100	0.8991	0.8785	0.7957	0.9533	0.4621	0.4235	0.4049	0.4093	0.1370	0.353306	0.351351	0.353639	0.340714	0.357179	392
4000	1.7086	0.2698	0.3024	0.3748	0.6261	0.1355	0.9073	0.8996	0.8714	0.7886	0.9567	0.4629	0.4095	0.4046	0.4104	0.1143	0.341326	0.339642	0.341698	0.330638	0.344449	362
5000	1.7388	0.2882	0.2957	0.3887	0.6412	0.1250	0.9038	0.9015	0.8698	0.7836	0.9599	0.4677	0.4065	0.4080	0.4070	0.1003	0.333855	0.332100	0.334037	0.324115	0.336462	356
6000	1.7534	0.2890	0.2917	0.3931	0.6628	0.1168	0.9023	0.9024	0.8655	0.7766	0.9621	0.4620	0.3980	0.3939	0.4062	0.0893	0.360153	0.369878	0.363772	0.357277	0.374527	327
7000	1.7647	0.2985	0.2891	0.4006	0.6682	0.1082	0.8975	0.9041	0.8673	0.7771	0.9649	0.4579	0.3966	0.4045	0.4089	0.0831	0.374949	0.384715	0.380252	0.369097	0.388777	328
8000	1.7676	0.3106	0.2890	0.4006	0.6623	0.1051	0.8955	0.9019	0.8669	0.7806	0.9662	0.4588	0.3974	0.4059	0.4106	0.0762	0.385521	0.395342	0.392121	0.376458	0.403993	300
9000	1.7714	0.3181	0.2979	0.4050	0.6464	0.1041	0.8936	0.8995	0.8651	0.7878	0.9637	0.4567	0.3907	0.4035	0.4145	0.0637	0.393801	0.405220	0.403126	0.382208	0.410624	371
10000	1.7698	0.3189	0.3027	0.4096	0.6265	0.1121	0.8945	0.8976	0.8657	0.7926	0.9618	0.4547	0.3898	0.4094	0.4191	0.0558	0.400271	0.411868	0.413097	0.386346	0.416217	484
