Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Avg_Reward_User_8	Avg_Reward_User_9	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Packet_Loss_Ratio_User_8	Packet_Loss_Ratio_User_9	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7	Avg_Loss_User_8	Avg_Loss_User_9
1000	6.6500	0.6730	0.6410	0.8260	0.8100	0.5490	0.8200	0.7350	0.3580	0.3270	0.9110	0.8010	0.8102	0.7465	0.7479	0.8394	0.7398	0.7722	0.9045	0.9090	0.7175	2.295462	2.244300	2.343577	2.187550	2.413853	2.316996	2.298006	2.356705	2.377688	2.220715
2000	8.3885	0.9380	0.9380	1.0225	1.0270	0.8930	1.0265	0.9940	0.2490	0.2200	1.0805	0.7076	0.7050	0.6712	0.6743	0.7175	0.6690	0.6791	0.9327	0.9412	0.6523	2.117464	2.109476	2.201263	2.097294	2.198189	2.165355	2.080846	2.307886	2.310824	2.139127
3000	9.2790	1.0777	1.0810	1.1313	1.1410	1.0480	1.1503	1.1387	0.1820	0.1647	1.1643	0.6515	0.6534	0.6337	0.6283	0.6656	0.6252	0.6266	0.9509	0.9555	0.6189	2.065528	2.068869	2.165150	2.077096	2.126489	2.122908	2.015415	2.289001	2.294157	2.121753
4000	9.7892	1.1542	1.1665	1.2035	1.2018	1.1527	1.2090	1.1967	0.1415	0.1295	1.2337	0.6216	0.6192	0.6086	0.6027	0.6291	0.6024	0.6067	0.9621	0.9653	0.5925	2.027564	2.035707	2.124663	2.047774	2.076676	2.085330	1.976421	2.251683	2.258687	2.089844
5000	10.0738	1.2116	1.2042	1.2436	1.2294	1.2010	1.2552	1.2388	0.1142	0.1048	1.2710	0.6026	0.6069	0.5945	0.5915	0.6100	0.5851	0.5923	0.9693	0.9720	0.5770	1.995278	2.004981	2.063486	2.019965	2.035668	2.048855	1.945574	2.214452	2.219940	2.028036
6000	10.2882	1.2402	1.2435	1.2735	1.2632	1.2407	1.2830	1.2620	0.0958	0.0890	1.2973	0.5906	0.5931	0.5829	0.5801	0.5963	0.5724	0.5848	0.9743	0.9761	0.5686	1.965724	1.946901	1.984546	1.962955	1.997153	2.004203	1.899062	2.173398	2.142343	1.952499
7000	10.4423	1.2654	1.2676	1.2913	1.2920	1.2683	1.2960	1.2846	0.0831	0.0789	1.3151	0.5816	0.5828	0.5756	0.5717	0.5856	0.5680	0.5784	0.9776	0.9791	0.5623	1.922351	1.882450	1.906531	1.901608	1.941113	1.942968	1.840091	2.102456	2.060933	1.876872
8000	10.6619	1.2796	1.2864	1.3119	1.3104	1.2895	1.3160	1.3031	0.0886	0.1475	1.3289	0.5769	0.5761	0.5673	0.5650	0.5763	0.5612	0.5693	0.9752	0.9559	0.5567	1.868798	1.822806	1.841749	1.839742	1.877786	1.878349	1.784744	2.025443	1.982741	1.814741
9000	10.9971	1.2918	1.3009	1.3310	1.3161	1.3032	1.3302	1.3186	0.1799	0.2889	1.3366	0.5713	0.5718	0.5599	0.5632	0.5707	0.5564	0.5614	0.9443	0.9085	0.5536	1.822667	1.778304	1.794071	1.793559	1.828001	1.829204	1.744456	1.959748	1.919616	1.769974
10000	11.3064	1.3048	1.3152	1.3397	1.3244	1.3112	1.3385	1.3278	0.3020	0.3996	1.3432	0.5672	0.5654	0.5569	0.5605	0.5680	0.5527	0.5572	0.9028	0.8715	0.5521	1.786496	1.745243	1.758598	1.759010	1.790162	1.791120	1.714197	1.905713	1.869291	1.736085
11000	11.5529	1.3129	1.3265	1.3467	1.3286	1.3215	1.3450	1.3314	0.4017	0.4904	1.3481	0.5638	0.5602	0.5540	0.5589	0.5644	0.5512	0.5552	0.8692	0.8411	0.5502	1.997291	1.951403	1.970702	1.978895	2.006330	1.999656	1.926672	2.185181	2.144894	1.949152
12000	11.7679	1.3185	1.3338	1.3522	1.3351	1.3324	1.3557	1.3362	0.4857	0.5660	1.3523	0.5625	0.5575	0.5515	0.5559	0.5601	0.5487	0.5548	0.8411	0.8156	0.5494	2.010171	1.959485	1.982876	1.986646	2.042456	2.032365	1.943901	2.162296	2.123364	1.957865
13000	11.9430	1.3252	1.3382	1.3542	1.3367	1.3415	1.3582	1.3419	0.5559	0.6327	1.3585	0.5594	0.5555	0.5504	0.5558	0.5571	0.5478	0.5537	0.8173	0.7933	0.5476	1.992745	1.944057	1.967474	1.970519	2.035118	2.026160	1.930407	2.124004	2.087333	1.942768
14000	12.0990	1.3311	1.3444	1.3551	1.3418	1.3477	1.3614	1.3458	0.6214	0.6864	1.3639	0.5568	0.5538	0.5503	0.5536	0.5543	0.5472	0.5519	0.7957	0.7756	0.5463	1.969580	1.923479	1.945871	1.948693	2.009871	2.000067	1.910371	2.087103	2.053334	1.922532
15000	12.2421	1.3357	1.3509	1.3565	1.3456	1.3533	1.3662	1.3529	0.6745	0.7369	1.3695	0.5548	0.5526	0.5496	0.5521	0.5527	0.5454	0.5502	0.7783	0.7586	0.5447	1.947474	1.905003	1.925317	1.928178	1.985221	1.975130	1.891603	2.055717	2.024960	1.904760
16000	12.3667	1.3396	1.3544	1.3623	1.3518	1.3580	1.3691	1.3593	0.7206	0.7779	1.3738	0.5528	0.5517	0.5475	0.5508	0.5515	0.5434	0.5491	0.7628	0.7446	0.5436	1.926254	1.887858	1.906835	1.908125	1.962760	1.952269	1.873796	2.027264	1.999996	1.888357
17000	12.4739	1.3428	1.3574	1.3685	1.3542	1.3615	1.3718	1.3624	0.7618	0.8146	1.3789	0.5509	0.5511	0.5453	0.5494	0.5499	0.5423	0.5476	0.7486	0.7325	0.5422	1.907367	1.872771	1.890544	1.889739	1.942451	1.931685	1.857173	2.002682	1.977257	1.873733
18000	12.5624	1.3451	1.3594	1.3726	1.3558	1.3616	1.3750	1.3655	0.7964	0.8498	1.3812	0.5509	0.5498	0.5444	0.5490	0.5496	0.5410	0.5471	0.7371	0.7204	0.5410	1.890093	1.859376	1.875979	1.873305	1.923847	1.913226	1.842541	1.981343	1.957807	1.860437
19000	12.6351	1.3474	1.3632	1.3733	1.3588	1.3656	1.3776	1.3648	0.8278	0.8766	1.3799	0.5508	0.5479	0.5441	0.5474	0.5485	0.5404	0.5469	0.7263	0.7118	0.5412	1.872693	1.845506	1.860897	1.857031	1.905752	1.895095	1.827701	1.960318	1.938955	1.846999
20000	12.7106	1.3522	1.3664	1.3757	1.3630	1.3681	1.3783	1.3639	0.8575	0.9041	1.3816	0.5490	0.5463	0.5434	0.5464	0.5476	0.5404	0.5468	0.7165	0.7027	0.5402	1.856602	1.832557	1.847165	1.841603	1.888299	1.878189	1.813797	1.940619	1.920977	1.833916
21000	12.7786	1.3550	1.3695	1.3779	1.3633	1.3711	1.3823	1.3637	0.8840	0.9269	1.3849	0.5478	0.5452	0.5427	0.5458	0.5464	0.5391	0.5467	0.7075	0.6953	0.5388	1.984113	1.957952	1.964981	1.959935	2.012090	1.997111	1.943334	2.064398	2.050777	1.966979
22000	12.8478	1.3589	1.3708	1.3794	1.3679	1.3768	1.3830	1.3664	0.9074	0.9501	1.3872	0.5471	0.5452	0.5427	0.5441	0.5444	0.5390	0.5458	0.6993	0.6873	0.5385	1.996660	1.970672	1.972365	1.968502	2.031660	2.015595	1.965754	2.069360	2.056656	1.979994
23000	12.9070	1.3608	1.3730	1.3800	1.3717	1.3778	1.3835	1.3702	0.9300	0.9720	1.3880	0.5461	0.5440	0.5422	0.5427	0.5440	0.5384	0.5446	0.6917	0.6797	0.5386	1.990489	1.966958	1.966364	1.963452	2.026506	2.010261	1.962800	2.060807	2.048443	1.974221
24000	12.9539	1.3607	1.3725	1.3810	1.3745	1.3805	1.3855	1.3718	0.9499	0.9907	1.3867	0.5468	0.5440	0.5415	0.5422	0.5429	0.5378	0.5436	0.6848	0.6731	0.5389	1.981226	1.960438	1.957739	1.955032	2.017032	2.000622	1.955240	2.050525	2.038214	1.965123
25000	12.9983	1.3635	1.3740	1.3842	1.3780	1.3800	1.3861	1.3727	0.9683	1.0053	1.3863	0.5462	0.5439	0.5403	0.5406	0.5426	0.5373	0.5430	0.6784	0.6682	0.5389	1.970874	1.952712	1.948740	1.946266	2.006208	1.990008	1.946362	2.039286	2.026977	1.954643
26000	13.0406	1.3665	1.3743	1.3846	1.3803	1.3808	1.3889	1.3737	0.9834	1.0211	1.3870	0.5456	0.5431	0.5398	0.5391	0.5424	0.5365	0.5426	0.6729	0.6627	0.5388	1.960232	1.944332	1.939264	1.937463	1.994938	1.979651	1.937180	2.028411	2.015863	1.944156
27000	13.0791	1.3672	1.3757	1.3844	1.3819	1.3822	1.3899	1.3751	1.0013	1.0336	1.3878	0.5452	0.5425	0.5406	0.5386	0.5421	0.5365	0.5420	0.6669	0.6581	0.5387	1.950463	1.936429	1.930734	1.929373	1.984389	1.970168	1.928958	2.018320	2.006046	1.934598
28000	13.1155	1.3671	1.3761	1.3854	1.3823	1.3841	1.3903	1.3765	1.0165	1.0468	1.3904	0.5448	0.5425	0.5408	0.5384	0.5413	0.5362	0.5414	0.6619	0.6537	0.5383	1.940266	1.928262	1.921734	1.920577	1.973280	1.960425	1.920337	2.007863	1.995756	1.925047
29000	13.1493	1.3701	1.3774	1.3855	1.3832	1.3852	1.3912	1.3776	1.0291	1.0590	1.3911	0.5438	0.5418	0.5411	0.5383	0.5407	0.5355	0.5410	0.6579	0.6498	0.5384	1.930669	1.920085	1.912699	1.911824	1.961992	1.950542	1.911893	1.997522	1.984811	1.915661
30000	13.1825	1.3726	1.3791	1.3850	1.3844	1.3852	1.3904	1.3788	1.0437	1.0700	1.3933	0.5428	0.5416	0.5414	0.5379	0.5404	0.5360	0.5411	0.6531	0.6461	0.5378	1.921038	1.911663	1.903347	1.903177	1.950917	1.940275	1.903125	1.987388	1.974471	1.906357
31000	13.2106	1.3738	1.3790	1.3870	1.3855	1.3852	1.3919	1.3791	1.0542	1.0813	1.3936	0.5428	0.5417	0.5404	0.5377	0.5396	0.5356	0.5410	0.6496	0.6423	0.5376	1.996200	1.987587	1.979343	1.978444	2.028876	2.020158	1.984905	2.066143	2.061385	1.988924
32000	13.2412	1.3745	1.3807	1.3885	1.3885	1.3867	1.3912	1.3804	1.0649	1.0913	1.3944	0.5422	0.5412	0.5399	0.5372	0.5396	0.5356	0.5405	0.6461	0.6387	0.5372	2.012092	2.000656	1.992125	1.985107	2.041054	2.033019	1.997632	2.076857	2.066646	2.000719
33000	13.2650	1.3751	1.3806	1.3888	1.3892	1.3877	1.3911	1.3822	1.0744	1.1002	1.3958	0.5418	0.5415	0.5397	0.5373	0.5396	0.5362	0.5401	0.6428	0.6356	0.5364	2.011537	1.998292	1.988924	1.978473	2.039007	2.030732	1.994778	2.071469	2.057604	1.997085
34000	13.2889	1.3755	1.3811	1.3896	1.3900	1.3886	1.3918	1.3839	1.0831	1.1098	1.3956	0.5418	0.5415	0.5394	0.5372	0.5392	0.5363	0.5392	0.6402	0.6325	0.5369	2.005086	1.992022	1.982415	1.970456	2.031702	2.023778	1.987736	2.062755	2.046494	1.989714
35000	13.3111	1.3764	1.3819	1.3904	1.3912	1.3905	1.3929	1.3843	1.0906	1.1194	1.3935	0.5421	0.5412	0.5388	0.5368	0.5383	0.5358	0.5388	0.6376	0.6292	0.5379	1.997550	1.984973	1.975090	1.962183	2.023311	2.016427	1.979773	2.053873	2.035573	1.982014
36000	13.3291	1.3776	1.3819	1.3911	1.3923	1.3901	1.3924	1.3835	1.0997	1.1274	1.3933	0.5417	0.5409	0.5386	0.5365	0.5379	0.5359	0.5389	0.6342	0.6264	0.5380	1.989467	1.977712	1.967113	1.954104	2.014613	2.008651	1.971373	2.044841	2.024872	1.974433
37000	13.3540	1.3787	1.3830	1.3907	1.3936	1.3905	1.3927	1.3851	1.1086	1.1361	1.3949	0.5414	0.5407	0.5385	0.5363	0.5373	0.5355	0.5385	0.6313	0.6236	0.5374	1.981178	1.970582	1.959140	1.946275	2.006144	2.001240	1.963139	2.036205	2.014431	1.966759
38000	13.3764	1.3800	1.3848	1.3909	1.3933	1.3914	1.3934	1.3862	1.1163	1.1438	1.3963	0.5408	0.5400	0.5382	0.5365	0.5365	0.5354	0.5382	0.6282	0.6210	0.5369	1.973002	1.964017	1.951632	1.938732	1.997981	1.994923	1.955023	2.028485	2.004961	1.959302
39000	13.3973	1.3815	1.3858	1.3905	1.3920	1.3920	1.3944	1.3873	1.1251	1.1513	1.3973	0.5402	0.5400	0.5385	0.5368	0.5361	0.5351	0.5380	0.6255	0.6183	0.5363	1.965127	1.957305	1.944601	1.931454	1.990270	1.988845	1.947243	2.021324	1.996693	1.952392
40000	13.4170	1.3831	1.3859	1.3913	1.3933	1.3926	1.3954	1.3881	1.1315	1.1582	1.3977	0.5396	0.5399	0.5381	0.5362	0.5362	0.5349	0.5379	0.6237	0.6163	0.5364	1.957884	1.951244	1.938395	1.924935	1.983640	1.983746	1.939889	2.014630	1.989656	1.945854
41000	13.4351	1.3839	1.3852	1.3922	1.3943	1.3935	1.3955	1.3895	1.1386	1.1630	1.3994	0.5389	0.5401	0.5376	0.5357	0.5359	0.5352	0.5374	0.6213	0.6144	0.5355	2.008168	1.999322	1.989416	1.978079	2.030225	2.035196	1.987467	2.062396	2.038186	2.000185
42000	13.4471	1.3840	1.3857	1.3927	1.3942	1.3934	1.3955	1.3890	1.1458	1.1682	1.3986	0.5392	0.5398	0.5375	0.5361	0.5359	0.5354	0.5374	0.6187	0.6125	0.5357	2.015666	2.006099	1.997284	1.984715	2.036313	2.045086	1.995875	2.071852	2.049253	2.009355
43000	13.4609	1.3838	1.3852	1.3927	1.3934	1.3945	1.3953	1.3896	1.1527	1.1742	1.3995	0.5393	0.5399	0.5375	0.5364	0.5357	0.5354	0.5372	0.6162	0.6107	0.5354	2.011524	2.002543	1.994574	1.980532	2.033509	2.041751	1.992638	2.069229	2.047180	2.006839
44000	13.4752	1.3830	1.3859	1.3936	1.3943	1.3954	1.3961	1.3910	1.1584	1.1786	1.3989	0.5397	0.5396	0.5369	0.5362	0.5351	0.5351	0.5367	0.6142	0.6090	0.5352	2.005756	1.997462	1.989934	1.974976	2.029397	2.036627	1.987258	2.064788	2.042804	2.002091
45000	13.4892	1.3833	1.3869	1.3944	1.3948	1.3960	1.3958	1.3913	1.1638	1.1837	1.3991	0.5397	0.5390	0.5367	0.5361	0.5351	0.5350	0.5365	0.6125	0.6070	0.5353	1.999053	1.991527	1.984509	1.968564	2.023977	2.030227	1.980607	2.058958	2.036991	1.995660
46000	13.5031	1.3827	1.3881	1.3940	1.3953	1.3967	1.3963	1.3911	1.1693	1.1894	1.4002	0.5396	0.5387	0.5369	0.5358	0.5348	0.5349	0.5368	0.6107	0.6050	0.5349	1.992064	1.985351	1.979018	1.961673	2.018199	2.022765	1.973383	2.053060	2.030201	1.988626
47000	13.5119	1.3834	1.3879	1.3936	1.3944	1.3966	1.3952	1.3922	1.1743	1.1942	1.4000	0.5395	0.5389	0.5369	0.5361	0.5344	0.5349	0.5369	0.6091	0.6034	0.5349	1.984814	1.978923	1.972812	1.954592	2.012308	2.014878	1.965603	2.046579	2.022846	1.981113
48000	13.5261	1.3839	1.3886	1.3942	1.3941	1.3972	1.3961	1.3929	1.1790	1.1990	1.4013	0.5395	0.5387	0.5363	0.5363	0.5342	0.5346	0.5366	0.6074	0.6017	0.5347	1.976968	1.972289	1.966300	1.947149	2.005838	2.006965	1.957475	2.039390	2.015355	1.973555
