Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7
1000	6.1520	0.8130	0.7310	0.7450	0.7680	0.7140	0.7530	0.9020	0.7260	0.7506	0.7901	0.7916	0.7674	0.7883	0.7713	0.7228	0.7784	1.843940	1.852329	1.943114	1.788008	1.872078	1.849907	1.904626	1.820025
2000	7.7165	0.9800	0.9365	0.9425	0.9655	0.9485	0.9500	1.0550	0.9385	0.6872	0.7020	0.7105	0.6952	0.6969	0.7022	0.6655	0.6999	1.887366	1.849966	1.940568	1.834332	1.865468	1.851037	1.926884	1.838639
3000	8.7170	1.0913	1.0700	1.0650	1.0890	1.0973	1.0827	1.1573	1.0643	0.6463	0.6483	0.6649	0.6484	0.6459	0.6558	0.6250	0.6515	1.920429	1.870313	1.952262	1.885051	1.881519	1.878773	1.947466	1.836622
4000	9.3045	1.1487	1.1530	1.1635	1.1550	1.1732	1.1587	1.2123	1.1400	0.6288	0.6176	0.6296	0.6240	0.6168	0.6267	0.6051	0.6241	1.935484	1.882090	1.951395	1.907414	1.891304	1.894194	1.958095	1.777602
5000	9.6850	1.2052	1.2060	1.2098	1.2120	1.2140	1.1970	1.2500	1.1910	0.6095	0.5997	0.6117	0.6039	0.5977	0.6123	0.5914	0.6064	1.930091	1.877967	1.941514	1.906663	1.888248	1.862051	1.952643	1.716026
6000	9.9643	1.2368	1.2413	1.2470	1.2490	1.2495	1.2363	1.2762	1.2282	0.5977	0.5881	0.5984	0.5897	0.5851	0.5984	0.5808	0.5922	1.904441	1.837793	1.908620	1.875340	1.880463	1.803630	1.927391	1.667207
7000	10.1651	1.2643	1.2649	1.2731	1.2744	1.2717	1.2650	1.2990	1.2527	0.5869	0.5783	0.5887	0.5799	0.5766	0.5882	0.5737	0.5862	1.854082	1.785486	1.852137	1.822911	1.842413	1.750591	1.876131	1.626721
8000	10.2944	1.2777	1.2810	1.2876	1.2969	1.2868	1.2836	1.3099	1.2709	0.5825	0.5725	0.5809	0.5719	0.5717	0.5816	0.5668	0.5804	1.804615	1.740130	1.800381	1.776161	1.795609	1.707623	1.823408	1.593786
9000	10.4064	1.2914	1.2993	1.2992	1.3109	1.2959	1.2959	1.3250	1.2888	0.5773	0.5670	0.5759	0.5681	0.5679	0.5755	0.5628	0.5737	1.760127	1.700674	1.755579	1.734942	1.751814	1.669723	1.777066	1.565009
10000	10.4813	1.3017	1.3100	1.3034	1.3210	1.3051	1.3064	1.3333	1.3004	0.5730	0.5624	0.5745	0.5635	0.5659	0.5706	0.5592	0.5701	1.723218	1.668762	1.718813	1.700555	1.715554	1.639174	1.738321	1.541417
11000	10.5666	1.3100	1.3211	1.3191	1.3285	1.3169	1.3181	1.3388	1.3142	0.5693	0.5594	0.5690	0.5620	0.5623	0.5665	0.5581	0.5657	1.899512	1.856726	1.905118	1.879708	1.902741	1.823208	1.911397	1.724157
12000	10.6211	1.3168	1.3303	1.3273	1.3350	1.3217	1.3237	1.3447	1.3215	0.5672	0.5559	0.5656	0.5598	0.5598	0.5636	0.5553	0.5637	1.900008	1.860511	1.890836	1.883308	1.889444	1.832323	1.894215	1.738959
13000	10.6672	1.3231	1.3378	1.3303	1.3426	1.3294	1.3312	1.3485	1.3243	0.5649	0.5536	0.5640	0.5578	0.5568	0.5613	0.5534	0.5615	1.874129	1.837584	1.863803	1.860667	1.860289	1.811362	1.865252	1.726537
14000	10.7174	1.3302	1.3451	1.3348	1.3454	1.3378	1.3392	1.3538	1.3311	0.5618	0.5506	0.5617	0.5563	0.5530	0.5589	0.5517	0.5588	1.845932	1.812574	1.835947	1.835174	1.830830	1.787713	1.836550	1.709956
