Iteration	Avg_Reward	Packet_Loss_Ratio	Avg_Loss
1000	0.5730	0.8398	1.149861
2000	0.5885	0.8366	1.126851
3000	0.6260	0.8218	1.107366
4000	0.6665	0.8092	1.097600
5000	0.7064	0.7929	1.090833
6000	0.7390	0.7794	1.086756
7000	0.7679	0.7690	1.082745
8000	0.7869	0.7615	1.079928
9000	0.8072	0.7546	1.077442
10000	0.8295	0.7451	1.074919
11000	0.8587	0.7345	1.081183
12000	0.8805	0.7267	1.084421
13000	0.9062	0.7173	1.087095
14000	0.9291	0.7097	1.089588
15000	0.9486	0.7029	1.091448
16000	0.9651	0.6971	1.092655
17000	0.9806	0.6917	1.093167
18000	0.9932	0.6872	1.093184
19000	1.0025	0.6833	1.092752
20000	1.0153	0.6781	1.091578
21000	1.0271	0.6737	1.093239
22000	1.0376	0.6695	1.094587
23000	1.0498	0.6651	1.094914
24000	1.0612	0.6605	1.095004
25000	1.0696	0.6573	1.095260
26000	1.0816	0.6530	1.095149
27000	1.0925	0.6496	1.095377
28000	1.1040	0.6455	1.095356
29000	1.1104	0.6428	1.095371
30000	1.1176	0.6404	1.095315
31000	1.1257	0.6371	1.095182
32000	1.1325	0.6347	1.095182
33000	1.1404	0.6321	1.095098
34000	1.1465	0.6299	1.094847
35000	1.1532	0.6275	1.094545
36000	1.1592	0.6251	1.094058
37000	1.1661	0.6229	1.093220
38000	1.1717	0.6210	1.092387
39000	1.1772	0.6188	1.091651
40000	1.1817	0.6172	1.091070
41000	1.1868	0.6155	1.091531
42000	1.1922	0.6133	1.091937
43000	1.1966	0.6119	1.092388
44000	1.2011	0.6104	1.092616
45000	1.2059	0.6083	1.092694
46000	1.2105	0.6066	1.093133
47000	1.2141	0.6051	1.093191
48000	1.2167	0.6040	1.093100
49000	1.2200	0.6027	1.093098
50000	1.2228	0.6017	1.093053
51000	1.2260	0.6004	1.093185
52000	1.2288	0.5995	1.093224
53000	1.2330	0.5981	1.093233
54000	1.2344	0.5974	1.093240
55000	1.2368	0.5963	1.093184
56000	1.2396	0.5954	1.092966
57000	1.2427	0.5943	1.093075
58000	1.2447	0.5934	1.093016
59000	1.2471	0.5925	1.093094
60000	1.2492	0.5918	1.093385
61000	1.2510	0.5912	1.093469
62000	1.2530	0.5904	1.093427
63000	1.2545	0.5898	1.093256
64000	1.2563	0.5891	1.093023
65000	1.2585	0.5883	1.092916
66000	1.2611	0.5873	1.092530
67000	1.2632	0.5865	1.092200
68000	1.2654	0.5857	1.092074
69000	1.2669	0.5851	1.091736
70000	1.2692	0.5842	1.091456
71000	1.2715	0.5834	1.091024
72000	1.2729	0.5829	1.090605
73000	1.2741	0.5825	1.090151
74000	1.2756	0.5819	1.089771
75000	1.2771	0.5812	1.089490
76000	1.2791	0.5805	1.089062
77000	1.2808	0.5798	1.088489
78000	1.2821	0.5793	1.087852
79000	1.2833	0.5788	1.087276
80000	1.2855	0.5780	1.086548
81000	1.2874	0.5773	1.085950
82000	1.2891	0.5766	1.085521
83000	1.2907	0.5759	1.085123
84000	1.2918	0.5754	1.084631
85000	1.2932	0.5750	1.084301
86000	1.2943	0.5746	1.083944
87000	1.2952	0.5742	1.083574
88000	1.2968	0.5737	1.083150
89000	1.2981	0.5732	1.082871
90000	1.2995	0.5726	1.082593
91000	1.3009	0.5721	1.082279
92000	1.3026	0.5715	1.082198
93000	1.3038	0.5712	1.082012
94000	1.3049	0.5707	1.081856
95000	1.3060	0.5701	1.081675
96000	1.3070	0.5699	1.081374
97000	1.3085	0.5693	1.081299
98000	1.3088	0.5691	1.081110
99000	1.3096	0.5689	1.080843
100000	1.3111	0.5683	1.080692
101000	1.3120	0.5679	1.080303
102000	1.3130	0.5675	1.079903
103000	1.3137	0.5672	1.079492
104000	1.3144	0.5668	1.078997
105000	1.3154	0.5664	1.078597
106000	1.3164	0.5660	1.078108
107000	1.3172	0.5657	1.077566
108000	1.3180	0.5653	1.077033
109000	1.3190	0.5649	1.076556
110000	1.3197	0.5647	1.075976
111000	1.3204	0.5645	1.075939
112000	1.3213	0.5642	1.075914
113000	1.3223	0.5639	1.075903
114000	1.3231	0.5635	1.075988
115000	1.3238	0.5632	1.075979
