Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
1000	1.0210	0.1750	0.1650	0.1580	0.1820	0.1750	0.1660	0.9493	0.9565	0.9486	0.9470	0.9485	0.9520	0.458099	0.453655	0.456415	0.455050	0.452941	0.455487
2000	1.1845	0.1890	0.1855	0.1900	0.2015	0.2140	0.2045	0.9461	0.9495	0.9419	0.9385	0.9335	0.9413	0.465880	0.466582	0.467899	0.466837	0.464683	0.467400
3000	1.2973	0.2237	0.2000	0.2107	0.2177	0.2170	0.2283	0.9336	0.9483	0.9339	0.9343	0.9334	0.9318	0.451741	0.454527	0.455721	0.454819	0.456769	0.454220
4000	1.3747	0.2375	0.2105	0.2220	0.2308	0.2350	0.2390	0.9288	0.9452	0.9293	0.9289	0.9279	0.9274	0.441185	0.447920	0.448699	0.447426	0.449545	0.444378
5000	1.4150	0.2492	0.2216	0.2268	0.2388	0.2342	0.2444	0.9241	0.9408	0.9274	0.9255	0.9290	0.9249	0.433900	0.442993	0.443941	0.441988	0.443874	0.438741
6000	1.4585	0.2552	0.2285	0.2347	0.2435	0.2425	0.2542	0.9212	0.9390	0.9242	0.9241	0.9265	0.9214	0.427999	0.438726	0.439183	0.437070	0.439107	0.433540
7000	1.4923	0.2629	0.2344	0.2390	0.2523	0.2479	0.2559	0.9182	0.9370	0.9228	0.9207	0.9243	0.9201	0.421942	0.433472	0.433622	0.431360	0.433544	0.427582
8000	1.5085	0.2659	0.2402	0.2369	0.2535	0.2502	0.2617	0.9167	0.9338	0.9235	0.9202	0.9230	0.9177	0.417032	0.429141	0.429070	0.426463	0.428865	0.422669
9000	1.5301	0.2689	0.2443	0.2413	0.2582	0.2542	0.2631	0.9154	0.9321	0.9222	0.9181	0.9213	0.9170	0.412370	0.424789	0.424703	0.421677	0.424212	0.417861
10000	1.5470	0.2733	0.2469	0.2449	0.2603	0.2561	0.2655	0.9136	0.9314	0.9208	0.9177	0.9209	0.9161	0.408606	0.421256	0.421046	0.417859	0.420336	0.413788
11000	1.5326	0.2757	0.2431	0.2315	0.2609	0.2555	0.2659	0.9122	0.9316	0.9251	0.9172	0.9207	0.9154	0.423391	0.440790	0.439754	0.431288	0.436930	0.430088
12000	1.5518	0.2781	0.2454	0.2357	0.2641	0.2594	0.2691	0.9111	0.9303	0.9237	0.9160	0.9188	0.9140	0.420034	0.435412	0.434922	0.426163	0.431191	0.424026
