Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7
1000	1.0460	0.1510	0.1340	0.1260	0.1270	0.1370	0.1070	0.1350	0.1290	0.9529	0.9604	0.9610	0.9663	0.9560	0.9702	0.9553	0.9624	0.431901	0.424303	0.432873	0.423877	0.434113	0.432779	0.428247	0.423982
2000	1.2135	0.1750	0.1495	0.1515	0.1370	0.1465	0.1475	0.1555	0.1510	0.9463	0.9550	0.9528	0.9666	0.9538	0.9556	0.9500	0.9584	0.454104	0.455874	0.452334	0.461660	0.454109	0.454352	0.455260	0.448691
3000	1.3163	0.1797	0.1673	0.1683	0.1507	0.1517	0.1543	0.1680	0.1763	0.9441	0.9501	0.9468	0.9617	0.9511	0.9522	0.9466	0.9481	0.442948	0.444727	0.442633	0.451322	0.445105	0.445317	0.444160	0.439423
4000	1.4083	0.1910	0.1817	0.1792	0.1618	0.1638	0.1650	0.1792	0.1865	0.9401	0.9435	0.9423	0.9561	0.9471	0.9523	0.9428	0.9436	0.436586	0.435942	0.436094	0.443140	0.438255	0.438428	0.435949	0.433149
5000	1.4572	0.1962	0.1814	0.1820	0.1782	0.1710	0.1684	0.1882	0.1918	0.9393	0.9438	0.9417	0.9502	0.9449	0.9531	0.9392	0.9409	0.429736	0.428353	0.429776	0.435523	0.431308	0.432043	0.428293	0.426842
6000	1.4912	0.1978	0.1882	0.1828	0.1810	0.1812	0.1717	0.1928	0.1957	0.9393	0.9410	0.9411	0.9492	0.9414	0.9523	0.9373	0.9396	0.423076	0.421467	0.423338	0.428332	0.424552	0.425373	0.421230	0.420463
7000	1.5233	0.2024	0.1936	0.1857	0.1840	0.1857	0.1743	0.1961	0.2014	0.9372	0.9386	0.9401	0.9480	0.9396	0.9521	0.9360	0.9378	0.417000	0.415026	0.417324	0.421892	0.418398	0.419413	0.415185	0.414710
8000	1.5409	0.2037	0.1958	0.1860	0.1884	0.1894	0.1751	0.1980	0.2045	0.9367	0.9377	0.9405	0.9456	0.9388	0.9526	0.9354	0.9363	0.411782	0.409407	0.412161	0.416443	0.412953	0.414072	0.410139	0.409468
9000	1.5650	0.2078	0.1997	0.1864	0.1930	0.1914	0.1778	0.2023	0.2066	0.9351	0.9362	0.9404	0.9432	0.9382	0.9521	0.9338	0.9352	0.407187	0.404742	0.407663	0.411630	0.408286	0.409420	0.405549	0.404975
10000	1.5809	0.2100	0.1976	0.1913	0.1959	0.1943	0.1807	0.2026	0.2085	0.9340	0.9370	0.9389	0.9418	0.9375	0.9507	0.9342	0.9342	0.403018	0.400783	0.403725	0.407449	0.404160	0.405419	0.401525	0.400996
11000	1.5372	0.2101	0.1910	0.1845	0.1876	0.1891	0.1733	0.1985	0.2032	0.9335	0.9388	0.9409	0.9439	0.9390	0.9521	0.9355	0.9356	0.417750	0.421889	0.421371	0.427802	0.421684	0.424702	0.415444	0.427597
12000	1.5579	0.2121	0.1924	0.1879	0.1903	0.1916	0.1773	0.2014	0.2049	0.9324	0.9381	0.9395	0.9425	0.9379	0.9502	0.9343	0.9348	0.412707	0.417293	0.415950	0.421945	0.416213	0.418434	0.409952	0.422002
13000	1.5770	0.2130	0.1914	0.1928	0.1938	0.1936	0.1812	0.2035	0.2077	0.9320	0.9383	0.9377	0.9408	0.9369	0.9483	0.9338	0.9336	0.407607	0.411974	0.410585	0.416041	0.410791	0.412359	0.404646	0.416384
14000	1.5899	0.2148	0.1901	0.1939	0.1962	0.1971	0.1826	0.2059	0.2093	0.9311	0.9385	0.9372	0.9396	0.9356	0.9473	0.9334	0.9329	0.402436	0.406632	0.405357	0.410207	0.405491	0.406502	0.399516	0.410840
15000	1.6017	0.2159	0.1907	0.1961	0.1977	0.2001	0.1859	0.2058	0.2096	0.9307	0.9381	0.9365	0.9389	0.9345	0.9457	0.9337	0.9329	0.397903	0.401768	0.400770	0.405086	0.400822	0.401322	0.395104	0.406048
16000	1.6095	0.2170	0.1907	0.1972	0.1990	0.2016	0.1878	0.2061	0.2102	0.9302	0.9381	0.9360	0.9381	0.9340	0.9447	0.9335	0.9326	0.394044	0.397550	0.396859	0.400615	0.396849	0.397011	0.391359	0.402031
17000	1.6166	0.2172	0.1901	0.1984	0.2011	0.2025	0.1887	0.2082	0.2105	0.9301	0.9382	0.9354	0.9371	0.9336	0.9441	0.9326	0.9325	0.389961	0.393258	0.392861	0.396144	0.392709	0.392547	0.387478	0.397865
18000	1.6240	0.2174	0.1908	0.1996	0.2025	0.2033	0.1903	0.2088	0.2113	0.9300	0.9378	0.9349	0.9365	0.9333	0.9432	0.9325	0.9323	0.386117	0.389317	0.389194	0.392162	0.389019	0.388493	0.383958	0.394021
19000	1.6309	0.2177	0.1908	0.2008	0.2045	0.2037	0.1913	0.2107	0.2115	0.9297	0.9378	0.9344	0.9356	0.9332	0.9425	0.9319	0.9323	0.382586	0.385808	0.385997	0.388608	0.385747	0.384960	0.380819	0.390629
20000	1.6370	0.2185	0.1911	0.2011	0.2050	0.2046	0.1930	0.2117	0.2119	0.9294	0.9377	0.9342	0.9352	0.9327	0.9417	0.9314	0.9321	0.378999	0.382408	0.382902	0.385219	0.382617	0.381587	0.377753	0.387340
21000	1.6280	0.2188	0.1897	0.1981	0.2037	0.2025	0.1915	0.2120	0.2117	0.9293	0.9381	0.9351	0.9355	0.9334	0.9420	0.9312	0.9320	0.384157	0.385610	0.387888	0.388195	0.386249	0.386642	0.384132	0.392033
22000	1.6326	0.2192	0.1904	0.1991	0.2046	0.2010	0.1932	0.2127	0.2124	0.9292	0.9378	0.9348	0.9350	0.9338	0.9412	0.9308	0.9316	0.385747	0.384833	0.386763	0.387832	0.385819	0.384858	0.382087	0.393785
23000	1.6387	0.2196	0.1917	0.1997	0.2055	0.2000	0.1959	0.2140	0.2123	0.9290	0.9374	0.9345	0.9346	0.9342	0.9400	0.9304	0.9315	0.387634	0.384617	0.386162	0.388036	0.385780	0.383631	0.380655	0.395686
24000	1.6439	0.2201	0.1919	0.2010	0.2064	0.1998	0.1973	0.2148	0.2127	0.9287	0.9373	0.9341	0.9340	0.9342	0.9394	0.9300	0.9313	0.389160	0.383832	0.385127	0.387791	0.385302	0.381942	0.378918	0.397022
25000	1.6493	0.2199	0.1932	0.2018	0.2067	0.1994	0.1986	0.2158	0.2139	0.9287	0.9368	0.9338	0.9339	0.9342	0.9389	0.9296	0.9308	0.390568	0.382887	0.383933	0.387461	0.384719	0.380225	0.377256	0.398133
26000	1.6532	0.2198	0.1947	0.2028	0.2072	0.1999	0.1991	0.2159	0.2138	0.9287	0.9362	0.9334	0.9336	0.9341	0.9385	0.9296	0.9308	0.391963	0.381833	0.382672	0.387054	0.383973	0.378412	0.375485	0.398772
27000	1.6575	0.2200	0.1955	0.2028	0.2080	0.1993	0.2003	0.2166	0.2151	0.9286	0.9359	0.9335	0.9332	0.9343	0.9379	0.9292	0.9303	0.393404	0.380775	0.381470	0.386688	0.383320	0.376691	0.373742	0.399245
28000	1.6615	0.2205	0.1964	0.2036	0.2088	0.1999	0.1998	0.2171	0.2154	0.9284	0.9355	0.9333	0.9329	0.9341	0.9381	0.9290	0.9302	0.394884	0.379925	0.380447	0.386434	0.382784	0.375063	0.372158	0.399828
29000	1.6649	0.2210	0.1961	0.2043	0.2097	0.2006	0.2007	0.2169	0.2157	0.9282	0.9356	0.9331	0.9326	0.9340	0.9377	0.9290	0.9300	0.396051	0.378907	0.379281	0.385996	0.381960	0.373417	0.370495	0.400135
