Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.7847	0.4029	0.3818	0.8749	0.8930	0.279097	0.291235
2000	0.8476	0.4357	0.4119	0.8760	0.8721	0.279363	0.292437
3000	0.9398	0.4674	0.4724	0.8647	0.8555	0.290487	0.300232
4000	1.0102	0.4984	0.5118	0.8525	0.8406	0.299110	0.305102
5000	1.0789	0.5311	0.5478	0.8403	0.8277	0.307260	0.309249
6000	1.1351	0.5558	0.5793	0.8311	0.8201	0.312651	0.311973
7000	1.1782	0.5781	0.6000	0.8228	0.8141	0.315921	0.314343
8000	1.2191	0.5990	0.6201	0.8152	0.8068	0.318207	0.315226
9000	1.2523	0.6153	0.6370	0.8094	0.8017	0.319733	0.315910
10000	1.2858	0.6317	0.6541	0.8018	0.7948	0.320359	0.316448
11000	1.3249	0.6522	0.6727	0.7947	0.7882	0.334004	0.330999
12000	1.3565	0.6701	0.6864	0.7874	0.7825	0.335674	0.332235
13000	1.3870	0.6868	0.7002	0.7813	0.7777	0.336504	0.332435
14000	1.4140	0.7014	0.7125	0.7767	0.7736	0.337124	0.332672
15000	1.4369	0.7131	0.7238	0.7718	0.7706	0.337456	0.332842
16000	1.4574	0.7241	0.7333	0.7684	0.7679	0.337685	0.332667
17000	1.4770	0.7349	0.7421	0.7645	0.7661	0.337732	0.332564
18000	1.4900	0.7407	0.7493	0.7624	0.7639	0.337613	0.332318
19000	1.5047	0.7485	0.7562	0.7593	0.7620	0.337524	0.331952
20000	1.5193	0.7559	0.7634	0.7566	0.7599	0.337253	0.331503
21000	1.5323	0.7640	0.7683	0.7543	0.7574	0.342028	0.337682
22000	1.5442	0.7691	0.7752	0.7528	0.7546	0.344202	0.339771
23000	1.5553	0.7747	0.7806	0.7515	0.7531	0.346042	0.341467
24000	1.5629	0.7776	0.7853	0.7517	0.7510	0.347547	0.342878
25000	1.5691	0.7793	0.7899	0.7522	0.7489	0.348800	0.344008
26000	1.5768	0.7822	0.7946	0.7542	0.7470	0.349922	0.345106
27000	1.5820	0.7836	0.7984	0.7547	0.7452	0.351005	0.346249
28000	1.5885	0.7857	0.8028	0.7547	0.7430	0.352004	0.347192
29000	1.5956	0.7879	0.8076	0.7537	0.7412	0.353043	0.348230
30000	1.6035	0.7915	0.8120	0.7521	0.7395	0.353982	0.349257
31000	1.6105	0.7948	0.8158	0.7510	0.7376	0.356316	0.352812
32000	1.6167	0.7973	0.8194	0.7496	0.7362	0.356603	0.353428
33000	1.6220	0.8000	0.8219	0.7479	0.7351	0.356705	0.353929
34000	1.6283	0.8040	0.8243	0.7463	0.7339	0.356809	0.354359
35000	1.6344	0.8075	0.8269	0.7444	0.7331	0.356899	0.354675
36000	1.6401	0.8111	0.8289	0.7433	0.7323	0.356877	0.355046
37000	1.6438	0.8135	0.8303	0.7423	0.7313	0.356814	0.355338
38000	1.6482	0.8156	0.8326	0.7415	0.7302	0.356798	0.355637
39000	1.6519	0.8177	0.8342	0.7407	0.7296	0.356764	0.355859
40000	1.6555	0.8192	0.8364	0.7400	0.7286	0.356681	0.356058
41000	1.6599	0.8220	0.8379	0.7388	0.7278	0.358049	0.357832
42000	1.6643	0.8244	0.8399	0.7378	0.7272	0.358738	0.358764
43000	1.6677	0.8260	0.8416	0.7370	0.7262	0.359340	0.359639
44000	1.6718	0.8280	0.8438	0.7362	0.7255	0.359895	0.360378
45000	1.6745	0.8294	0.8452	0.7361	0.7246	0.360405	0.361045
46000	1.6772	0.8299	0.8473	0.7358	0.7237	0.360775	0.361503
47000	1.6791	0.8303	0.8488	0.7355	0.7230	0.361142	0.361909
48000	1.6821	0.8318	0.8503	0.7349	0.7223	0.361446	0.362243
49000	1.6852	0.8336	0.8516	0.7344	0.7218	0.361763	0.362642
50000	1.6883	0.8351	0.8532	0.7337	0.7210	0.362104	0.362977
51000	1.6903	0.8365	0.8539	0.7330	0.7207	0.363229	0.364398
52000	1.6927	0.8381	0.8547	0.7322	0.7203	0.363940	0.365323
53000	1.6957	0.8396	0.8561	0.7317	0.7196	0.364638	0.366236
54000	1.6987	0.8415	0.8572	0.7312	0.7190	0.365304	0.367096
55000	1.7014	0.8428	0.8586	0.7308	0.7184	0.365912	0.367870
56000	1.7044	0.8444	0.8600	0.7299	0.7179	0.366540	0.368620
57000	1.7066	0.8457	0.8609	0.7293	0.7177	0.367150	0.369358
58000	1.7086	0.8469	0.8618	0.7286	0.7174	0.367678	0.370023
59000	1.7111	0.8481	0.8631	0.7280	0.7168	0.368270	0.370765
60000	1.7129	0.8492	0.8637	0.7274	0.7165	0.368791	0.371407
61000	1.7150	0.8506	0.8644	0.7270	0.7170	0.369820	0.372539
62000	1.7163	0.8514	0.8649	0.7266	0.7165	0.370537	0.373395
63000	1.7182	0.8522	0.8660	0.7264	0.7164	0.371219	0.374211
64000	1.7194	0.8529	0.8665	0.7260	0.7165	0.371880	0.375017
