Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3
1000	0.9010	0.2370	0.2000	0.2340	0.2300	0.9267	0.9491	0.9339	0.9382	0.398813	0.399418	0.398785	0.400064
2000	1.0590	0.2750	0.2455	0.2670	0.2715	0.9196	0.9363	0.9216	0.9218	0.395099	0.409974	0.405259	0.389469
3000	1.1630	0.3017	0.2780	0.2880	0.2953	0.9104	0.9283	0.9142	0.9151	0.393996	0.409257	0.413527	0.387040
4000	1.2632	0.3210	0.3000	0.3165	0.3257	0.9029	0.9208	0.9052	0.9041	0.393134	0.405868	0.414566	0.384673
5000	1.3164	0.3342	0.3168	0.3292	0.3362	0.8979	0.9149	0.9018	0.8998	0.391010	0.399943	0.408237	0.381400
6000	1.3783	0.3475	0.3355	0.3457	0.3497	0.8926	0.9069	0.8961	0.8955	0.387148	0.393419	0.401300	0.377118
7000	1.4300	0.3643	0.3444	0.3584	0.3629	0.8868	0.9029	0.8921	0.8905	0.383599	0.388333	0.395357	0.373209
8000	1.4579	0.3691	0.3558	0.3649	0.3681	0.8866	0.8980	0.8900	0.8882	0.380441	0.383790	0.390185	0.369416
9000	1.4822	0.3732	0.3659	0.3696	0.3736	0.8850	0.8938	0.8885	0.8865	0.376875	0.379142	0.384941	0.365478
10000	1.5036	0.3797	0.3722	0.3751	0.3766	0.8828	0.8911	0.8866	0.8849	0.373202	0.374585	0.379936	0.361819
11000	1.5255	0.3872	0.3761	0.3806	0.3816	0.8793	0.8883	0.8835	0.8826	0.384276	0.382116	0.385114	0.370432
12000	1.5522	0.3937	0.3831	0.3869	0.3886	0.8765	0.8846	0.8806	0.8793	0.382102	0.379452	0.382869	0.369251
13000	1.5732	0.3992	0.3887	0.3927	0.3925	0.8741	0.8816	0.8780	0.8776	0.379337	0.376468	0.380313	0.367420
14000	1.5908	0.4023	0.3924	0.3975	0.3986	0.8725	0.8802	0.8759	0.8748	0.376511	0.373491	0.377707	0.365564
15000	1.6107	0.4078	0.3986	0.4016	0.4027	0.8701	0.8777	0.8740	0.8727	0.373524	0.370305	0.374928	0.363552
16000	1.6200	0.4101	0.4009	0.4039	0.4052	0.8690	0.8766	0.8727	0.8716	0.370767	0.367396	0.372368	0.361474
17000	1.6306	0.4111	0.4023	0.4092	0.4081	0.8689	0.8759	0.8705	0.8703	0.367781	0.364412	0.369816	0.359303
18000	1.6397	0.4126	0.4043	0.4123	0.4106	0.8688	0.8753	0.8690	0.8693	0.365185	0.361804	0.367658	0.357349
19000	1.6458	0.4132	0.4051	0.4148	0.4127	0.8688	0.8753	0.8677	0.8682	0.362630	0.359217	0.365426	0.355327
20000	1.6540	0.4162	0.4063	0.4164	0.4151	0.8678	0.8754	0.8670	0.8672	0.360211	0.356850	0.363320	0.353412
21000	1.6610	0.4178	0.4084	0.4190	0.4159	0.8669	0.8747	0.8660	0.8668	0.365366	0.360095	0.367658	0.357616
22000	1.6671	0.4206	0.4087	0.4203	0.4175	0.8656	0.8751	0.8653	0.8662	0.368603	0.360255	0.370030	0.359466
23000	1.6707	0.4226	0.4090	0.4214	0.4177	0.8645	0.8755	0.8648	0.8662	0.371121	0.360047	0.371728	0.360710
24000	1.6764	0.4241	0.4097	0.4240	0.4186	0.8638	0.8755	0.8637	0.8658	0.373376	0.359694	0.373268	0.361772
25000	1.6789	0.4252	0.4099	0.4240	0.4197	0.8631	0.8757	0.8635	0.8654	0.375279	0.359288	0.374576	0.362692
26000	1.6822	0.4260	0.4110	0.4255	0.4196	0.8626	0.8758	0.8628	0.8655	0.376859	0.358733	0.375651	0.363365
27000	1.6853	0.4266	0.4114	0.4261	0.4211	0.8622	0.8761	0.8626	0.8652	0.378242	0.358063	0.376615	0.363961
