Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5
1000	0.9230	0.1480	0.1560	0.1380	0.1670	0.1450	0.1690	0.9540	0.9522	0.9590	0.9482	0.9595	0.9490	0.387807	0.384131	0.401397	0.393583	0.398532	0.391253
2000	1.1050	0.1820	0.2000	0.1660	0.1995	0.1680	0.1895	0.9473	0.9363	0.9493	0.9368	0.9519	0.9448	0.395479	0.400890	0.407320	0.406172	0.416098	0.410025
3000	1.2163	0.1927	0.2173	0.1923	0.2183	0.1947	0.2010	0.9446	0.9293	0.9408	0.9299	0.9441	0.9446	0.396366	0.405837	0.411228	0.410698	0.418579	0.408636
4000	1.3345	0.2092	0.2360	0.2135	0.2397	0.2223	0.2137	0.9382	0.9233	0.9341	0.9228	0.9343	0.9398	0.394717	0.405884	0.410526	0.409846	0.416176	0.405584
5000	1.4034	0.2244	0.2434	0.2310	0.2504	0.2264	0.2278	0.9318	0.9217	0.9280	0.9188	0.9334	0.9339	0.390493	0.401612	0.405738	0.404273	0.409531	0.399204
6000	1.4422	0.2338	0.2485	0.2377	0.2508	0.2315	0.2398	0.9284	0.9199	0.9271	0.9193	0.9331	0.9290	0.385687	0.396722	0.399768	0.398050	0.402605	0.393070
7000	1.4910	0.2419	0.2591	0.2441	0.2584	0.2387	0.2487	0.9263	0.9158	0.9259	0.9168	0.9299	0.9259	0.380368	0.391100	0.393159	0.391470	0.395118	0.386843
8000	1.5308	0.2481	0.2665	0.2521	0.2622	0.2464	0.2554	0.9237	0.9127	0.9223	0.9152	0.9270	0.9234	0.374849	0.384921	0.386551	0.384622	0.387652	0.380624
9000	1.5553	0.2524	0.2711	0.2552	0.2677	0.2516	0.2573	0.9221	0.9112	0.9211	0.9134	0.9245	0.9223	0.369370	0.378711	0.380121	0.378253	0.380594	0.374613
10000	1.5800	0.2585	0.2743	0.2600	0.2708	0.2551	0.2613	0.9202	0.9103	0.9193	0.9120	0.9230	0.9207	0.364019	0.372457	0.373858	0.371964	0.373889	0.368696
11000	1.5878	0.2631	0.2718	0.2589	0.2715	0.2577	0.2647	0.9180	0.9109	0.9192	0.9115	0.9214	0.9188	0.372784	0.382286	0.387171	0.382140	0.383309	0.377464
12000	1.6068	0.2664	0.2738	0.2633	0.2742	0.2607	0.2683	0.9163	0.9101	0.9172	0.9105	0.9199	0.9173	0.370869	0.379186	0.382480	0.379130	0.379823	0.374080
13000	1.6236	0.2693	0.2758	0.2661	0.2778	0.2639	0.2706	0.9152	0.9095	0.9161	0.9093	0.9184	0.9161	0.368138	0.375101	0.377743	0.375583	0.375974	0.370321
14000	1.6409	0.2725	0.2773	0.2687	0.2806	0.2674	0.2744	0.9137	0.9089	0.9151	0.9083	0.9167	0.9143	0.365207	0.370931	0.373253	0.371838	0.372157	0.366699
15000	1.6524	0.2733	0.2781	0.2713	0.2820	0.2709	0.2767	0.9132	0.9086	0.9142	0.9076	0.9152	0.9134	0.362100	0.366756	0.368790	0.368127	0.368339	0.363144
16000	1.6624	0.2733	0.2792	0.2744	0.2843	0.2726	0.2786	0.9131	0.9079	0.9128	0.9068	0.9144	0.9124	0.359249	0.363066	0.364883	0.364756	0.364877	0.359966
17000	1.6724	0.2746	0.2807	0.2751	0.2854	0.2750	0.2815	0.9128	0.9074	0.9125	0.9063	0.9133	0.9112	0.356520	0.359576	0.361181	0.361398	0.361539	0.357012
18000	1.6802	0.2756	0.2834	0.2748	0.2868	0.2771	0.2826	0.9123	0.9065	0.9126	0.9058	0.9124	0.9107	0.353976	0.356338	0.357756	0.358323	0.358401	0.354188
19000	1.6872	0.2771	0.2847	0.2755	0.2882	0.2788	0.2829	0.9118	0.9062	0.9124	0.9053	0.9116	0.9103	0.351467	0.353198	0.354428	0.355350	0.355389	0.351509
20000	1.6939	0.2782	0.2862	0.2774	0.2890	0.2798	0.2833	0.9114	0.9056	0.9117	0.9049	0.9110	0.9099	0.349063	0.350099	0.351237	0.352538	0.352500	0.348905
21000	1.6955	0.2799	0.2862	0.2780	0.2882	0.2804	0.2827	0.9107	0.9057	0.9113	0.9049	0.9105	0.9101	0.354068	0.355513	0.354958	0.354523	0.354559	0.352401
22000	1.6998	0.2810	0.2876	0.2787	0.2881	0.2818	0.2825	0.9102	0.9051	0.9110	0.9050	0.9098	0.9100	0.355521	0.354263	0.352317	0.353997	0.354437	0.353256
23000	1.7053	0.2819	0.2886	0.2806	0.2884	0.2827	0.2831	0.9102	0.9048	0.9103	0.9048	0.9094	0.9097	0.356451	0.352548	0.349510	0.353275	0.354090	0.353688
