Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Avg_Reward_User_2	Avg_Reward_User_3	Avg_Reward_User_4	Avg_Reward_User_5	Avg_Reward_User_6	Avg_Reward_User_7	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_Ratio_User_2	Packet_Loss_Ratio_User_3	Packet_Loss_Ratio_User_4	Packet_Loss_Ratio_User_5	Packet_Loss_Ratio_User_6	Packet_Loss_Ratio_User_7	Avg_Loss_User_0	Avg_Loss_User_1	Avg_Loss_User_2	Avg_Loss_User_3	Avg_Loss_User_4	Avg_Loss_User_5	Avg_Loss_User_6	Avg_Loss_User_7
1000	1.0660	0.1320	0.1390	0.1330	0.1390	0.1270	0.1270	0.1390	0.1300	0.9632	0.9586	0.9581	0.9571	0.9640	0.9642	0.9555	0.9578	0.451526	0.458308	0.452857	0.444210	0.442710	0.449024	0.437973	0.419285
2000	1.2375	0.1515	0.1685	0.1485	0.1590	0.1500	0.1495	0.1590	0.1515	0.9600	0.9471	0.9524	0.9484	0.9604	0.9580	0.9485	0.9530	0.451663	0.459414	0.456855	0.451900	0.449267	0.453900	0.444671	0.427511
3000	1.3827	0.1670	0.1837	0.1673	0.1780	0.1647	0.1743	0.1790	0.1687	0.9572	0.9410	0.9483	0.9416	0.9548	0.9504	0.9412	0.9476	0.443919	0.452766	0.452004	0.448028	0.446983	0.451127	0.441970	0.427556
4000	1.4565	0.1757	0.1893	0.1885	0.1847	0.1678	0.1800	0.1895	0.1810	0.9545	0.9388	0.9409	0.9402	0.9528	0.9496	0.9378	0.9438	0.435103	0.441209	0.442281	0.439606	0.438175	0.441798	0.434811	0.421303
5000	1.5022	0.1830	0.1956	0.1938	0.1902	0.1760	0.1830	0.1954	0.1852	0.9517	0.9371	0.9384	0.9391	0.9492	0.9486	0.9368	0.9424	0.426036	0.429998	0.431384	0.430025	0.428879	0.431424	0.426381	0.413377
6000	1.5342	0.1868	0.2005	0.1940	0.1945	0.1808	0.1863	0.1990	0.1922	0.9496	0.9355	0.9379	0.9371	0.9468	0.9474	0.9354	0.9402	0.417989	0.420458	0.422146	0.421206	0.421002	0.422278	0.418804	0.406261
7000	1.5614	0.1923	0.2070	0.1977	0.1947	0.1833	0.1889	0.2007	0.1969	0.9476	0.9332	0.9365	0.9370	0.9456	0.9475	0.9346	0.9386	0.409812	0.411156	0.412972	0.412602	0.412882	0.413235	0.411085	0.399006
8000	1.5834	0.1966	0.2077	0.1994	0.1980	0.1856	0.1911	0.2055	0.1994	0.9453	0.9337	0.9363	0.9360	0.9448	0.9468	0.9329	0.9378	0.402853	0.403171	0.405054	0.405074	0.405864	0.405635	0.404322	0.392920
9000	1.6011	0.1959	0.2082	0.2037	0.2012	0.1892	0.1931	0.2096	0.2002	0.9454	0.9335	0.9346	0.9348	0.9438	0.9458	0.9317	0.9375	0.396668	0.396232	0.398191	0.398469	0.399623	0.398841	0.398173	0.387348
10000	1.6143	0.1992	0.2096	0.2045	0.2028	0.1909	0.1925	0.2121	0.2027	0.9443	0.9335	0.9346	0.9344	0.9428	0.9463	0.9307	0.9365	0.391266	0.390119	0.391949	0.392552	0.393867	0.392812	0.392572	0.382286
11000	1.5893	0.2007	0.2064	0.2028	0.1996	0.1873	0.1885	0.2006	0.2033	0.9430	0.9342	0.9348	0.9353	0.9435	0.9468	0.9342	0.9362	0.402423	0.405175	0.404763	0.403530	0.404621	0.402635	0.410006	0.391650
12000	1.6052	0.2036	0.2076	0.2051	0.2020	0.1893	0.1868	0.2027	0.2082	0.9414	0.9332	0.9341	0.9344	0.9426	0.9466	0.9335	0.9340	0.399583	0.403165	0.400821	0.399648	0.400408	0.401951	0.407625	0.390171
13000	1.6186	0.2053	0.2082	0.2047	0.2039	0.1918	0.1854	0.2062	0.2131	0.9403	0.9331	0.9348	0.9335	0.9414	0.9464	0.9323	0.9320	0.396439	0.400427	0.397008	0.395890	0.396229	0.400728	0.404893	0.388386
14000	1.6292	0.2074	0.2111	0.2044	0.2051	0.1950	0.1860	0.2068	0.2134	0.9391	0.9318	0.9357	0.9329	0.9399	0.9455	0.9321	0.9319	0.393243	0.397410	0.393197	0.392373	0.392226	0.398965	0.402068	0.386359
15000	1.6362	0.2083	0.2117	0.2047	0.2056	0.1978	0.1863	0.2072	0.2145	0.9383	0.9315	0.9360	0.9328	0.9388	0.9449	0.9319	0.9315	0.390138	0.394469	0.389638	0.389041	0.388457	0.396792	0.399110	0.384210
16000	1.6449	0.2108	0.2126	0.2038	0.2076	0.1983	0.1898	0.2085	0.2136	0.9371	0.9314	0.9374	0.9320	0.9385	0.9433	0.9315	0.9318	0.386998	0.391495	0.386172	0.385750	0.384877	0.394193	0.396168	0.381867
17000	1.6535	0.2116	0.2140	0.2028	0.2078	0.2003	0.1912	0.2100	0.2158	0.9366	0.9307	0.9383	0.9318	0.9376	0.9424	0.9308	0.9310	0.383900	0.388623	0.382874	0.382579	0.381512	0.391529	0.393147	0.379515
18000	1.6626	0.2117	0.2146	0.2029	0.2095	0.2021	0.1933	0.2119	0.2164	0.9363	0.9304	0.9386	0.9312	0.9369	0.9412	0.9301	0.9308	0.380945	0.385819	0.379728	0.379482	0.378293	0.388983	0.390314	0.377165
19000	1.6704	0.2123	0.2157	0.2027	0.2108	0.2026	0.1953	0.2138	0.2172	0.9359	0.9300	0.9388	0.9308	0.9365	0.9403	0.9296	0.9304	0.378199	0.383120	0.376851	0.376667	0.375304	0.386590	0.387660	0.374858
20000	1.6786	0.2117	0.2168	0.2039	0.2122	0.2040	0.1971	0.2147	0.2182	0.9359	0.9295	0.9385	0.9302	0.9358	0.9394	0.9293	0.9302	0.375720	0.380704	0.374173	0.374101	0.372637	0.384325	0.385107	0.372741
21000	1.6818	0.2120	0.2158	0.2040	0.2137	0.2047	0.1985	0.2142	0.2189	0.9355	0.9297	0.9384	0.9296	0.9355	0.9388	0.9295	0.9299	0.380374	0.386014	0.378477	0.378670	0.376257	0.388317	0.390683	0.377857
22000	1.6856	0.2127	0.2169	0.2036	0.2135	0.2057	0.2000	0.2147	0.2185	0.9351	0.9293	0.9391	0.9297	0.9351	0.9380	0.9294	0.9302	0.381223	0.386740	0.379585	0.381406	0.377132	0.390337	0.394462	0.380898
23000	1.6904	0.2138	0.2178	0.2037	0.2137	0.2062	0.2003	0.2151	0.2200	0.9345	0.9289	0.9393	0.9297	0.9347	0.9377	0.9292	0.9297	0.381424	0.386848	0.380124	0.383412	0.377533	0.391762	0.397310	0.383108
24000	1.6953	0.2145	0.2189	0.2034	0.2145	0.2070	0.2017	0.2152	0.2201	0.9340	0.9285	0.9399	0.9293	0.9343	0.9372	0.9291	0.9297	0.381568	0.386932	0.380642	0.385364	0.377939	0.393068	0.399966	0.385207
25000	1.7015	0.2156	0.2194	0.2041	0.2152	0.2082	0.2033	0.2153	0.2204	0.9335	0.9281	0.9396	0.9289	0.9338	0.9363	0.9292	0.9295	0.381468	0.386846	0.380930	0.386936	0.378040	0.394153	0.402221	0.386909
26000	1.7055	0.2162	0.2199	0.2040	0.2157	0.2096	0.2044	0.2149	0.2207	0.9331	0.9280	0.9397	0.9288	0.9333	0.9358	0.9294	0.9295	0.381377	0.386818	0.381198	0.388396	0.378178	0.395170	0.404313	0.388462
27000	1.7067	0.2166	0.2204	0.2041	0.2160	0.2096	0.2052	0.2142	0.2207	0.9328	0.9278	0.9401	0.9286	0.9333	0.9355	0.9296	0.9295	0.381089	0.386559	0.381272	0.389611	0.378194	0.396030	0.406138	0.389718
28000	1.7109	0.2170	0.2206	0.2045	0.2170	0.2106	0.2054	0.2151	0.2206	0.9326	0.9277	0.9403	0.9283	0.9329	0.9353	0.9293	0.9294	0.380753	0.386348	0.381323	0.390725	0.378211	0.396803	0.407794	0.390858
29000	1.7133	0.2167	0.2208	0.2044	0.2177	0.2118	0.2057	0.2158	0.2203	0.9324	0.9276	0.9407	0.9280	0.9323	0.9350	0.9291	0.9295	0.380491	0.386277	0.381421	0.391873	0.378252	0.397570	0.409406	0.392037
