Iteration	Avg_Total_Reward	Avg_Reward_User_0	Packet_Loss_Ratio_User_0	Avg_Loss_User_0	Count_Change
1000	0.8658	0.8658	0.6835	0.158661	285
2000	1.1107	1.1107	0.6280	0.173087	144
3000	1.2153	1.2153	0.6011	0.183930	115
4000	1.2698	1.2698	0.5823	0.193041	112
5000	1.3032	1.3032	0.5713	0.200384	113
6000	1.3210	1.3210	0.5635	0.218217	109
7000	1.3364	1.3364	0.5575	0.225319	111
8000	1.3511	1.3511	0.5508	0.231696	82
9000	1.3607	1.3607	0.5495	0.235727	111
10000	1.3650	1.3650	0.5478	0.238666	98
11000	1.3704	1.3704	0.5459	0.245153	86
12000	1.3760	1.3760	0.5447	0.249507	103
13000	1.3813	1.3813	0.5431	0.253025	98
14000	1.3848	1.3848	0.5412	0.255989	89
15000	1.3865	1.3865	0.5407	0.258640	121
16000	1.3873	1.3873	0.5387	0.261251	99
17000	1.3901	1.3901	0.5383	0.262571	102
18000	1.3922	1.3922	0.5373	0.263652	110
19000	1.3950	1.3950	0.5365	0.264638	103
20000	1.3961	1.3961	0.5356	0.265567	100
21000	1.3983	1.3983	0.5340	0.267039	110
22000	1.3995	1.3995	0.5345	0.267714	99
23000	1.4000	1.4000	0.5341	0.268381	107
24000	1.4007	1.4007	0.5343	0.268930	101
25000	1.4001	1.4001	0.5348	0.269375	112
26000	1.3999	1.3999	0.5350	0.270140	98
27000	1.4010	1.4010	0.5348	0.270446	94
28000	1.4024	1.4024	0.5345	0.270740	93
29000	1.4027	1.4027	0.5345	0.270901	106
30000	1.4037	1.4037	0.5338	0.271155	84
31000	1.4042	1.4042	0.5336	0.272174	110
32000	1.4040	1.4040	0.5332	0.272210	99
33000	1.4049	1.4049	0.5328	0.272243	84
34000	1.4056	1.4056	0.5325	0.272226	108
35000	1.4065	1.4065	0.5320	0.272284	101
36000	1.4058	1.4058	0.5324	0.273255	98
37000	1.4056	1.4056	0.5321	0.273621	106
38000	1.4058	1.4058	0.5317	0.273880	88
39000	1.4066	1.4066	0.5313	0.274174	83
40000	1.4068	1.4068	0.5313	0.274423	105
41000	1.4072	1.4072	0.5309	0.275749	101
42000	1.4073	1.4073	0.5310	0.276734	92
