Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1	Count_Change
1000	1.0794	0.4028	0.6766	0.8886	0.7765	0.346851	0.304009	372
2000	1.1946	0.4047	0.7899	0.8888	0.7454	0.327433	0.280711	340
3000	1.2340	0.3938	0.8402	0.8828	0.7277	0.310063	0.267244	326
4000	1.2745	0.3888	0.8857	0.8838	0.7117	0.297992	0.258121	313
5000	1.2973	0.3854	0.9119	0.8876	0.7057	0.288258	0.250982	348
6000	1.3355	0.4219	0.9135	0.8602	0.7061	0.318421	0.288068	18
7000	1.4045	0.4923	0.9123	0.8398	0.7060	0.335583	0.312272	12
8000	1.4542	0.5429	0.9113	0.8260	0.7069	0.348732	0.332265	19
9000	1.4899	0.5792	0.9107	0.8135	0.7078	0.358922	0.349196	9
10000	1.5200	0.6116	0.9084	0.8037	0.7094	0.367472	0.363710	12
11000	1.5428	0.6367	0.9060	0.7964	0.7083	0.374606	0.376014	8
12000	1.5614	0.6573	0.9041	0.7888	0.7075	0.379135	0.385033	6
13000	1.5804	0.6783	0.9021	0.7826	0.7077	0.382703	0.392302	9
14000	1.5972	0.6948	0.9024	0.7765	0.7070	0.385827	0.398556	7
15000	1.6139	0.7106	0.9032	0.7713	0.7058	0.388535	0.403898	8
16000	1.6255	0.7227	0.9027	0.7679	0.7061	0.391188	0.409525	8
17000	1.6358	0.7320	0.9039	0.7672	0.7056	0.392270	0.412040	8
18000	1.6414	0.7379	0.9035	0.7653	0.7052	0.393213	0.414147	4
19000	1.6518	0.7471	0.9047	0.7622	0.7044	0.394197	0.416085	15
20000	1.6621	0.7566	0.9055	0.7591	0.7045	0.395152	0.418015	6
21000	1.6711	0.7645	0.9066	0.7564	0.7047	0.397467	0.421073	7
22000	1.6773	0.7706	0.9067	0.7539	0.7050	0.398878	0.423019	12
23000	1.6834	0.7760	0.9073	0.7521	0.7056	0.400067	0.424449	12
24000	1.6874	0.7798	0.9076	0.7504	0.7064	0.401582	0.425739	10
25000	1.6903	0.7834	0.9069	0.7489	0.7071	0.403509	0.426524	7
26000	1.6946	0.7880	0.9066	0.7461	0.7077	0.405585	0.427887	10
27000	1.6999	0.7930	0.9069	0.7443	0.7073	0.406691	0.428414	8
28000	1.7045	0.7974	0.9072	0.7426	0.7065	0.407682	0.428813	13
29000	1.7088	0.8015	0.9073	0.7411	0.7067	0.408602	0.429165	10
30000	1.7145	0.8060	0.9084	0.7392	0.7064	0.409519	0.429584	8
31000	1.7194	0.8101	0.9093	0.7373	0.7059	0.411197	0.430352	5
32000	1.7233	0.8139	0.9094	0.7360	0.7058	0.412189	0.430545	5
33000	1.7256	0.8161	0.9095	0.7351	0.7052	0.413094	0.430699	10
34000	1.7279	0.8182	0.9096	0.7340	0.7048	0.413911	0.430822	5
35000	1.7297	0.8205	0.9092	0.7332	0.7051	0.414645	0.430848	5
36000	1.7313	0.8228	0.9085	0.7320	0.7048	0.416116	0.431879	7
37000	1.7349	0.8258	0.9091	0.7311	0.7046	0.416830	0.432239	9
38000	1.7382	0.8281	0.9102	0.7301	0.7041	0.417705	0.432745	7
39000	1.7411	0.8307	0.9105	0.7293	0.7039	0.418346	0.433064	5
40000	1.7431	0.8324	0.9107	0.7284	0.7036	0.418986	0.433413	6
41000	1.7456	0.8346	0.9110	0.7271	0.7031	0.420012	0.434043	6
42000	1.7485	0.8369	0.9117	0.7263	0.7029	0.420565	0.434281	6
43000	1.7497	0.8385	0.9112	0.7258	0.7031	0.420993	0.434397	8
44000	1.7505	0.8395	0.9110	0.7255	0.7029	0.421332	0.434446	4
45000	1.7520	0.8408	0.9112	0.7247	0.7027	0.421771	0.434621	7
46000	1.7531	0.8420	0.9110	0.7242	0.7027	0.422590	0.435236	7
47000	1.7542	0.8434	0.9108	0.7237	0.7026	0.423020	0.435497	8
48000	1.7555	0.8444	0.9111	0.7230	0.7023	0.423380	0.435712	6
49000	1.7566	0.8455	0.9111	0.7227	0.7023	0.423706	0.435879	6
50000	1.7576	0.8467	0.9110	0.7224	0.7021	0.424026	0.436036	6
51000	1.7581	0.8478	0.9103	0.7217	0.7024	0.424551	0.436373	8
52000	1.7590	0.8493	0.9097	0.7213	0.7024	0.424846	0.436456	5
53000	1.7596	0.8502	0.9094	0.7209	0.7025	0.425070	0.436491	9
54000	1.7603	0.8512	0.9091	0.7204	0.7021	0.425195	0.436411	4
