Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	0.9753	0.5749	0.4004	0.8449	0.8950	0.285339	0.299468
2000	0.9461	0.5687	0.3774	0.7852	0.8822	0.251121	0.267864
3000	1.2187	0.8247	0.3939	0.7058	0.8825	0.245097	0.279241
4000	1.3793	0.9720	0.4074	0.6751	0.8657	0.246856	0.290967
5000	1.4787	1.0396	0.4390	0.6554	0.8611	0.248924	0.297996
6000	1.5338	1.0655	0.4683	0.6603	0.8394	0.284213	0.342866
7000	1.5707	1.0431	0.5276	0.6664	0.8237	0.297792	0.358209
8000	1.5938	1.0227	0.5711	0.6712	0.8142	0.308252	0.369243
9000	1.6151	1.0084	0.6067	0.6756	0.8029	0.316327	0.377265
10000	1.6350	1.0017	0.6333	0.6784	0.8000	0.323002	0.383977
11000	1.6458	0.9971	0.6486	0.6799	0.7951	0.335519	0.396713
12000	1.6577	0.9892	0.6685	0.6805	0.7876	0.343505	0.405343
13000	1.6759	0.9851	0.6909	0.6816	0.7812	0.350079	0.411958
14000	1.6846	0.9800	0.7046	0.6832	0.7796	0.355608	0.417270
15000	1.6920	0.9741	0.7179	0.6851	0.7747	0.360527	0.422062
16000	1.6997	0.9661	0.7336	0.6897	0.7681	0.370833	0.427757
17000	1.7054	0.9600	0.7453	0.6902	0.7640	0.375566	0.431579
18000	1.7130	0.9572	0.7558	0.6915	0.7600	0.379817	0.435415
19000	1.7197	0.9567	0.7631	0.6924	0.7579	0.383457	0.438626
20000	1.7236	0.9567	0.7670	0.6924	0.7554	0.386691	0.441537
21000	1.7293	0.9581	0.7712	0.6924	0.7540	0.391251	0.444684
22000	1.7321	0.9555	0.7766	0.6927	0.7528	0.393555	0.445682
23000	1.7336	0.9537	0.7799	0.6927	0.7520	0.395998	0.446857
24000	1.7339	0.9513	0.7825	0.6938	0.7509	0.398080	0.447832
25000	1.7332	0.9477	0.7855	0.6949	0.7499	0.400397	0.448634
26000	1.7344	0.9374	0.7970	0.7016	0.7439	0.406010	0.450968
27000	1.7335	0.9172	0.8164	0.7086	0.7377	0.410300	0.452324
28000	1.7333	0.9014	0.8319	0.7116	0.7352	0.414617	0.453905
29000	1.7341	0.8960	0.8381	0.7115	0.7339	0.416825	0.455361
30000	1.7364	0.8961	0.8403	0.7115	0.7326	0.418535	0.456747
31000	1.7388	0.8990	0.8398	0.7081	0.7348	0.422833	0.459140
32000	1.7413	0.9110	0.8304	0.7045	0.7361	0.426163	0.460795
33000	1.7442	0.9143	0.8300	0.7037	0.7362	0.429058	0.461331
34000	1.7467	0.9153	0.8314	0.7034	0.7355	0.431024	0.461776
35000	1.7483	0.9157	0.8326	0.7031	0.7353	0.432728	0.462207
36000	1.7491	0.9115	0.8376	0.7048	0.7337	0.433775	0.462318
37000	1.7499	0.9100	0.8398	0.7048	0.7324	0.433725	0.461930
38000	1.7512	0.9097	0.8415	0.7044	0.7323	0.433774	0.461687
39000	1.7526	0.9106	0.8420	0.7039	0.7321	0.433710	0.461415
40000	1.7536	0.9112	0.8424	0.7036	0.7325	0.433541	0.461457
41000	1.7547	0.9130	0.8417	0.7031	0.7316	0.434345	0.462003
42000	1.7558	0.9125	0.8433	0.7030	0.7316	0.434208	0.462027
43000	1.7567	0.9134	0.8433	0.7028	0.7328	0.434061	0.461967
44000	1.7565	0.9133	0.8432	0.7026	0.7339	0.433933	0.461923
45000	1.7561	0.9130	0.8431	0.7024	0.7341	0.433838	0.461938
46000	1.7557	0.9088	0.8469	0.7040	0.7324	0.434537	0.462204
47000	1.7571	0.9085	0.8485	0.7039	0.7319	0.434600	0.462099
48000	1.7590	0.9086	0.8505	0.7037	0.7309	0.434622	0.461984
49000	1.7606	0.9084	0.8522	0.7043	0.7302	0.434866	0.461856
50000	1.7621	0.9083	0.8538	0.7042	0.7292	0.434889	0.461772
51000	1.7637	0.9094	0.8543	0.7037	0.7291	0.434921	0.462133
52000	1.7646	0.9099	0.8548	0.7035	0.7284	0.434444	0.462052
53000	1.7659	0.9101	0.8558	0.7033	0.7277	0.434276	0.461947
54000	1.7675	0.9101	0.8574	0.7034	0.7268	0.435062	0.461812
55000	1.7686	0.9097	0.8589	0.7033	0.7262	0.434777	0.461707
56000	1.7694	0.9049	0.8645	0.7064	0.7228	0.436503	0.461794
57000	1.7700	0.8957	0.8743	0.7099	0.7194	0.437959	0.461682
58000	1.7696	0.8884	0.8813	0.7112	0.7181	0.439134	0.461544
59000	1.7708	0.8874	0.8834	0.7112	0.7173	0.439442	0.461388
60000	1.7720	0.8876	0.8844	0.7112	0.7166	0.439740	0.461247
61000	1.7732	0.8879	0.8853	0.7108	0.7162	0.439752	0.461540
62000	1.7742	0.8889	0.8853	0.7101	0.7161	0.439088	0.461408
63000	1.7753	0.8900	0.8853	0.7097	0.7160	0.438423	0.461186
64000	1.7759	0.8911	0.8848	0.7091	0.7161	0.437739	0.460863
65000	1.7768	0.8925	0.8843	0.7087	0.7158	0.437313	0.460544
66000	1.7774	0.8894	0.8879	0.7102	0.7141	0.438038	0.460416
67000	1.7773	0.8878	0.8894	0.7100	0.7139	0.438256	0.460078
68000	1.7773	0.8877	0.8896	0.7100	0.7137	0.438413	0.459719
69000	1.7775	0.8880	0.8896	0.7099	0.7136	0.438536	0.459338
70000	1.7773	0.8882	0.8891	0.7097	0.7134	0.438671	0.458978
71000	1.7781	0.8898	0.8883	0.7088	0.7140	0.439414	0.458980
