Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Avg_Loss_User_0	Avg_Loss_User_1
1000	1.1250	0.5819	0.5430	0.7938	0.8431	0.342522	0.347779
2000	1.3291	0.7645	0.5646	0.7710	0.8343	0.337912	0.341272
3000	1.4176	0.8218	0.5958	0.7640	0.8286	0.334144	0.335997
4000	1.4636	0.8479	0.6156	0.7464	0.8220	0.331095	0.329729
5000	1.4887	0.8633	0.6254	0.7395	0.8197	0.327915	0.323523
6000	1.5153	0.8606	0.6547	0.7470	0.8006	0.372457	0.353008
7000	1.5490	0.8599	0.6892	0.7391	0.7958	0.383283	0.370183
8000	1.5792	0.8689	0.7102	0.7366	0.7896	0.389869	0.383316
9000	1.6044	0.8705	0.7339	0.7350	0.7827	0.394996	0.393114
10000	1.6258	0.8740	0.7518	0.7337	0.7765	0.399633	0.401526
11000	1.6463	0.8788	0.7675	0.7300	0.7712	0.413144	0.411230
12000	1.6601	0.8829	0.7772	0.7274	0.7682	0.419652	0.417926
13000	1.6675	0.8843	0.7832	0.7253	0.7673	0.424226	0.423657
14000	1.6690	0.8843	0.7847	0.7243	0.7693	0.427872	0.428389
15000	1.6760	0.8866	0.7895	0.7223	0.7698	0.430792	0.432501
16000	1.6761	0.8828	0.7933	0.7243	0.7679	0.447887	0.437257
17000	1.6768	0.8790	0.7977	0.7238	0.7667	0.458136	0.440967
18000	1.6783	0.8773	0.8009	0.7276	0.7664	0.470408	0.444416
19000	1.6664	0.8621	0.8042	0.7334	0.7663	0.480878	0.447081
20000	1.6621	0.8560	0.8061	0.7326	0.7670	0.489953	0.449781
21000	1.6661	0.8578	0.8083	0.7314	0.7641	0.491456	0.452402
22000	1.6705	0.8582	0.8123	0.7319	0.7617	0.491676	0.453606
23000	1.6757	0.8574	0.8183	0.7312	0.7589	0.491238	0.454716
24000	1.6794	0.8571	0.8223	0.7311	0.7558	0.490341	0.455795
25000	1.6821	0.8555	0.8266	0.7312	0.7541	0.489652	0.456669
26000	1.6864	0.8553	0.8311	0.7304	0.7515	0.489721	0.457905
27000	1.6906	0.8555	0.8351	0.7304	0.7494	0.489100	0.458380
28000	1.6937	0.8553	0.8383	0.7310	0.7475	0.488496	0.458901
29000	1.6956	0.8549	0.8407	0.7306	0.7466	0.487770	0.459238
30000	1.6990	0.8556	0.8434	0.7300	0.7457	0.487124	0.459602
31000	1.7017	0.8566	0.8451	0.7287	0.7444	0.487017	0.460201
32000	1.7048	0.8578	0.8470	0.7281	0.7428	0.486488	0.460351
33000	1.7077	0.8580	0.8498	0.7279	0.7409	0.486065	0.460404
34000	1.7104	0.8581	0.8523	0.7272	0.7395	0.485688	0.460503
35000	1.7150	0.8601	0.8550	0.7262	0.7382	0.485151	0.460544
36000	1.7192	0.8619	0.8572	0.7251	0.7369	0.484785	0.460999
37000	1.7213	0.8626	0.8587	0.7246	0.7361	0.483937	0.460952
38000	1.7235	0.8637	0.8598	0.7234	0.7351	0.483149	0.460919
39000	1.7272	0.8654	0.8617	0.7227	0.7342	0.482241	0.460647
40000	1.7292	0.8666	0.8626	0.7220	0.7333	0.481374	0.460327
41000	1.7323	0.8682	0.8641	0.7217	0.7327	0.481289	0.460389
42000	1.7325	0.8678	0.8647	0.7220	0.7333	0.480913	0.460144
43000	1.7336	0.8684	0.8652	0.7223	0.7332	0.480476	0.459838
44000	1.7344	0.8680	0.8663	0.7229	0.7323	0.480211	0.459633
45000	1.7350	0.8676	0.8674	0.7224	0.7315	0.479868	0.459347
46000	1.7371	0.8687	0.8684	0.7219	0.7306	0.479589	0.459353
47000	1.7386	0.8688	0.8697	0.7217	0.7299	0.479055	0.459082
48000	1.7398	0.8685	0.8713	0.7219	0.7289	0.478571	0.458842
49000	1.7407	0.8688	0.8719	0.7213	0.7285	0.477980	0.458536
50000	1.7425	0.8701	0.8724	0.7209	0.7281	0.477399	0.458224
51000	1.7439	0.8707	0.8733	0.7207	0.7277	0.477434	0.458484
52000	1.7448	0.8710	0.8739	0.7209	0.7274	0.477182	0.458432
53000	1.7457	0.8715	0.8743	0.7205	0.7271	0.476887	0.458335
54000	1.7464	0.8721	0.8743	0.7202	0.7270	0.476513	0.458125
55000	1.7475	0.8730	0.8745	0.7199	0.7266	0.476169	0.457954
56000	1.7487	0.8735	0.8752	0.7193	0.7261	0.476092	0.458119
57000	1.7506	0.8745	0.8760	0.7189	0.7257	0.475721	0.458010
58000	1.7517	0.8753	0.8764	0.7185	0.7248	0.475367	0.457909
59000	1.7532	0.8755	0.8776	0.7185	0.7248	0.474983	0.457803
60000	1.7536	0.8757	0.8779	0.7182	0.7244	0.474619	0.457688
61000	1.7544	0.8760	0.8784	0.7179	0.7242	0.474536	0.457858
62000	1.7547	0.8762	0.8785	0.7178	0.7242	0.474198	0.457782
63000	1.7551	0.8759	0.8792	0.7181	0.7241	0.473857	0.457672
64000	1.7554	0.8757	0.8797	0.7180	0.7237	0.473477	0.457533
65000	1.7569	0.8763	0.8806	0.7176	0.7234	0.473114	0.457421
66000	1.7580	0.8771	0.8809	0.7171	0.7234	0.473010	0.457593
67000	1.7581	0.8776	0.8804	0.7169	0.7240	0.472706	0.457555
68000	1.7580	0.8776	0.8804	0.7165	0.7240	0.472444	0.457522
69000	1.7587	0.8784	0.8802	0.7163	0.7241	0.472144	0.457450
70000	1.7587	0.8784	0.8803	0.7162	0.7241	0.471857	0.457360
71000	1.7589	0.8788	0.8801	0.7160	0.7243	0.471805	0.457509
72000	1.7593	0.8790	0.8803	0.7161	0.7241	0.471546	0.457461
73000	1.7593	0.8789	0.8804	0.7161	0.7241	0.471279	0.457399
74000	1.7592	0.8789	0.8803	0.7161	0.7240	0.471002	0.457336
75000	1.7589	0.8783	0.8806	0.7166	0.7241	0.470712	0.457242
76000	1.7583	0.8779	0.8803	0.7165	0.7244	0.470760	0.457518
77000	1.7579	0.8778	0.8802	0.7167	0.7245	0.470618	0.457605
78000	1.7577	0.8775	0.8802	0.7170	0.7246	0.470467	0.457661
79000	1.7575	0.8775	0.8800	0.7169	0.7247	0.470311	0.457728
80000	1.7574	0.8778	0.8795	0.7166	0.7251	0.470127	0.457755
81000	1.7577	0.8782	0.8795	0.7164	0.7249	0.470340	0.458141
82000	1.7583	0.8785	0.8798	0.7166	0.7248	0.470369	0.458355
83000	1.7582	0.8783	0.8798	0.7165	0.7247	0.470393	0.458556
84000	1.7585	0.8784	0.8802	0.7165	0.7244	0.470413	0.458742
85000	1.7589	0.8785	0.8804	0.7165	0.7242	0.470357	0.458847
86000	1.7595	0.8790	0.8805	0.7161	0.7243	0.470445	0.459094
87000	1.7597	0.8790	0.8806	0.7163	0.7243	0.470383	0.459194
88000	1.7598	0.8790	0.8807	0.7165	0.7242	0.470325	0.459306
89000	1.7600	0.8792	0.8808	0.7166	0.7241	0.470312	0.459461
90000	1.7603	0.8793	0.8810	0.7167	0.7239	0.470311	0.459619
91000	1.7605	0.8795	0.8810	0.7167	0.7240	0.470495	0.459913
92000	1.7601	0.8793	0.8809	0.7168	0.7240	0.470461	0.460005
93000	1.7606	0.8794	0.8812	0.7168	0.7236	0.470498	0.460161
94000	1.7611	0.8794	0.8817	0.7167	0.7233	0.470514	0.460299
95000	1.7619	0.8798	0.8821	0.7164	0.7231	0.470563	0.460465
96000	1.7628	0.8802	0.8826	0.7161	0.7229	0.470677	0.460675
97000	1.7634	0.8806	0.8828	0.7161	0.7226	0.470687	0.460775
98000	1.7633	0.8804	0.8829	0.7165	0.7224	0.470655	0.460819
99000	1.7642	0.8808	0.8835	0.7162	0.7221	0.470594	0.460844
100000	1.7649	0.8809	0.8840	0.7163	0.7216	0.470555	0.460876
101000	1.7656	0.8810	0.8846	0.7164	0.7215	0.470649	0.461067
102000	1.7656	0.8808	0.8847	0.7165	0.7215	0.470611	0.461149
103000	1.7655	0.8807	0.8849	0.7169	0.7215	0.470526	0.461153
104000	1.7654	0.8805	0.8850	0.7170	0.7213	0.470465	0.461181
105000	1.7657	0.8803	0.8854	0.7173	0.7213	0.470424	0.461229
106000	1.7657	0.8801	0.8856	0.7174	0.7211	0.470601	0.461442
107000	1.7656	0.8799	0.8857	0.7176	0.7210	0.470615	0.461530
108000	1.7655	0.8797	0.8858	0.7177	0.7209	0.470631	0.461609
109000	1.7656	0.8799	0.8857	0.7177	0.7208	0.470624	0.461646
110000	1.7659	0.8799	0.8859	0.7177	0.7206	0.470571	0.461647
111000	1.7663	0.8801	0.8862	0.7176	0.7206	0.470625	0.461723
112000	1.7664	0.8801	0.8863	0.7177	0.7205	0.470568	0.461690
113000	1.7665	0.8801	0.8864	0.7176	0.7205	0.470491	0.461633
114000	1.7666	0.8800	0.8866	0.7176	0.7205	0.470371	0.461539
115000	1.7667	0.8799	0.8867	0.7175	0.7204	0.470271	0.461469
116000	1.7672	0.8803	0.8869	0.7174	0.7203	0.470232	0.461488
117000	1.7670	0.8800	0.8870	0.7176	0.7201	0.470127	0.461435
118000	1.7668	0.8799	0.8869	0.7175	0.7202	0.470020	0.461393
119000	1.7669	0.8802	0.8867	0.7173	0.7202	0.469841	0.461274
120000	1.7670	0.8804	0.8866	0.7171	0.7202	0.469673	0.461163
121000	1.7676	0.8810	0.8866	0.7168	0.7201	0.469644	0.461230
122000	1.7684	0.8814	0.8869	0.7168	0.7199	0.469485	0.461174
123000	1.7688	0.8816	0.8873	0.7167	0.7199	0.469354	0.461154
124000	1.7692	0.8817	0.8875	0.7166	0.7198	0.469193	0.461098
125000	1.7695	0.8818	0.8877	0.7165	0.7197	0.469007	0.461029
126000	1.7699	0.8819	0.8880	0.7163	0.7195	0.468940	0.461003
127000	1.7705	0.8821	0.8884	0.7164	0.7194	0.468771	0.460880
128000	1.7705	0.8818	0.8887	0.7165	0.7192	0.468648	0.460806
129000	1.7706	0.8817	0.8889	0.7166	0.7192	0.468545	0.460761
130000	1.7705	0.8817	0.8889	0.7165	0.7191	0.468387	0.460653
131000	1.7709	0.8819	0.8890	0.7163	0.7191	0.468370	0.460663
132000	1.7711	0.8821	0.8890	0.7162	0.7192	0.468252	0.460572
133000	1.7711	0.8822	0.8889	0.7161	0.7192	0.468128	0.460475
134000	1.7712	0.8823	0.8889	0.7160	0.7191	0.467998	0.460372
135000	1.7715	0.8826	0.8889	0.7158	0.7191	0.467894	0.460291
136000	1.7721	0.8830	0.8891	0.7156	0.7190	0.467833	0.460238
137000	1.7728	0.8834	0.8894	0.7155	0.7189	0.467705	0.460121
138000	1.7731	0.8836	0.8895	0.7153	0.7188	0.467588	0.460008
139000	1.7732	0.8837	0.8895	0.7153	0.7187	0.467479	0.459908
140000	1.7733	0.8837	0.8896	0.7152	0.7188	0.467373	0.459805
141000	1.7734	0.8839	0.8895	0.7150	0.7187	0.467317	0.459777
142000	1.7737	0.8841	0.8897	0.7149	0.7186	0.467204	0.459700
143000	1.7740	0.8844	0.8896	0.7147	0.7187	0.467071	0.459595
