Iteration	Avg_Total_Reward	Avg_Reward_User_0	Packet_Loss_Ratio_User_0	Packet_Loss_By_Transmit_Ratio_User_0	Count_Change
1000	0.7649	0.7649	0.7086	0.2306	0
2000	1.0055	1.0055	0.6453	0.2869	0
3000	1.1268	1.1268	0.6219	0.3162	0
4000	1.1879	1.1879	0.6006	0.3374	0
5000	1.2373	1.2373	0.5830	0.3512	0
6000	1.2698	1.2698	0.5727	0.3591	0
7000	1.2962	1.2962	0.5662	0.3636	0
8000	1.3110	1.3110	0.5615	0.3694	0
9000	1.3205	1.3205	0.5584	0.3724	0
10000	1.3341	1.3341	0.5536	0.3739	0
11000	1.3434	1.3434	0.5497	0.3762	0
12000	1.3500	1.3500	0.5486	0.3782	0
13000	1.3545	1.3545	0.5468	0.3804	0
14000	1.3590	1.3590	0.5461	0.3817	0
15000	1.3649	1.3649	0.5439	0.3819	0
16000	1.3704	1.3704	0.5423	0.3832	0
17000	1.3749	1.3749	0.5404	0.3837	0
18000	1.3804	1.3804	0.5390	0.3836	0
19000	1.3829	1.3829	0.5386	0.3850	0
20000	1.3838	1.3838	0.5384	0.3865	0
21000	1.3845	1.3845	0.5385	0.3867	0
22000	1.3880	1.3880	0.5370	0.3869	0
23000	1.3894	1.3894	0.5365	0.3872	0
24000	1.3899	1.3899	0.5371	0.3879	0
25000	1.3903	1.3903	0.5366	0.3884	0
26000	1.3913	1.3913	0.5358	0.3890	0
27000	1.3932	1.3932	0.5359	0.3888	0
28000	1.3930	1.3930	0.5361	0.3899	0
29000	1.3930	1.3930	0.5357	0.3908	0
30000	1.3920	1.3920	0.5361	0.3919	0
31000	1.3918	1.3918	0.5357	0.3926	0
32000	1.3924	1.3924	0.5355	0.3933	0
33000	1.3933	1.3933	0.5349	0.3940	0
34000	1.3945	1.3945	0.5344	0.3934	0
35000	1.3959	1.3959	0.5345	0.3934	0
36000	1.3967	1.3967	0.5343	0.3937	0
37000	1.3967	1.3967	0.5346	0.3940	0
38000	1.3963	1.3963	0.5343	0.3944	0
39000	1.3961	1.3961	0.5346	0.3945	0
40000	1.3967	1.3967	0.5336	0.3943	0
41000	1.3989	1.3989	0.5330	0.3943	0
42000	1.3991	1.3991	0.5330	0.3944	0
43000	1.3989	1.3989	0.5329	0.3946	0
44000	1.3987	1.3987	0.5327	0.3946	0
45000	1.3990	1.3990	0.5325	0.3947	0
46000	1.3995	1.3995	0.5324	0.3952	0
47000	1.3988	1.3988	0.5328	0.3955	0
48000	1.3979	1.3979	0.5328	0.3957	0
49000	1.3976	1.3976	0.5329	0.3958	0
50000	1.3972	1.3972	0.5337	0.3959	0
51000	1.3963	1.3963	0.5338	0.3961	0
52000	1.3969	1.3969	0.5337	0.3961	0
53000	1.3976	1.3976	0.5335	0.3961	0
54000	1.3978	1.3978	0.5337	0.3957	0
55000	1.3986	1.3986	0.5335	0.3957	0
56000	1.3987	1.3987	0.5337	0.3955	0
57000	1.3985	1.3985	0.5335	0.3958	0
58000	1.3981	1.3981	0.5337	0.3961	0
59000	1.3984	1.3984	0.5333	0.3960	0
60000	1.3992	1.3992	0.5331	0.3959	0
61000	1.3995	1.3995	0.5333	0.3961	0
62000	1.3996	1.3996	0.5331	0.3959	0
63000	1.4003	1.4003	0.5330	0.3959	0
64000	1.4003	1.4003	0.5331	0.3961	0
65000	1.3999	1.3999	0.5332	0.3963	0
66000	1.3995	1.3995	0.5330	0.3966	0
67000	1.3997	1.3997	0.5331	0.3966	0
68000	1.3994	1.3994	0.5333	0.3968	0
69000	1.3995	1.3995	0.5329	0.3967	0
70000	1.3998	1.3998	0.5329	0.3968	0
71000	1.3999	1.3999	0.5330	0.3969	0
72000	1.4003	1.4003	0.5328	0.3969	0
73000	1.4008	1.4008	0.5329	0.3971	0
74000	1.4008	1.4008	0.5329	0.3970	0
75000	1.4013	1.4013	0.5328	0.3969	0
76000	1.4017	1.4017	0.5328	0.3968	0
77000	1.4018	1.4018	0.5328	0.3968	0
78000	1.4016	1.4016	0.5327	0.3972	0
79000	1.4018	1.4018	0.5327	0.3971	0
80000	1.4023	1.4023	0.5325	0.3971	0
81000	1.4025	1.4025	0.5325	0.3971	0
82000	1.4024	1.4024	0.5327	0.3973	0
83000	1.4027	1.4027	0.5326	0.3975	0
84000	1.4027	1.4027	0.5327	0.3976	0
85000	1.4030	1.4030	0.5327	0.3975	0
86000	1.4033	1.4033	0.5326	0.3977	0
87000	1.4038	1.4038	0.5324	0.3977	0
88000	1.4036	1.4036	0.5325	0.3978	0
89000	1.4034	1.4034	0.5323	0.3976	0
90000	1.4033	1.4033	0.5325	0.3977	0
91000	1.4030	1.4030	0.5324	0.3979	0
92000	1.4030	1.4030	0.5324	0.3980	0
93000	1.4026	1.4026	0.5328	0.3980	0
94000	1.4027	1.4027	0.5327	0.3980	0
95000	1.4026	1.4026	0.5328	0.3981	0
96000	1.4028	1.4028	0.5327	0.3981	0
97000	1.4026	1.4026	0.5328	0.3980	0
98000	1.4025	1.4025	0.5329	0.3981	0
99000	1.4022	1.4022	0.5331	0.3981	0
100000	1.4021	1.4021	0.5329	0.3982	0
101000	1.4021	1.4021	0.5329	0.3981	0
102000	1.4021	1.4021	0.5328	0.3984	0
103000	1.4022	1.4022	0.5330	0.3983	0
104000	1.4022	1.4022	0.5329	0.3983	0
105000	1.4025	1.4025	0.5329	0.3982	0
106000	1.4028	1.4028	0.5329	0.3983	0
107000	1.4027	1.4027	0.5328	0.3982	0
108000	1.4029	1.4029	0.5329	0.3982	0
109000	1.4028	1.4028	0.5330	0.3981	0
110000	1.4031	1.4031	0.5327	0.3981	0
111000	1.4038	1.4038	0.5325	0.3981	0
112000	1.4039	1.4039	0.5323	0.3982	0
113000	1.4039	1.4039	0.5323	0.3982	0
