Iteration	Avg_Total_Reward	Avg_Reward_User_0	Avg_Reward_User_1	Packet_Loss_Ratio_User_0	Packet_Loss_Ratio_User_1	Packet_Loss_By_Transmit_Ratio_User_0	Packet_Loss_By_Transmit_Ratio_User_1	Count_Change
1000	1.0700	0.5212	0.5488	0.8281	0.8117	0.1489	0.1458	0
2000	1.2652	0.6288	0.6363	0.7966	0.7905	0.1716	0.1710	0
3000	1.3236	0.6594	0.6643	0.7890	0.7820	0.1788	0.1888	0
4000	1.3568	0.6719	0.6848	0.7805	0.7746	0.1850	0.1932	0
5000	1.3771	0.6843	0.6928	0.7760	0.7739	0.1917	0.1980	0
6000	1.3832	0.6898	0.6934	0.7738	0.7711	0.1932	0.2011	0
7000	1.3942	0.6970	0.6973	0.7721	0.7696	0.1953	0.2006	0
8000	1.4033	0.7008	0.7024	0.7696	0.7671	0.1964	0.2027	0
9000	1.4095	0.7043	0.7052	0.7680	0.7658	0.1981	0.2027	0
10000	1.4120	0.7063	0.7057	0.7665	0.7656	0.1996	0.2038	0
11000	1.4130	0.7091	0.7039	0.7658	0.7669	0.2023	0.2032	0
12000	1.4120	0.7092	0.7028	0.7663	0.7666	0.2028	0.2045	0
13000	1.4135	0.7092	0.7042	0.7663	0.7649	0.2034	0.2056	0
14000	1.4185	0.7110	0.7074	0.7647	0.7639	0.2033	0.2053	0
15000	1.4216	0.7124	0.7092	0.7654	0.7639	0.2037	0.2063	0
16000	1.4210	0.7119	0.7091	0.7652	0.7635	0.2036	0.2063	0
17000	1.4226	0.7125	0.7101	0.7647	0.7630	0.2051	0.2069	0
18000	1.4241	0.7128	0.7114	0.7649	0.7626	0.2061	0.2072	0
19000	1.4236	0.7117	0.7119	0.7645	0.7628	0.2065	0.2073	0
20000	1.4241	0.7111	0.7129	0.7648	0.7624	0.2064	0.2070	0
21000	1.4255	0.7109	0.7146	0.7643	0.7618	0.2069	0.2064	0
22000	1.4269	0.7115	0.7154	0.7638	0.7624	0.2068	0.2065	0
23000	1.4293	0.7143	0.7150	0.7633	0.7620	0.2067	0.2073	0
24000	1.4307	0.7146	0.7162	0.7632	0.7611	0.2064	0.2069	0
25000	1.4320	0.7150	0.7170	0.7633	0.7615	0.2067	0.2077	0
26000	1.4309	0.7151	0.7158	0.7630	0.7617	0.2071	0.2076	0
27000	1.4316	0.7155	0.7161	0.7629	0.7613	0.2071	0.2079	0
28000	1.4320	0.7164	0.7156	0.7625	0.7611	0.2071	0.2080	0
29000	1.4336	0.7177	0.7159	0.7621	0.7613	0.2071	0.2082	0
30000	1.4345	0.7190	0.7155	0.7619	0.7614	0.2070	0.2081	0
31000	1.4359	0.7192	0.7167	0.7623	0.7601	0.2065	0.2080	0
32000	1.4376	0.7191	0.7185	0.7621	0.7603	0.2065	0.2078	0
33000	1.4379	0.7198	0.7182	0.7619	0.7605	0.2066	0.2076	0
34000	1.4387	0.7201	0.7186	0.7620	0.7604	0.2067	0.2075	0
35000	1.4388	0.7201	0.7188	0.7621	0.7602	0.2068	0.2076	0
36000	1.4375	0.7194	0.7180	0.7622	0.7605	0.2065	0.2076	0
37000	1.4379	0.7205	0.7174	0.7616	0.7607	0.2062	0.2076	0
38000	1.4380	0.7210	0.7170	0.7614	0.7608	0.2061	0.2076	0
39000	1.4386	0.7215	0.7171	0.7614	0.7604	0.2061	0.2078	0
40000	1.4395	0.7215	0.7180	0.7615	0.7603	0.2061	0.2077	0
41000	1.4398	0.7216	0.7183	0.7614	0.7602	0.2061	0.2078	0
42000	1.4405	0.7219	0.7186	0.7615	0.7602	0.2060	0.2081	0
43000	1.4400	0.7217	0.7183	0.7615	0.7603	0.2063	0.2082	0
44000	1.4401	0.7217	0.7184	0.7614	0.7606	0.2065	0.2080	0
45000	1.4399	0.7218	0.7181	0.7614	0.7605	0.2065	0.2083	0
46000	1.4403	0.7223	0.7180	0.7613	0.7605	0.2064	0.2084	0
47000	1.4402	0.7224	0.7178	0.7614	0.7607	0.2061	0.2083	0
48000	1.4405	0.7228	0.7177	0.7614	0.7607	0.2060	0.2085	0
49000	1.4408	0.7230	0.7178	0.7614	0.7605	0.2058	0.2087	0
50000	1.4413	0.7233	0.7181	0.7613	0.7602	0.2058	0.2088	0
51000	1.4414	0.7234	0.7180	0.7609	0.7603	0.2059	0.2091	0
52000	1.4419	0.7240	0.7179	0.7606	0.7603	0.2057	0.2091	0
53000	1.4419	0.7239	0.7180	0.7606	0.7604	0.2058	0.2090	0
54000	1.4418	0.7239	0.7179	0.7607	0.7603	0.2058	0.2093	0
55000	1.4415	0.7235	0.7179	0.7606	0.7604	0.2058	0.2093	0
56000	1.4408	0.7234	0.7174	0.7607	0.7605	0.2061	0.2096	0
57000	1.4401	0.7232	0.7169	0.7607	0.7606	0.2061	0.2098	0
58000	1.4403	0.7233	0.7170	0.7608	0.7606	0.2059	0.2099	0
59000	1.4401	0.7232	0.7169	0.7608	0.7606	0.2061	0.2098	0
60000	1.4402	0.7232	0.7170	0.7609	0.7604	0.2063	0.2098	0
61000	1.4400	0.7227	0.7173	0.7608	0.7605	0.2063	0.2099	0
62000	1.4399	0.7227	0.7172	0.7609	0.7604	0.2063	0.2098	0
63000	1.4397	0.7223	0.7174	0.7610	0.7603	0.2067	0.2099	0
64000	1.4399	0.7225	0.7174	0.7606	0.7605	0.2065	0.2099	0
65000	1.4404	0.7227	0.7177	0.7607	0.7603	0.2067	0.2096	0
66000	1.4402	0.7223	0.7179	0.7609	0.7605	0.2067	0.2097	0
67000	1.4402	0.7222	0.7180	0.7609	0.7601	0.2063	0.2097	0
68000	1.4404	0.7224	0.7180	0.7610	0.7602	0.2060	0.2098	0
69000	1.4408	0.7229	0.7179	0.7609	0.7603	0.2057	0.2097	0
70000	1.4406	0.7229	0.7177	0.7608	0.7603	0.2060	0.2097	0
71000	1.4408	0.7232	0.7176	0.7608	0.7604	0.2056	0.2096	0
72000	1.4410	0.7234	0.7176	0.7608	0.7604	0.2057	0.2095	0
73000	1.4415	0.7236	0.7178	0.7608	0.7604	0.2055	0.2095	0
