Iteration 1000, Avg Total Reward: 1.2200, Avg Per-User Rewards: ['0.6275', '0.5925']
Iteration 2000, Avg Total Reward: 1.3782, Avg Per-User Rewards: ['0.6953', '0.6830']
Iteration 3000, Avg Total Reward: 1.4848, Avg Per-User Rewards: ['0.7447', '0.7402']
Iteration 4000, Avg Total Reward: 1.6065, Avg Per-User Rewards: ['0.8041', '0.8024']
Iteration 5000, Avg Total Reward: 1.7074, Avg Per-User Rewards: ['0.8455', '0.8619']
Iteration 6000, Avg Total Reward: 1.8077, Avg Per-User Rewards: ['0.9022', '0.9054']
Iteration 7000, Avg Total Reward: 1.8929, Avg Per-User Rewards: ['0.9481', '0.9447']
Iteration 8000, Avg Total Reward: 1.9678, Avg Per-User Rewards: ['0.9889', '0.9789']
Iteration 9000, Avg Total Reward: 2.0312, Avg Per-User Rewards: ['1.0192', '1.0119']
Iteration 10000, Avg Total Reward: 2.0838, Avg Per-User Rewards: ['1.0447', '1.0392']
Iteration 11000, Avg Total Reward: 2.1356, Avg Per-User Rewards: ['1.0744', '1.0613']
Iteration 12000, Avg Total Reward: 2.1872, Avg Per-User Rewards: ['1.1000', '1.0872']
Iteration 13000, Avg Total Reward: 2.2280, Avg Per-User Rewards: ['1.1211', '1.1070']
Iteration 14000, Avg Total Reward: 2.2661, Avg Per-User Rewards: ['1.1388', '1.1273']
Iteration 15000, Avg Total Reward: 2.3006, Avg Per-User Rewards: ['1.1537', '1.1470']
Iteration 16000, Avg Total Reward: 2.3288, Avg Per-User Rewards: ['1.1682', '1.1607']
Iteration 17000, Avg Total Reward: 2.3559, Avg Per-User Rewards: ['1.1806', '1.1753']
Iteration 18000, Avg Total Reward: 2.3809, Avg Per-User Rewards: ['1.1927', '1.1882']
Iteration 19000, Avg Total Reward: 2.4016, Avg Per-User Rewards: ['1.2020', '1.1996']
Iteration 20000, Avg Total Reward: 2.4243, Avg Per-User Rewards: ['1.2137', '1.2106']
Iteration 21000, Avg Total Reward: 2.4422, Avg Per-User Rewards: ['1.2223', '1.2199']
Iteration 22000, Avg Total Reward: 2.4604, Avg Per-User Rewards: ['1.2300', '1.2304']
Iteration 23000, Avg Total Reward: 2.4762, Avg Per-User Rewards: ['1.2382', '1.2380']
Iteration 24000, Avg Total Reward: 2.4913, Avg Per-User Rewards: ['1.2459', '1.2454']
Iteration 25000, Avg Total Reward: 2.5047, Avg Per-User Rewards: ['1.2531', '1.2516']
Iteration 26000, Avg Total Reward: 2.5181, Avg Per-User Rewards: ['1.2606', '1.2575']
Iteration 27000, Avg Total Reward: 2.5312, Avg Per-User Rewards: ['1.2676', '1.2635']
Iteration 28000, Avg Total Reward: 2.5431, Avg Per-User Rewards: ['1.2737', '1.2693']
Iteration 29000, Avg Total Reward: 2.5515, Avg Per-User Rewards: ['1.2773', '1.2742']
Iteration 30000, Avg Total Reward: 2.5571, Avg Per-User Rewards: ['1.2799', '1.2772']
Iteration 31000, Avg Total Reward: 2.5649, Avg Per-User Rewards: ['1.2828', '1.2821']
Iteration 32000, Avg Total Reward: 2.5738, Avg Per-User Rewards: ['1.2860', '1.2877']
Iteration 33000, Avg Total Reward: 2.5812, Avg Per-User Rewards: ['1.2894', '1.2918']
Iteration 34000, Avg Total Reward: 2.5874, Avg Per-User Rewards: ['1.2923', '1.2951']
Iteration 35000, Avg Total Reward: 2.5937, Avg Per-User Rewards: ['1.2953', '1.2983']
Iteration 36000, Avg Total Reward: 2.5993, Avg Per-User Rewards: ['1.2981', '1.3011']
Iteration 37000, Avg Total Reward: 2.6050, Avg Per-User Rewards: ['1.3008', '1.3042']
Iteration 38000, Avg Total Reward: 2.6127, Avg Per-User Rewards: ['1.3044', '1.3083']
Iteration 39000, Avg Total Reward: 2.6228, Avg Per-User Rewards: ['1.3086', '1.3142']
Iteration 40000, Avg Total Reward: 2.6283, Avg Per-User Rewards: ['1.3116', '1.3167']
Iteration 41000, Avg Total Reward: 2.6350, Avg Per-User Rewards: ['1.3147', '1.3202']
Iteration 42000, Avg Total Reward: 2.6425, Avg Per-User Rewards: ['1.3191', '1.3233']
Iteration 43000, Avg Total Reward: 2.6490, Avg Per-User Rewards: ['1.3228', '1.3263']
Iteration 44000, Avg Total Reward: 2.6518, Avg Per-User Rewards: ['1.3242', '1.3276']
Iteration 45000, Avg Total Reward: 2.6552, Avg Per-User Rewards: ['1.3261', '1.3291']
Iteration 46000, Avg Total Reward: 2.6590, Avg Per-User Rewards: ['1.3283', '1.3307']
Iteration 47000, Avg Total Reward: 2.6617, Avg Per-User Rewards: ['1.3302', '1.3314']
