Iteration 1000, Avg Total Reward: 2.4595, Avg Per-User Rewards: ['0.6060', '0.5910', '0.6395', '0.6230']
Iteration 2000, Avg Total Reward: 3.0682, Avg Per-User Rewards: ['0.7823', '0.7548', '0.7550', '0.7762']
Iteration 3000, Avg Total Reward: 3.4685, Avg Per-User Rewards: ['0.8652', '0.8713', '0.8480', '0.8840']
Iteration 4000, Avg Total Reward: 3.8395, Avg Per-User Rewards: ['0.9586', '0.9664', '0.9469', '0.9676']
Iteration 5000, Avg Total Reward: 4.1007, Avg Per-User Rewards: ['1.0270', '1.0213', '1.0145', '1.0379']
Iteration 6000, Avg Total Reward: 4.3246, Avg Per-User Rewards: ['1.0842', '1.0747', '1.0698', '1.0958']
Iteration 7000, Avg Total Reward: 4.4827, Avg Per-User Rewards: ['1.1200', '1.1129', '1.1156', '1.1341']
Iteration 8000, Avg Total Reward: 4.6219, Avg Per-User Rewards: ['1.1569', '1.1493', '1.1497', '1.1660']
Iteration 9000, Avg Total Reward: 4.7278, Avg Per-User Rewards: ['1.1807', '1.1802', '1.1759', '1.1910']
Iteration 10000, Avg Total Reward: 4.8293, Avg Per-User Rewards: ['1.2063', '1.2046', '1.1999', '1.2185']
Iteration 11000, Avg Total Reward: 4.9076, Avg Per-User Rewards: ['1.2292', '1.2210', '1.2185', '1.2389']
Iteration 12000, Avg Total Reward: 4.9714, Avg Per-User Rewards: ['1.2483', '1.2385', '1.2317', '1.2529']
Iteration 13000, Avg Total Reward: 5.0188, Avg Per-User Rewards: ['1.2589', '1.2517', '1.2447', '1.2635']
Iteration 14000, Avg Total Reward: 5.0616, Avg Per-User Rewards: ['1.2710', '1.2624', '1.2563', '1.2719']
Iteration 15000, Avg Total Reward: 5.1098, Avg Per-User Rewards: ['1.2813', '1.2762', '1.2703', '1.2819']
Iteration 16000, Avg Total Reward: 5.1393, Avg Per-User Rewards: ['1.2874', '1.2826', '1.2787', '1.2906']
Iteration 17000, Avg Total Reward: 5.1704, Avg Per-User Rewards: ['1.2953', '1.2903', '1.2861', '1.2987']
Iteration 18000, Avg Total Reward: 5.2073, Avg Per-User Rewards: ['1.3019', '1.2986', '1.2975', '1.3093']
Iteration 19000, Avg Total Reward: 5.2297, Avg Per-User Rewards: ['1.3067', '1.3050', '1.3028', '1.3152']
Iteration 20000, Avg Total Reward: 5.2492, Avg Per-User Rewards: ['1.3098', '1.3116', '1.3080', '1.3198']
Iteration 21000, Avg Total Reward: 5.2751, Avg Per-User Rewards: ['1.3155', '1.3171', '1.3151', '1.3273']
Iteration 22000, Avg Total Reward: 5.2983, Avg Per-User Rewards: ['1.3203', '1.3236', '1.3215', '1.3329']
Iteration 23000, Avg Total Reward: 5.3134, Avg Per-User Rewards: ['1.3246', '1.3260', '1.3260', '1.3368']
Iteration 24000, Avg Total Reward: 5.3321, Avg Per-User Rewards: ['1.3282', '1.3305', '1.3316', '1.3417']
Iteration 25000, Avg Total Reward: 5.3441, Avg Per-User Rewards: ['1.3308', '1.3347', '1.3325', '1.3462']
Iteration 26000, Avg Total Reward: 5.3582, Avg Per-User Rewards: ['1.3345', '1.3389', '1.3361', '1.3488']
Iteration 27000, Avg Total Reward: 5.3748, Avg Per-User Rewards: ['1.3395', '1.3433', '1.3392', '1.3527']
Iteration 28000, Avg Total Reward: 5.3846, Avg Per-User Rewards: ['1.3422', '1.3458', '1.3417', '1.3549']
Iteration 29000, Avg Total Reward: 5.3964, Avg Per-User Rewards: ['1.3443', '1.3489', '1.3452', '1.3580']
Iteration 30000, Avg Total Reward: 5.4058, Avg Per-User Rewards: ['1.3454', '1.3523', '1.3491', '1.3589']
Iteration 31000, Avg Total Reward: 5.4145, Avg Per-User Rewards: ['1.3469', '1.3546', '1.3515', '1.3614']
Iteration 32000, Avg Total Reward: 5.4187, Avg Per-User Rewards: ['1.3485', '1.3546', '1.3530', '1.3625']
Iteration 33000, Avg Total Reward: 5.4243, Avg Per-User Rewards: ['1.3507', '1.3546', '1.3548', '1.3642']
Iteration 34000, Avg Total Reward: 5.4328, Avg Per-User Rewards: ['1.3532', '1.3566', '1.3571', '1.3659']
Iteration 35000, Avg Total Reward: 5.4386, Avg Per-User Rewards: ['1.3543', '1.3581', '1.3587', '1.3674']
Iteration 36000, Avg Total Reward: 5.4412, Avg Per-User Rewards: ['1.3549', '1.3589', '1.3595', '1.3680']
Iteration 37000, Avg Total Reward: 5.4475, Avg Per-User Rewards: ['1.3569', '1.3612', '1.3607', '1.3686']
Iteration 38000, Avg Total Reward: 5.4506, Avg Per-User Rewards: ['1.3582', '1.3623', '1.3611', '1.3690']
Iteration 39000, Avg Total Reward: 5.4577, Avg Per-User Rewards: ['1.3591', '1.3641', '1.3636', '1.3709']
Iteration 40000, Avg Total Reward: 5.4620, Avg Per-User Rewards: ['1.3604', '1.3657', '1.3640', '1.3720']
Iteration 41000, Avg Total Reward: 5.4681, Avg Per-User Rewards: ['1.3622', '1.3669', '1.3661', '1.3730']
Iteration 42000, Avg Total Reward: 5.4752, Avg Per-User Rewards: ['1.3638', '1.3688', '1.3684', '1.3743']
Iteration 43000, Avg Total Reward: 5.4812, Avg Per-User Rewards: ['1.3655', '1.3703', '1.3693', '1.3762']
Iteration 44000, Avg Total Reward: 5.4833, Avg Per-User Rewards: ['1.3662', '1.3707', '1.3700', '1.3764']
Iteration 45000, Avg Total Reward: 5.4890, Avg Per-User Rewards: ['1.3673', '1.3724', '1.3716', '1.3777']
Iteration 46000, Avg Total Reward: 5.4952, Avg Per-User Rewards: ['1.3687', '1.3739', '1.3733', '1.3793']
Iteration 47000, Avg Total Reward: 5.4970, Avg Per-User Rewards: ['1.3688', '1.3744', '1.3741', '1.3799']
Iteration 48000, Avg Total Reward: 5.5006, Avg Per-User Rewards: ['1.3688', '1.3752', '1.3752', '1.3816']
Iteration 49000, Avg Total Reward: 5.5060, Avg Per-User Rewards: ['1.3705', '1.3761', '1.3769', '1.3825']
Iteration 50000, Avg Total Reward: 5.5085, Avg Per-User Rewards: ['1.3716', '1.3766', '1.3777', '1.3826']
Iteration 51000, Avg Total Reward: 5.5121, Avg Per-User Rewards: ['1.3720', '1.3776', '1.3786', '1.3839']
Iteration 52000, Avg Total Reward: 5.5159, Avg Per-User Rewards: ['1.3733', '1.3782', '1.3800', '1.3845']
Iteration 53000, Avg Total Reward: 5.5178, Avg Per-User Rewards: ['1.3737', '1.3789', '1.3801', '1.3851']
Iteration 54000, Avg Total Reward: 5.5219, Avg Per-User Rewards: ['1.3748', '1.3801', '1.3811', '1.3858']
Iteration 55000, Avg Total Reward: 5.5225, Avg Per-User Rewards: ['1.3753', '1.3806', '1.3809', '1.3857']
