Iteration 1000, Avg Reward: 0.5630
Iteration 2000, Avg Reward: 0.6290
Iteration 3000, Avg Reward: 0.6610
Iteration 4000, Avg Reward: 0.7000
Iteration 5000, Avg Reward: 0.7370
Iteration 6000, Avg Reward: 0.7642
Iteration 7000, Avg Reward: 0.8013
Iteration 8000, Avg Reward: 0.8335
Iteration 9000, Avg Reward: 0.8578
Iteration 10000, Avg Reward: 0.8811
Iteration 11000, Avg Reward: 0.9054
Iteration 12000, Avg Reward: 0.9267
Iteration 13000, Avg Reward: 0.9502
Iteration 14000, Avg Reward: 0.9729
Iteration 15000, Avg Reward: 0.9929
Iteration 16000, Avg Reward: 1.0079
Iteration 17000, Avg Reward: 1.0235
Iteration 18000, Avg Reward: 1.0416
Iteration 19000, Avg Reward: 1.0568
Iteration 20000, Avg Reward: 1.0680
Iteration 21000, Avg Reward: 1.0803
Iteration 22000, Avg Reward: 1.0910
Iteration 23000, Avg Reward: 1.1040
Iteration 24000, Avg Reward: 1.1138
Iteration 25000, Avg Reward: 1.1236
Iteration 26000, Avg Reward: 1.1327
Iteration 27000, Avg Reward: 1.1410
Iteration 28000, Avg Reward: 1.1493
Iteration 29000, Avg Reward: 1.1567
Iteration 30000, Avg Reward: 1.1635
Iteration 31000, Avg Reward: 1.1704
Iteration 32000, Avg Reward: 1.1782
Iteration 33000, Avg Reward: 1.1849
Iteration 34000, Avg Reward: 1.1916
Iteration 35000, Avg Reward: 1.1978
Iteration 36000, Avg Reward: 1.2043
Iteration 37000, Avg Reward: 1.2098
Iteration 38000, Avg Reward: 1.2136
Iteration 39000, Avg Reward: 1.2176
Iteration 40000, Avg Reward: 1.2228
Iteration 41000, Avg Reward: 1.2272
Iteration 42000, Avg Reward: 1.2322
Iteration 43000, Avg Reward: 1.2357
Iteration 44000, Avg Reward: 1.2395
Iteration 45000, Avg Reward: 1.2429
Iteration 46000, Avg Reward: 1.2465
Iteration 47000, Avg Reward: 1.2504
Iteration 48000, Avg Reward: 1.2536
Iteration 49000, Avg Reward: 1.2562
Iteration 50000, Avg Reward: 1.2585
Iteration 51000, Avg Reward: 1.2619
Iteration 52000, Avg Reward: 1.2645
Iteration 53000, Avg Reward: 1.2665
Iteration 54000, Avg Reward: 1.2698
Iteration 55000, Avg Reward: 1.2718
Iteration 56000, Avg Reward: 1.2745
Iteration 57000, Avg Reward: 1.2774
Iteration 58000, Avg Reward: 1.2801
Iteration 59000, Avg Reward: 1.2817
Iteration 60000, Avg Reward: 1.2831
Iteration 61000, Avg Reward: 1.2852
Iteration 62000, Avg Reward: 1.2873
Iteration 63000, Avg Reward: 1.2902
Iteration 64000, Avg Reward: 1.2921
Iteration 65000, Avg Reward: 1.2945
Iteration 66000, Avg Reward: 1.2964
Iteration 67000, Avg Reward: 1.2979
Iteration 68000, Avg Reward: 1.3000
Iteration 69000, Avg Reward: 1.3018
Iteration 70000, Avg Reward: 1.3034
Iteration 71000, Avg Reward: 1.3053
Iteration 72000, Avg Reward: 1.3069
Iteration 73000, Avg Reward: 1.3083
Iteration 74000, Avg Reward: 1.3095
Iteration 75000, Avg Reward: 1.3110
Iteration 76000, Avg Reward: 1.3120
Iteration 77000, Avg Reward: 1.3132
Iteration 78000, Avg Reward: 1.3143
Iteration 79000, Avg Reward: 1.3159
Iteration 80000, Avg Reward: 1.3173
Iteration 81000, Avg Reward: 1.3193
Iteration 82000, Avg Reward: 1.3204
Iteration 83000, Avg Reward: 1.3215
Iteration 84000, Avg Reward: 1.3224
Iteration 85000, Avg Reward: 1.3239
Iteration 86000, Avg Reward: 1.3247
Iteration 87000, Avg Reward: 1.3257
Iteration 88000, Avg Reward: 1.3270
Iteration 89000, Avg Reward: 1.3278
Iteration 90000, Avg Reward: 1.3286
Iteration 91000, Avg Reward: 1.3294
Iteration 92000, Avg Reward: 1.3304
Iteration 93000, Avg Reward: 1.3310
Iteration 94000, Avg Reward: 1.3322
Iteration 95000, Avg Reward: 1.3325
Iteration 96000, Avg Reward: 1.3333
Iteration 97000, Avg Reward: 1.3343
Iteration 98000, Avg Reward: 1.3350
Iteration 99000, Avg Reward: 1.3357
Iteration 100000, Avg Reward: 1.3365
Saved training progress plot to single_user_progress_at_100k.png
Iteration 101000, Avg Reward: 1.3371
Iteration 102000, Avg Reward: 1.3383
Iteration 103000, Avg Reward: 1.3389
Iteration 104000, Avg Reward: 1.3393
Iteration 105000, Avg Reward: 1.3403
Iteration 106000, Avg Reward: 1.3411
Iteration 107000, Avg Reward: 1.3419
Iteration 108000, Avg Reward: 1.3423
Iteration 109000, Avg Reward: 1.3429
Iteration 110000, Avg Reward: 1.3438
Iteration 111000, Avg Reward: 1.3448
Iteration 112000, Avg Reward: 1.3458
Iteration 113000, Avg Reward: 1.3464
Iteration 114000, Avg Reward: 1.3468
Iteration 115000, Avg Reward: 1.3476
Iteration 116000, Avg Reward: 1.3482
Iteration 117000, Avg Reward: 1.3488
Iteration 118000, Avg Reward: 1.3492
Iteration 119000, Avg Reward: 1.3502
Iteration 120000, Avg Reward: 1.3510
Iteration 121000, Avg Reward: 1.3514
Iteration 122000, Avg Reward: 1.3521
Iteration 123000, Avg Reward: 1.3527
Iteration 124000, Avg Reward: 1.3530
Iteration 125000, Avg Reward: 1.3534
Iteration 126000, Avg Reward: 1.3543
Iteration 127000, Avg Reward: 1.3549
Iteration 128000, Avg Reward: 1.3553
Iteration 129000, Avg Reward: 1.3564
Iteration 130000, Avg Reward: 1.3568
Iteration 131000, Avg Reward: 1.3573
Iteration 132000, Avg Reward: 1.3580
Iteration 133000, Avg Reward: 1.3585
Iteration 134000, Avg Reward: 1.3587
Iteration 135000, Avg Reward: 1.3593
Iteration 136000, Avg Reward: 1.3596
Iteration 137000, Avg Reward: 1.3600
Iteration 138000, Avg Reward: 1.3601
Iteration 139000, Avg Reward: 1.3602
Iteration 140000, Avg Reward: 1.3603
Iteration 141000, Avg Reward: 1.3604
Iteration 142000, Avg Reward: 1.3613
Iteration 143000, Avg Reward: 1.3616
Iteration 144000, Avg Reward: 1.3619
Iteration 145000, Avg Reward: 1.3622
Iteration 146000, Avg Reward: 1.3626
Iteration 147000, Avg Reward: 1.3629
Iteration 148000, Avg Reward: 1.3634
Iteration 149000, Avg Reward: 1.3639
Iteration 150000, Avg Reward: 1.3641
Iteration 151000, Avg Reward: 1.3643
Iteration 152000, Avg Reward: 1.3649
Iteration 153000, Avg Reward: 1.3650
Iteration 154000, Avg Reward: 1.3653
Iteration 155000, Avg Reward: 1.3659
Iteration 156000, Avg Reward: 1.3663
Iteration 157000, Avg Reward: 1.3665
Iteration 158000, Avg Reward: 1.3666
Iteration 159000, Avg Reward: 1.3670
Iteration 160000, Avg Reward: 1.3675
Iteration 161000, Avg Reward: 1.3679
Iteration 162000, Avg Reward: 1.3680
Iteration 163000, Avg Reward: 1.3685
Iteration 164000, Avg Reward: 1.3687
Iteration 165000, Avg Reward: 1.3691
Iteration 166000, Avg Reward: 1.3697
Iteration 167000, Avg Reward: 1.3698
Iteration 168000, Avg Reward: 1.3701
Iteration 169000, Avg Reward: 1.3702
Iteration 170000, Avg Reward: 1.3711
Iteration 171000, Avg Reward: 1.3712
Iteration 172000, Avg Reward: 1.3713
Iteration 173000, Avg Reward: 1.3718
Iteration 174000, Avg Reward: 1.3722
Iteration 175000, Avg Reward: 1.3726
Iteration 176000, Avg Reward: 1.3727
Iteration 177000, Avg Reward: 1.3731
Iteration 178000, Avg Reward: 1.3736
Iteration 179000, Avg Reward: 1.3739
Iteration 180000, Avg Reward: 1.3740
Iteration 181000, Avg Reward: 1.3742
Iteration 182000, Avg Reward: 1.3741
Iteration 183000, Avg Reward: 1.3744
Iteration 184000, Avg Reward: 1.3746
Iteration 185000, Avg Reward: 1.3747
Iteration 186000, Avg Reward: 1.3748
Iteration 187000, Avg Reward: 1.3751
Iteration 188000, Avg Reward: 1.3754
Iteration 189000, Avg Reward: 1.3755
Iteration 190000, Avg Reward: 1.3757
Iteration 191000, Avg Reward: 1.3760
Iteration 192000, Avg Reward: 1.3763
Iteration 193000, Avg Reward: 1.3765
Iteration 194000, Avg Reward: 1.3767
Iteration 195000, Avg Reward: 1.3769
Iteration 196000, Avg Reward: 1.3770
Iteration 197000, Avg Reward: 1.3772
Iteration 198000, Avg Reward: 1.3774
Iteration 199000, Avg Reward: 1.3775
Iteration 200000, Avg Reward: 1.3778
Iteration 201000, Avg Reward: 1.3780
Iteration 202000, Avg Reward: 1.3783
Iteration 203000, Avg Reward: 1.3783
Iteration 204000, Avg Reward: 1.3784
Iteration 205000, Avg Reward: 1.3790
Iteration 206000, Avg Reward: 1.3791
Iteration 207000, Avg Reward: 1.3790
Iteration 208000, Avg Reward: 1.3790
Iteration 209000, Avg Reward: 1.3790
Iteration 210000, Avg Reward: 1.3792
Iteration 211000, Avg Reward: 1.3792
Iteration 212000, Avg Reward: 1.3793
Iteration 213000, Avg Reward: 1.3794
Iteration 214000, Avg Reward: 1.3796
Iteration 215000, Avg Reward: 1.3798
Iteration 216000, Avg Reward: 1.3800
Iteration 217000, Avg Reward: 1.3801
Iteration 218000, Avg Reward: 1.3802
Iteration 219000, Avg Reward: 1.3805
Iteration 220000, Avg Reward: 1.3807
Iteration 221000, Avg Reward: 1.3805
Iteration 222000, Avg Reward: 1.3807
Iteration 223000, Avg Reward: 1.3809
Iteration 224000, Avg Reward: 1.3809
Iteration 225000, Avg Reward: 1.3811
Iteration 226000, Avg Reward: 1.3812
Iteration 227000, Avg Reward: 1.3814
Iteration 228000, Avg Reward: 1.3814
Iteration 229000, Avg Reward: 1.3815
Iteration 230000, Avg Reward: 1.3816
Iteration 231000, Avg Reward: 1.3818
Iteration 232000, Avg Reward: 1.3821
